size,id,RF
20,10618,58.82
20,41388,70.59
21,45255,94.44
21,48947,72.22
22,10240_1,57.89
22,10240,57.89
23,29684,80.0
23,48363,20.0
24,11027,42.86
24,11191,100.0
25,18286,90.91
25,40617,72.73
26,57060_1,100.0
26,57060,100.0
27,12314,100.0
27,15842,95.83
28,45644,60.0
28,58351,96.0
29,9086,92.31
30,12375,85.19
30,59413,88.89
31,28589,92.86
31,28601,100.0
32,13828,82.76
32,40648,72.41
33,13007,86.67
33,24444,83.33
34,28634,83.87
34,57672,90.32
35,46161,90.62
36,12763,96.97
36,59105,96.97
37,19394,47.06
37,41415,44.12
38,9666,37.14
39,11594,75.0
