size,branch_length,id,clustering_distance
14,0.5387,0-5387_Phy0001ZSJ_BOVIN,0.4814676378476477
19,0.5800,0-5800_Phy0001WOF_BOVIN,0.29545053095351015
12,0.6610,0-6610_Phy001QA4Q_BOVIN,0.22052032920683373
33,0.6264,0-6264_Phy00025XU_BOVIN,0.21614572804933008
16,0.2940,0-2940_Phy0001SHY_BOVIN,0.37181096855635254
14,0.5653,0-5653_Phy00021SM_BOVIN,0.2200859097840785
16,0.3366,0-3366_Phy0001T1N_BOVIN,0.39484847565393266
20,0.7272,0-7272_Phy001QA35_BOVIN,0.25717698232583364
22,0.7416,0-7416_Phy0001XP5_BOVIN,0.23031401530306395
16,0.4611,0-4611_Phy0001WH2_BOVIN,0.4629420721937585
16,0.6966,0-6966_Phy00021K1_BOVIN,0.16651813233899626
30,0.5937,0-5937_Phy00026Z0_BOVIN,0.25491547944952986
11,0.4064,0-4064_Phy0001SXK_BOVIN,0.23245421583566817
25,0.4163,0-4163_Phy0001U32_BOVIN,0.2700208405341423
38,0.3653,0-3653_Phy0001SNJ_BOVIN,0.2541847156535102
15,0.4632,0-4632_Phy0001US7_BOVIN,0.3388997899184295
27,0.7179,0-7179_Phy00024CK_BOVIN,0.24579257466811866
26,0.2876,0-2876_Phy0001SON_BOVIN,0.18784581634680564
14,0.7586,0-7586_Phy00023HT_BOVIN,0.2770375268784685
15,0.5016,0-5016_Phy0001UA2_BOVIN,0.33928590105160483
35,0.5561,0-5561_Phy0001WXP_BOVIN,0.23299823040445045
12,0.5390,0-5390_Phy0001YWE_BOVIN,0.2827584765917438
16,0.2653,0-2653_Phy0001SSU_BOVIN,0.49562525737445406
13,0.6783,0-6783_Phy0002A7Z_BOVIN,0.391515633402462
36,0.4262,0-4262_Phy0001SY5_BOVIN,0.25633195531874886
13,0.6808,0-6808_Phy001Q8WI_BOVIN,0.19799290997715768
33,0.6440,0-6440_Phy00020HM_BOVIN,0.17776320154311487
34,0.3081,0-3081_Phy0001STS_BOVIN,0.21836008429815934
17,0.3893,0-3893_Phy0001T1M_BOVIN,0.19715178698123514
19,0.2516,0-2516_Phy0001SS5_BOVIN,0.300653277367533
12,0.3560,0-3560_Phy0001SLE_BOVIN,0.2723547647376069
37,0.4597,0-4597_Phy0001SLG_BOVIN,0.19055953179760776
25,0.3126,0-3126_Phy0001SJ2_BOVIN,0.2813567412252559
26,0.2659,0-2659_Phy0001SUZ_BOVIN,0.24414973555251362
20,0.3134,0-3134_Phy0001SQ2_BOVIN,0.19829175001249566
11,0.5780,0-5780_Phy0001SYE_BOVIN,0.5195152371226499
17,0.3978,0-3978_Phy0001SKM_BOVIN,0.37998799571249786
13,0.6122,0-6122_Phy0001UTY_BOVIN,0.30202144126850516
36,0.2536,0-2536_Phy0001SML_BOVIN,0.19871351124712233
10,0.3039,0-3039_Phy0001SMM_BOVIN,0.47075618641271244
