size,branch_length,id,clustering_distance
14,0.5387,0-5387_Phy0001ZSJ_BOVIN,0.3865227305996395
19,0.5800,0-5800_Phy0001WOF_BOVIN,0.4542651375049951
12,0.6610,0-6610_Phy001QA4Q_BOVIN,0.3388969044876915
16,0.2940,0-2940_Phy0001SHY_BOVIN,0.6690034364594508
14,0.5653,0-5653_Phy00021SM_BOVIN,0.6585658769995306
16,0.3366,0-3366_Phy0001T1N_BOVIN,0.8960950543852205
20,0.7272,0-7272_Phy001QA35_BOVIN,0.4795682663639139
22,0.7416,0-7416_Phy0001XP5_BOVIN,0.47737947881958454
16,0.4611,0-4611_Phy0001WH2_BOVIN,0.6825424275091934
16,0.6966,0-6966_Phy00021K1_BOVIN,0.47539117323295044
11,0.4064,0-4064_Phy0001SXK_BOVIN,0.6294407442987592
25,0.4163,0-4163_Phy0001U32_BOVIN,0.5044911389405797
15,0.4632,0-4632_Phy0001US7_BOVIN,0.6247881063158445
26,0.2876,0-2876_Phy0001SON_BOVIN,0.6412708593686343
14,0.7586,0-7586_Phy00023HT_BOVIN,0.6047005386941229
15,0.5016,0-5016_Phy0001UA2_BOVIN,0.5082726393602353
12,0.5390,0-5390_Phy0001YWE_BOVIN,0.5067874693238651
16,0.2653,0-2653_Phy0001SSU_BOVIN,0.5906188278940303
13,0.6783,0-6783_Phy0002A7Z_BOVIN,0.4599098903986635
13,0.6808,0-6808_Phy001Q8WI_BOVIN,0.7925814058931626
17,0.3893,0-3893_Phy0001T1M_BOVIN,0.5767235870819885
19,0.2516,0-2516_Phy0001SS5_BOVIN,0.6805233196805902
12,0.3560,0-3560_Phy0001SLE_BOVIN,0.5945869976024261
25,0.3126,0-3126_Phy0001SJ2_BOVIN,0.6960289935722679
26,0.2659,0-2659_Phy0001SUZ_BOVIN,0.49516328407590315
20,0.3134,0-3134_Phy0001SQ2_BOVIN,0.570179407052905
11,0.5780,0-5780_Phy0001SYE_BOVIN,0.7987281944977133
17,0.3978,0-3978_Phy0001SKM_BOVIN,0.4229462174466545
13,0.6122,0-6122_Phy0001UTY_BOVIN,0.5314004865776916
10,0.3039,0-3039_Phy0001SMM_BOVIN,0.5982537908343235
