size,name,method,time
19,0-2516_Phy0001SS5_BOVIN_matrix.txt,NMcutQA,680.19208
16,0-2653_Phy0001SSU_BOVIN_matrix.txt,NMcutQA,607.1865600000001
36,0-2536_Phy0001SML_BOVIN_matrix.txt,NMcutQA,2310.1182000000003
26,0-2659_Phy0001SUZ_BOVIN_matrix.txt,NMcutQA,1152.05356
26,0-2876_Phy0001SON_BOVIN_matrix.txt,NMcutQA,1483.9798400000006
16,0-2940_Phy0001SHY_BOVIN_matrix.txt,NMcutQA,614.3642400000001
10,0-3039_Phy0001SMM_BOVIN_matrix.txt,NMcutQA,242.92388000000003
34,0-3081_Phy0001STS_BOVIN_matrix.txt,NMcutQA,1811.4637199999995
25,0-3126_Phy0001SJ2_BOVIN_matrix.txt,NMcutQA,1444.3249600000004
20,0-3134_Phy0001SQ2_BOVIN_matrix.txt,NMcutQA,776.89144
16,0-3366_Phy0001T1N_BOVIN_matrix.txt,NMcutQA,657.71856
12,0-3560_Phy0001SLE_BOVIN_matrix.txt,NMcutQA,344.0194400000001
38,0-3653_Phy0001SNJ_BOVIN_matrix.txt,NMcutQA,2246.6977999999995
17,0-3893_Phy0001T1M_BOVIN_matrix.txt,NMcutQA,779.09948
11,0-4064_Phy0001SXK_BOVIN_matrix.txt,NMcutQA,318.50548
17,0-3978_Phy0001SKM_BOVIN_matrix.txt,NMcutQA,739.8254800000001
25,0-4163_Phy0001U32_BOVIN_matrix.txt,NMcutQA,1181.88064
36,0-4262_Phy0001SY5_BOVIN_matrix.txt,NMcutQA,1778.281
37,0-4597_Phy0001SLG_BOVIN_matrix.txt,NMcutQA,1999.2652800000005
16,0-4611_Phy0001WH2_BOVIN_matrix.txt,NMcutQA,603.5205599999999
15,0-4632_Phy0001US7_BOVIN_matrix.txt,NMcutQA,506.7873200000001
15,0-5016_Phy0001UA2_BOVIN_matrix.txt,NMcutQA,571.9152799999999
14,0-5387_Phy0001ZSJ_BOVIN_matrix.txt,NMcutQA,569.3328
12,0-5390_Phy0001YWE_BOVIN_matrix.txt,NMcutQA,377.58488000000006
35,0-5561_Phy0001WXP_BOVIN_matrix.txt,NMcutQA,1801.2662799999991
14,0-5653_Phy00021SM_BOVIN_matrix.txt,NMcutQA,639.9777599999999
11,0-5780_Phy0001SYE_BOVIN_matrix.txt,NMcutQA,321.1742800000001
30,0-5937_Phy00026Z0_BOVIN_matrix.txt,NMcutQA,1799.4972799999996
19,0-5800_Phy0001WOF_BOVIN_matrix.txt,NMcutQA,1138.3031200000003
13,0-6122_Phy0001UTY_BOVIN_matrix.txt,NMcutQA,376.42272
33,0-6264_Phy00025XU_BOVIN_matrix.txt,NMcutQA,1934.2246400000015
33,0-6440_Phy00020HM_BOVIN_matrix.txt,NMcutQA,1576.8656
12,0-6610_Phy001QA4Q_BOVIN_matrix.txt,NMcutQA,374.46976
13,0-6783_Phy0002A7Z_BOVIN_matrix.txt,NMcutQA,374.85192
13,0-6808_Phy001Q8WI_BOVIN_matrix.txt,NMcutQA,414.85783999999995
16,0-6966_Phy00021K1_BOVIN_matrix.txt,NMcutQA,703.5257199999999
20,0-7272_Phy001QA35_BOVIN_matrix.txt,NMcutQA,677.21744
27,0-7179_Phy00024CK_BOVIN_matrix.txt,NMcutQA,1759.1676799999996
22,0-7416_Phy0001XP5_BOVIN_matrix.txt,NMcutQA,1428.2563599999996
14,0-7586_Phy00023HT_BOVIN_matrix.txt,NMcutQA,490.95208
