size,name,method,time
19,0-2516_Phy0001SS5_BOVIN_matrix.txt,NMcutQA,1545.6162399999996
16,0-2653_Phy0001SSU_BOVIN_matrix.txt,NMcutQA,1273.82784
36,0-2536_Phy0001SML_BOVIN_matrix.txt,NMcutQA,3871.5011199999994
26,0-2659_Phy0001SUZ_BOVIN_matrix.txt,NMcutQA,2553.8765599999997
26,0-2876_Phy0001SON_BOVIN_matrix.txt,NMcutQA,3018.3651999999993
16,0-2940_Phy0001SHY_BOVIN_matrix.txt,NMcutQA,1235.8072799999995
10,0-3039_Phy0001SMM_BOVIN_matrix.txt,NMcutQA,499.64312000000007
34,0-3081_Phy0001STS_BOVIN_matrix.txt,NMcutQA,3481.231680000001
25,0-3126_Phy0001SJ2_BOVIN_matrix.txt,NMcutQA,2122.92008
20,0-3134_Phy0001SQ2_BOVIN_matrix.txt,NMcutQA,1540.9708800000003
16,0-3366_Phy0001T1N_BOVIN_matrix.txt,NMcutQA,1194.0128000000002
12,0-3560_Phy0001SLE_BOVIN_matrix.txt,NMcutQA,693.01472
38,0-3653_Phy0001SNJ_BOVIN_matrix.txt,NMcutQA,3752.92368
17,0-3893_Phy0001T1M_BOVIN_matrix.txt,NMcutQA,1508.8212
11,0-4064_Phy0001SXK_BOVIN_matrix.txt,NMcutQA,577.0812
17,0-3978_Phy0001SKM_BOVIN_matrix.txt,NMcutQA,1700.4891200000002
25,0-4163_Phy0001U32_BOVIN_matrix.txt,NMcutQA,2164.0217599999996
36,0-4262_Phy0001SY5_BOVIN_matrix.txt,NMcutQA,4179.21808
37,0-4597_Phy0001SLG_BOVIN_matrix.txt,NMcutQA,3212.3675200000007
16,0-4611_Phy0001WH2_BOVIN_matrix.txt,NMcutQA,1312.9025600000002
15,0-4632_Phy0001US7_BOVIN_matrix.txt,NMcutQA,1042.08208
15,0-5016_Phy0001UA2_BOVIN_matrix.txt,NMcutQA,1235.3849599999999
14,0-5387_Phy0001ZSJ_BOVIN_matrix.txt,NMcutQA,1081.2683999999997
12,0-5390_Phy0001YWE_BOVIN_matrix.txt,NMcutQA,885.92288
35,0-5561_Phy0001WXP_BOVIN_matrix.txt,NMcutQA,3289.1596800000016
14,0-5653_Phy00021SM_BOVIN_matrix.txt,NMcutQA,1350.7474399999999
11,0-5780_Phy0001SYE_BOVIN_matrix.txt,NMcutQA,616.15
30,0-5937_Phy00026Z0_BOVIN_matrix.txt,NMcutQA,2669.3302399999993
19,0-5800_Phy0001WOF_BOVIN_matrix.txt,NMcutQA,1619.8334399999997
13,0-6122_Phy0001UTY_BOVIN_matrix.txt,NMcutQA,925.7624000000001
33,0-6264_Phy00025XU_BOVIN_matrix.txt,NMcutQA,3092.5195999999996
33,0-6440_Phy00020HM_BOVIN_matrix.txt,NMcutQA,3522.438720000001
12,0-6610_Phy001QA4Q_BOVIN_matrix.txt,NMcutQA,808.75112
13,0-6783_Phy0002A7Z_BOVIN_matrix.txt,NMcutQA,847.17496
13,0-6808_Phy001Q8WI_BOVIN_matrix.txt,NMcutQA,731.93072
16,0-6966_Phy00021K1_BOVIN_matrix.txt,NMcutQA,1079.9548
20,0-7272_Phy001QA35_BOVIN_matrix.txt,NMcutQA,1701.6179200000001
27,0-7179_Phy00024CK_BOVIN_matrix.txt,NMcutQA,2551.168320000001
22,0-7416_Phy0001XP5_BOVIN_matrix.txt,NMcutQA,2478.0432800000003
14,0-7586_Phy00023HT_BOVIN_matrix.txt,NMcutQA,964.8835999999999
