size,name,method,time
19,0-2516_Phy0001SS5_BOVIN_matrix.txt,NMcutHy,107680.47200000001
16,0-2653_Phy0001SSU_BOVIN_matrix.txt,NMcutHy,74785.97899999999
25,0-4163_Phy0001U32_BOVIN_matrix.txt,NMcutHy,188546.52099999995
36,0-2536_Phy0001SML_BOVIN_matrix.txt,NMcutHy,296070.24900000007
26,0-2659_Phy0001SUZ_BOVIN_matrix.txt,NMcutHy,179424.73799999995
26,0-2876_Phy0001SON_BOVIN_matrix.txt,NMcutHy,209343.33900000004
16,0-2940_Phy0001SHY_BOVIN_matrix.txt,NMcutHy,83732.81899999999
10,0-3039_Phy0001SMM_BOVIN_matrix.txt,NMcutHy,38861.776
34,0-3081_Phy0001STS_BOVIN_matrix.txt,NMcutHy,248198.325
25,0-3126_Phy0001SJ2_BOVIN_matrix.txt,NMcutHy,170505.61000000002
20,0-3134_Phy0001SQ2_BOVIN_matrix.txt,NMcutHy,143571.30099999998
16,0-3366_Phy0001T1N_BOVIN_matrix.txt,NMcutHy,83713.97499999999
12,0-3560_Phy0001SLE_BOVIN_matrix.txt,NMcutHy,47783.49999999999
38,0-3653_Phy0001SNJ_BOVIN_matrix.txt,NMcutHy,337878.9419999999
17,0-3893_Phy0001T1M_BOVIN_matrix.txt,NMcutHy,95698.58100000002
11,0-4064_Phy0001SXK_BOVIN_matrix.txt,NMcutHy,44856.475
17,0-3978_Phy0001SKM_BOVIN_matrix.txt,NMcutHy,95690.81900000002
36,0-4262_Phy0001SY5_BOVIN_matrix.txt,NMcutHy,314073.2739999999
37,0-4597_Phy0001SLG_BOVIN_matrix.txt,NMcutHy,281123.0169999999
16,0-4611_Phy0001WH2_BOVIN_matrix.txt,NMcutHy,77730.37800000001
15,0-4632_Phy0001US7_BOVIN_matrix.txt,NMcutHy,77790.06700000002
15,0-5016_Phy0001UA2_BOVIN_matrix.txt,NMcutHy,68750.424
14,0-5387_Phy0001ZSJ_BOVIN_matrix.txt,NMcutHy,74776.86200000002
12,0-5390_Phy0001YWE_BOVIN_matrix.txt,NMcutHy,62818.87300000001
35,0-5561_Phy0001WXP_BOVIN_matrix.txt,NMcutHy,248216.89099999995
14,0-5653_Phy00021SM_BOVIN_matrix.txt,NMcutHy,80724.868
11,0-5780_Phy0001SYE_BOVIN_matrix.txt,NMcutHy,47838.169
30,0-5937_Phy00026Z0_BOVIN_matrix.txt,NMcutHy,218331.279
19,0-5800_Phy0001WOF_BOVIN_matrix.txt,NMcutHy,104683.39099999999
13,0-6122_Phy0001UTY_BOVIN_matrix.txt,NMcutHy,59840.286
33,0-6264_Phy00025XU_BOVIN_matrix.txt,NMcutHy,257118.55200000003
33,0-6440_Phy00020HM_BOVIN_matrix.txt,NMcutHy,293142.15200000006
12,0-6610_Phy001QA4Q_BOVIN_matrix.txt,NMcutHy,56840.708999999995
13,0-6783_Phy0002A7Z_BOVIN_matrix.txt,NMcutHy,59820.168
13,0-6808_Phy001Q8WI_BOVIN_matrix.txt,NMcutHy,53834.413
16,0-6966_Phy00021K1_BOVIN_matrix.txt,NMcutHy,83740.66700000002
20,0-7272_Phy001QA35_BOVIN_matrix.txt,NMcutHy,146560.69900000005
27,0-7179_Phy00024CK_BOVIN_matrix.txt,NMcutHy,221315.76499999993
22,0-7416_Phy0001XP5_BOVIN_matrix.txt,NMcutHy,179469.44799999997
14,0-7586_Phy00023HT_BOVIN_matrix.txt,NMcutHy,59801.374
