size,name,method,time
19,0-2516_Phy0001SS5_BOVIN_matrix.txt,nmcutpce,19479.003662109375
16,0-2653_Phy0001SSU_BOVIN_matrix.txt,nmcutpce,15292.184326171875
36,0-2536_Phy0001SML_BOVIN_matrix.txt,nmcutpce,57922.947265625
26,0-2659_Phy0001SUZ_BOVIN_matrix.txt,nmcutpce,34570.517333984375
26,0-2876_Phy0001SON_BOVIN_matrix.txt,nmcutpce,33647.884033203125
16,0-2940_Phy0001SHY_BOVIN_matrix.txt,nmcutpce,16895.72998046875
10,0-3039_Phy0001SMM_BOVIN_matrix.txt,nmcutpce,6381.77587890625
34,0-3081_Phy0001STS_BOVIN_matrix.txt,nmcutpce,56414.7861328125
25,0-3126_Phy0001SJ2_BOVIN_matrix.txt,nmcutpce,29944.009033203125
20,0-3134_Phy0001SQ2_BOVIN_matrix.txt,nmcutpce,19549.0419921875
16,0-3366_Phy0001T1N_BOVIN_matrix.txt,nmcutpce,15260.443603515625
12,0-3560_Phy0001SLE_BOVIN_matrix.txt,nmcutpce,10535.22265625
38,0-3653_Phy0001SNJ_BOVIN_matrix.txt,nmcutpce,60002.708984375
17,0-3893_Phy0001T1M_BOVIN_matrix.txt,nmcutpce,16093.243896484375
11,0-4064_Phy0001SXK_BOVIN_matrix.txt,nmcutpce,7996.80126953125
17,0-3978_Phy0001SKM_BOVIN_matrix.txt,nmcutpce,16000.730712890625
25,0-4163_Phy0001U32_BOVIN_matrix.txt,nmcutpce,28187.854736328125
36,0-4262_Phy0001SY5_BOVIN_matrix.txt,nmcutpce,55103.590576171875
37,0-4597_Phy0001SLG_BOVIN_matrix.txt,nmcutpce,55911.916015625
16,0-4611_Phy0001WH2_BOVIN_matrix.txt,nmcutpce,16442.8173828125
15,0-4632_Phy0001US7_BOVIN_matrix.txt,nmcutpce,12423.409423828125
15,0-5016_Phy0001UA2_BOVIN_matrix.txt,nmcutpce,11612.51513671875
14,0-5387_Phy0001ZSJ_BOVIN_matrix.txt,nmcutpce,12174.366943359375
12,0-5390_Phy0001YWE_BOVIN_matrix.txt,nmcutpce,10127.55029296875
35,0-5561_Phy0001WXP_BOVIN_matrix.txt,nmcutpce,52795.53564453125
14,0-5653_Phy00021SM_BOVIN_matrix.txt,nmcutpce,10839.89794921875
11,0-5780_Phy0001SYE_BOVIN_matrix.txt,nmcutpce,6397.684814453125
30,0-5937_Phy00026Z0_BOVIN_matrix.txt,nmcutpce,38150.92041015625
19,0-5800_Phy0001WOF_BOVIN_matrix.txt,nmcutpce,20453.12451171875
13,0-6122_Phy0001UTY_BOVIN_matrix.txt,nmcutpce,9848.80908203125
33,0-6264_Phy00025XU_BOVIN_matrix.txt,nmcutpce,44587.381591796875
33,0-6440_Phy00020HM_BOVIN_matrix.txt,nmcutpce,46633.356201171875
12,0-6610_Phy001QA4Q_BOVIN_matrix.txt,nmcutpce,9399.6513671875
13,0-6783_Phy0002A7Z_BOVIN_matrix.txt,nmcutpce,8399.21044921875
13,0-6808_Phy001Q8WI_BOVIN_matrix.txt,nmcutpce,10230.74658203125
16,0-6966_Phy00021K1_BOVIN_matrix.txt,nmcutpce,18857.02978515625
20,0-7272_Phy001QA35_BOVIN_matrix.txt,nmcutpce,21957.20654296875
27,0-7179_Phy00024CK_BOVIN_matrix.txt,nmcutpce,35077.06201171875
22,0-7416_Phy0001XP5_BOVIN_matrix.txt,nmcutpce,22912.967041015625
14,0-7586_Phy00023HT_BOVIN_matrix.txt,nmcutpce,11616.8203125
