size,name,method,time
19,0-2516_Phy0001SS5_BOVIN_matrix.txt,qaoa,68212.28173828125
16,0-2653_Phy0001SSU_BOVIN_matrix.txt,qaoa,44220.38720703125
16,0-2940_Phy0001SHY_BOVIN_matrix.txt,qaoa,41507.1123046875
10,0-3039_Phy0001SMM_BOVIN_matrix.txt,qaoa,14145.41455078125
25,0-3126_Phy0001SJ2_BOVIN_matrix.txt,qaoa,3248041.6318359375
20,0-3134_Phy0001SQ2_BOVIN_matrix.txt,qaoa,119179.39282226562
16,0-3366_Phy0001T1N_BOVIN_matrix.txt,qaoa,44584.523193359375
12,0-3560_Phy0001SLE_BOVIN_matrix.txt,qaoa,23534.560546875
17,0-3893_Phy0001T1M_BOVIN_matrix.txt,qaoa,49944.7119140625
11,0-4064_Phy0001SXK_BOVIN_matrix.txt,qaoa,18317.7900390625
17,0-3978_Phy0001SKM_BOVIN_matrix.txt,qaoa,48927.88037109375
25,0-4163_Phy0001U32_BOVIN_matrix.txt,qaoa,2925286.7553710938
16,0-4611_Phy0001WH2_BOVIN_matrix.txt,qaoa,40942.1982421875
15,0-4632_Phy0001US7_BOVIN_matrix.txt,qaoa,39992.904052734375
15,0-5016_Phy0001UA2_BOVIN_matrix.txt,qaoa,36643.90478515625
14,0-5387_Phy0001ZSJ_BOVIN_matrix.txt,qaoa,39071.185546875
12,0-5390_Phy0001YWE_BOVIN_matrix.txt,qaoa,21458.020751953125
14,0-5653_Phy00021SM_BOVIN_matrix.txt,qaoa,53929.712158203125
11,0-5780_Phy0001SYE_BOVIN_matrix.txt,qaoa,22989.186767578125
19,0-5800_Phy0001WOF_BOVIN_matrix.txt,qaoa,76932.17724609375
13,0-6122_Phy0001UTY_BOVIN_matrix.txt,qaoa,25795.685791015625
12,0-6610_Phy001QA4Q_BOVIN_matrix.txt,qaoa,23416.56396484375
13,0-6783_Phy0002A7Z_BOVIN_matrix.txt,qaoa,29405.4794921875
13,0-6808_Phy001Q8WI_BOVIN_matrix.txt,qaoa,37100.044677734375
16,0-6966_Phy00021K1_BOVIN_matrix.txt,qaoa,63065.809326171875
20,0-7272_Phy001QA35_BOVIN_matrix.txt,qaoa,130740.16284179688
22,0-7416_Phy0001XP5_BOVIN_matrix.txt,qaoa,521153.47216796875
14,0-7586_Phy00023HT_BOVIN_matrix.txt,qaoa,39714.9765625
