size,name,method,time
19,0-2516_Phy0001SS5_BOVIN_matrix.txt,nmcutqrao,968754.6047363281
16,0-2653_Phy0001SSU_BOVIN_matrix.txt,nmcutqrao,360648.4296875
16,0-2940_Phy0001SHY_BOVIN_matrix.txt,nmcutqrao,482159.5979003906
10,0-3039_Phy0001SMM_BOVIN_matrix.txt,nmcutqrao,105436.26684570312
25,0-3126_Phy0001SJ2_BOVIN_matrix.txt,nmcutqrao,11567361.63256836
20,0-3134_Phy0001SQ2_BOVIN_matrix.txt,nmcutqrao,1236322.9982910156
16,0-3366_Phy0001T1N_BOVIN_matrix.txt,nmcutqrao,461292.7937011719
12,0-3560_Phy0001SLE_BOVIN_matrix.txt,nmcutqrao,300753.41552734375
17,0-3893_Phy0001T1M_BOVIN_matrix.txt,nmcutqrao,624028.7663574219
11,0-4064_Phy0001SXK_BOVIN_matrix.txt,nmcutqrao,126267.60522460938
17,0-3978_Phy0001SKM_BOVIN_matrix.txt,nmcutqrao,598935.5598144531
25,0-4163_Phy0001U32_BOVIN_matrix.txt,nmcutqrao,6075677.143066406
16,0-4611_Phy0001WH2_BOVIN_matrix.txt,nmcutqrao,362264.2390136719
15,0-4632_Phy0001US7_BOVIN_matrix.txt,nmcutqrao,365497.44189453125
15,0-5016_Phy0001UA2_BOVIN_matrix.txt,nmcutqrao,681094.5583496094
14,0-5387_Phy0001ZSJ_BOVIN_matrix.txt,nmcutqrao,471272.525390625
12,0-5390_Phy0001YWE_BOVIN_matrix.txt,nmcutqrao,187455.46557617188
14,0-5653_Phy00021SM_BOVIN_matrix.txt,nmcutqrao,541734.4289550781
11,0-5780_Phy0001SYE_BOVIN_matrix.txt,nmcutqrao,134299.640625
19,0-5800_Phy0001WOF_BOVIN_matrix.txt,nmcutqrao,832051.185546875
13,0-6122_Phy0001UTY_BOVIN_matrix.txt,nmcutqrao,218803.36352539062
12,0-6610_Phy001QA4Q_BOVIN_matrix.txt,nmcutqrao,241190.728515625
13,0-6783_Phy0002A7Z_BOVIN_matrix.txt,nmcutqrao,268573.11865234375
13,0-6808_Phy001Q8WI_BOVIN_matrix.txt,nmcutqrao,329392.5205078125
16,0-6966_Phy00021K1_BOVIN_matrix.txt,nmcutqrao,709724.3520507812
20,0-7272_Phy001QA35_BOVIN_matrix.txt,nmcutqrao,1549705.5239257812
22,0-7416_Phy0001XP5_BOVIN_matrix.txt,nmcutqrao,2050133.1225585938
14,0-7586_Phy00023HT_BOVIN_matrix.txt,nmcutqrao,312769.8684082031
