size,name,method,time
19,0-2516_Phy0001SS5_BOVIN_matrix.txt,nmcutqrao_esu2,1083138.2639160156
16,0-2653_Phy0001SSU_BOVIN_matrix.txt,nmcutqrao_esu2,690321.5500488281
16,0-2940_Phy0001SHY_BOVIN_matrix.txt,nmcutqrao_esu2,490871.8935546875
10,0-3039_Phy0001SMM_BOVIN_matrix.txt,nmcutqrao_esu2,88046.61474609375
25,0-3126_Phy0001SJ2_BOVIN_matrix.txt,nmcutqrao_esu2,11424617.250732422
20,0-3134_Phy0001SQ2_BOVIN_matrix.txt,nmcutqrao_esu2,1577159.1284179688
16,0-3366_Phy0001T1N_BOVIN_matrix.txt,nmcutqrao_esu2,718822.2651367188
12,0-3560_Phy0001SLE_BOVIN_matrix.txt,nmcutqrao_esu2,284791.5876464844
17,0-3893_Phy0001T1M_BOVIN_matrix.txt,nmcutqrao_esu2,761630.0334472656
11,0-4064_Phy0001SXK_BOVIN_matrix.txt,nmcutqrao_esu2,172427.16943359375
17,0-3978_Phy0001SKM_BOVIN_matrix.txt,nmcutqrao_esu2,597918.5327148438
25,0-4163_Phy0001U32_BOVIN_matrix.txt,nmcutqrao_esu2,6329236.573730469
16,0-4611_Phy0001WH2_BOVIN_matrix.txt,nmcutqrao_esu2,687818.384765625
15,0-4632_Phy0001US7_BOVIN_matrix.txt,nmcutqrao_esu2,351111.6091308594
15,0-5016_Phy0001UA2_BOVIN_matrix.txt,nmcutqrao_esu2,577335.3889160156
14,0-5387_Phy0001ZSJ_BOVIN_matrix.txt,nmcutqrao_esu2,512460.77392578125
12,0-5390_Phy0001YWE_BOVIN_matrix.txt,nmcutqrao_esu2,237930.56567382812
14,0-5653_Phy00021SM_BOVIN_matrix.txt,nmcutqrao_esu2,542210.8266601562
11,0-5780_Phy0001SYE_BOVIN_matrix.txt,nmcutqrao_esu2,156399.009765625
19,0-5800_Phy0001WOF_BOVIN_matrix.txt,nmcutqrao_esu2,1143470.7358398438
13,0-6122_Phy0001UTY_BOVIN_matrix.txt,nmcutqrao_esu2,212001.716796875
12,0-6610_Phy001QA4Q_BOVIN_matrix.txt,nmcutqrao_esu2,340415.3845214844
13,0-6783_Phy0002A7Z_BOVIN_matrix.txt,nmcutqrao_esu2,176678.470703125
13,0-6808_Phy001Q8WI_BOVIN_matrix.txt,nmcutqrao_esu2,310332.6037597656
16,0-6966_Phy00021K1_BOVIN_matrix.txt,nmcutqrao_esu2,582708.9499511719
20,0-7272_Phy001QA35_BOVIN_matrix.txt,nmcutqrao_esu2,1244587.4067382812
22,0-7416_Phy0001XP5_BOVIN_matrix.txt,nmcutqrao_esu2,1981898.0048828125
14,0-7586_Phy00023HT_BOVIN_matrix.txt,nmcutqrao_esu2,305178.19921875
