size,name,method,time
19,0-2516_Phy0001SS5_BOVIN_matrix.txt,SA,813.5640999999998
36,0-2536_Phy0001SML_BOVIN_matrix.txt,SA,2905.0442
16,0-2653_Phy0001SSU_BOVIN_matrix.txt,SA,359.10179999999997
26,0-2659_Phy0001SUZ_BOVIN_matrix.txt,SA,1236.6387000000002
26,0-2876_Phy0001SON_BOVIN_matrix.txt,SA,1467.1521
16,0-2940_Phy0001SHY_BOVIN_matrix.txt,SA,523.935
10,0-3039_Phy0001SMM_BOVIN_matrix.txt,SA,104.59209999999999
34,0-3081_Phy0001STS_BOVIN_matrix.txt,SA,2573.477799999999
25,0-3126_Phy0001SJ2_BOVIN_matrix.txt,SA,1193.5350999999998
20,0-3134_Phy0001SQ2_BOVIN_matrix.txt,SA,878.5700999999998
16,0-3366_Phy0001T1N_BOVIN_matrix.txt,SA,415.64680000000004
12,0-3560_Phy0001SLE_BOVIN_matrix.txt,SA,166.37780000000004
38,0-3653_Phy0001SNJ_BOVIN_matrix.txt,SA,4251.141699999998
17,0-3893_Phy0001T1M_BOVIN_matrix.txt,SA,514.731
17,0-3978_Phy0001SKM_BOVIN_matrix.txt,SA,525.7496
11,0-4064_Phy0001SXK_BOVIN_matrix.txt,SA,142.06099999999998
25,0-4163_Phy0001U32_BOVIN_matrix.txt,SA,1199.8403000000003
36,0-4262_Phy0001SY5_BOVIN_matrix.txt,SA,4759.804200000003
37,0-4597_Phy0001SLG_BOVIN_matrix.txt,SA,3535.1191000000003
16,0-4611_Phy0001WH2_BOVIN_matrix.txt,SA,404.64920000000006
15,0-4632_Phy0001US7_BOVIN_matrix.txt,SA,331.4112
15,0-5016_Phy0001UA2_BOVIN_matrix.txt,SA,355.74299999999994
14,0-5387_Phy0001ZSJ_BOVIN_matrix.txt,SA,309.9893
12,0-5390_Phy0001YWE_BOVIN_matrix.txt,SA,241.8653
35,0-5561_Phy0001WXP_BOVIN_matrix.txt,SA,3822.762000000001
14,0-5653_Phy00021SM_BOVIN_matrix.txt,SA,304.1198
11,0-5780_Phy0001SYE_BOVIN_matrix.txt,SA,171.8004
19,0-5800_Phy0001WOF_BOVIN_matrix.txt,SA,737.8231999999999
30,0-5937_Phy00026Z0_BOVIN_matrix.txt,SA,2308.7868999999996
13,0-6122_Phy0001UTY_BOVIN_matrix.txt,SA,237.01469999999998
33,0-6264_Phy00025XU_BOVIN_matrix.txt,SA,2556.896700000001
33,0-6440_Phy00020HM_BOVIN_matrix.txt,SA,2333.8546000000006
12,0-6610_Phy001QA4Q_BOVIN_matrix.txt,SA,205.5831
13,0-6783_Phy0002A7Z_BOVIN_matrix.txt,SA,257.42199999999997
13,0-6808_Phy001Q8WI_BOVIN_matrix.txt,SA,255.228
16,0-6966_Phy00021K1_BOVIN_matrix.txt,SA,443.9717
27,0-7179_Phy00024CK_BOVIN_matrix.txt,SA,1438.9615000000001
20,0-7272_Phy001QA35_BOVIN_matrix.txt,SA,1093.2327999999995
22,0-7416_Phy0001XP5_BOVIN_matrix.txt,SA,984.6219000000002
14,0-7586_Phy00023HT_BOVIN_matrix.txt,SA,272.5847000000001
