size,name,method,time
19,0-2516_Phy0001SS5_BOVIN_matrix.txt,nmcutspce,20183.69921875
16,0-2653_Phy0001SSU_BOVIN_matrix.txt,nmcutspce,15155.083984375
36,0-2536_Phy0001SML_BOVIN_matrix.txt,nmcutspce,57333.481689453125
26,0-2659_Phy0001SUZ_BOVIN_matrix.txt,nmcutspce,33921.34814453125
26,0-2876_Phy0001SON_BOVIN_matrix.txt,nmcutspce,31728.87255859375
16,0-2940_Phy0001SHY_BOVIN_matrix.txt,nmcutspce,16922.223876953125
10,0-3039_Phy0001SMM_BOVIN_matrix.txt,nmcutspce,6312.56689453125
34,0-3081_Phy0001STS_BOVIN_matrix.txt,nmcutspce,59206.165283203125
25,0-3126_Phy0001SJ2_BOVIN_matrix.txt,nmcutspce,29744.103271484375
20,0-3134_Phy0001SQ2_BOVIN_matrix.txt,nmcutspce,19512.77685546875
16,0-3366_Phy0001T1N_BOVIN_matrix.txt,nmcutspce,15722.1484375
12,0-3560_Phy0001SLE_BOVIN_matrix.txt,nmcutspce,9144.03955078125
38,0-3653_Phy0001SNJ_BOVIN_matrix.txt,nmcutspce,60443.1953125
17,0-3893_Phy0001T1M_BOVIN_matrix.txt,nmcutspce,16052.09814453125
11,0-4064_Phy0001SXK_BOVIN_matrix.txt,nmcutspce,8253.62890625
17,0-3978_Phy0001SKM_BOVIN_matrix.txt,nmcutspce,14497.23779296875
25,0-4163_Phy0001U32_BOVIN_matrix.txt,nmcutspce,28073.498291015625
36,0-4262_Phy0001SY5_BOVIN_matrix.txt,nmcutspce,55119.117431640625
37,0-4597_Phy0001SLG_BOVIN_matrix.txt,nmcutspce,55954.81201171875
16,0-4611_Phy0001WH2_BOVIN_matrix.txt,nmcutspce,16143.016845703125
15,0-4632_Phy0001US7_BOVIN_matrix.txt,nmcutspce,12219.2822265625
15,0-5016_Phy0001UA2_BOVIN_matrix.txt,nmcutspce,12259.45751953125
14,0-5387_Phy0001ZSJ_BOVIN_matrix.txt,nmcutspce,13374.380126953125
12,0-5390_Phy0001YWE_BOVIN_matrix.txt,nmcutspce,11493.176025390625
35,0-5561_Phy0001WXP_BOVIN_matrix.txt,nmcutspce,53620.97265625
14,0-5653_Phy00021SM_BOVIN_matrix.txt,nmcutspce,11986.625732421875
11,0-5780_Phy0001SYE_BOVIN_matrix.txt,nmcutspce,6359.57177734375
30,0-5937_Phy00026Z0_BOVIN_matrix.txt,nmcutspce,38527.792236328125
19,0-5800_Phy0001WOF_BOVIN_matrix.txt,nmcutspce,20146.072509765625
13,0-6122_Phy0001UTY_BOVIN_matrix.txt,nmcutspce,9709.572998046875
33,0-6264_Phy00025XU_BOVIN_matrix.txt,nmcutspce,44123.236083984375
33,0-6440_Phy00020HM_BOVIN_matrix.txt,nmcutspce,46878.88818359375
12,0-6610_Phy001QA4Q_BOVIN_matrix.txt,nmcutspce,10231.796142578125
13,0-6783_Phy0002A7Z_BOVIN_matrix.txt,nmcutspce,8273.68603515625
13,0-6808_Phy001Q8WI_BOVIN_matrix.txt,nmcutspce,9754.156005859375
16,0-6966_Phy00021K1_BOVIN_matrix.txt,nmcutspce,13969.152587890625
20,0-7272_Phy001QA35_BOVIN_matrix.txt,nmcutspce,21759.3798828125
27,0-7179_Phy00024CK_BOVIN_matrix.txt,nmcutspce,35064.26171875
22,0-7416_Phy0001XP5_BOVIN_matrix.txt,nmcutspce,22690.53515625
14,0-7586_Phy00023HT_BOVIN_matrix.txt,nmcutspce,11851.602294921875
