size,name,method,time
11,0-1187_Phy008NZS8_PUCGT_matrix.txt,nmcutqrao,268612.24658203125
19,0-1374_Phy008O5P7_PUCGT_matrix.txt,nmcutqrao,654028.728515625
13,0-1408_Phy008O938_PUCGT_matrix.txt,nmcutqrao,430813.06982421875
18,0-1780_Phy008O9U2_PUCGT_matrix.txt,nmcutqrao,603623.9255371094
20,0-1976_Phy008O6FV_PUCGT_matrix.txt,nmcutqrao,554466.4838867188
11,0-2071_Phy008O4KN_PUCGT_matrix.txt,nmcutqrao,246370.42626953125
18,0-2334_Phy008O82G_PUCGT_matrix.txt,nmcutqrao,508244.0295410156
15,0-2336_Phy008O30Z_PUCGT_matrix.txt,nmcutqrao,429647.36669921875
17,0-2348_Phy008OAD8_PUCGT_matrix.txt,nmcutqrao,522535.23779296875
10,0-2544_Phy008NZ6B_PUCGT_matrix.txt,nmcutqrao,258477.67114257812
10,0-2660_Phy008O7K1_PUCGT_matrix.txt,nmcutqrao,318314.37158203125
20,0-2796_Phy008NZ68_PUCGT_matrix.txt,nmcutqrao,690371.2080078125
12,0-3095_Phy008O7MF_PUCGT_matrix.txt,nmcutqrao,376244.0651855469
12,0-3465_Phy008OAYW_PUCGT_matrix.txt,nmcutqrao,345967.7365722656
11,0-3292_Phy008O7OF_PUCGT_matrix.txt,nmcutqrao,292805.3254394531
22,0-3650_Phy008O2C9_PUCGT_matrix.txt,nmcutqrao,637020.806640625
19,0-3511_Phy008NZVJ_PUCGT_matrix.txt,nmcutqrao,604651.0832519531
12,0-3834_Phy008O7GI_PUCGT_matrix.txt,nmcutqrao,362399.6240234375
16,0-3704_Phy008O3XF_PUCGT_matrix.txt,nmcutqrao,430081.5710449219
10,0-3978_Phy008O9YG_PUCGT_matrix.txt,nmcutqrao,317498.48974609375
22,0-4796_Phy008O6HH_PUCGT_matrix.txt,nmcutqrao,711171.3791503906
13,0-4876_Phy008NZ6D_PUCGT_matrix.txt,nmcutqrao,373038.0725097656
19,0-4828_Phy008NYXH_PUCGT_matrix.txt,nmcutqrao,554504.8195800781
11,0-5010_Phy008O4NH_PUCGT_matrix.txt,nmcutqrao,347692.8151855469
10,0-5719_Phy008O53D_PUCGT_matrix.txt,nmcutqrao,319869.6240234375
10,0-5794_Phy008O3FH_PUCGT_matrix.txt,nmcutqrao,257577.92602539062
13,0-6918_Phy008O2GX_PUCGT_matrix.txt,nmcutqrao,306324.9733886719
12,0-7111_Phy008O623_PUCGT_matrix.txt,nmcutqrao,396044.3767089844
11,0-7606_Phy008O65F_PUCGT_matrix.txt,nmcutqrao,293749.3942871094
16,0-9241_Phy008O4KC_PUCGT_matrix.txt,nmcutqrao,491491.9619140625
11,0-7643_Phy008NYUN_PUCGT_matrix.txt,nmcutqrao,293881.4150390625
