size,name,method,time
11,0-1187_Phy008NZS8_PUCGT_matrix.txt,nmcutqrao,1406923.0285644531
19,0-1374_Phy008O5P7_PUCGT_matrix.txt,nmcutqrao,2287240.7641601562
13,0-1408_Phy008O938_PUCGT_matrix.txt,nmcutqrao,1390446.6979980469
18,0-1780_Phy008O9U2_PUCGT_matrix.txt,nmcutqrao,2172321.6606445312
20,0-1976_Phy008O6FV_PUCGT_matrix.txt,nmcutqrao,2453933.9672851562
11,0-2071_Phy008O4KN_PUCGT_matrix.txt,nmcutqrao,927004.3935546875
18,0-2334_Phy008O82G_PUCGT_matrix.txt,nmcutqrao,1683248.4816894531
15,0-2336_Phy008O30Z_PUCGT_matrix.txt,nmcutqrao,1754410.9985351562
17,0-2348_Phy008OAD8_PUCGT_matrix.txt,nmcutqrao,2173219.0803222656
10,0-2544_Phy008NZ6B_PUCGT_matrix.txt,nmcutqrao,978279.4091796875
10,0-2660_Phy008O7K1_PUCGT_matrix.txt,nmcutqrao,993337.3784179688
20,0-2796_Phy008NZ68_PUCGT_matrix.txt,nmcutqrao,2522615.8071289062
12,0-3095_Phy008O7MF_PUCGT_matrix.txt,nmcutqrao,1379529.2426757812
12,0-3465_Phy008OAYW_PUCGT_matrix.txt,nmcutqrao,1402790.078125
11,0-3292_Phy008O7OF_PUCGT_matrix.txt,nmcutqrao,1179516.6923828125
22,0-3650_Phy008O2C9_PUCGT_matrix.txt,nmcutqrao,2897944.881591797
19,0-3511_Phy008NZVJ_PUCGT_matrix.txt,nmcutqrao,2308792.0395507812
12,0-3834_Phy008O7GI_PUCGT_matrix.txt,nmcutqrao,1117333.5759277344
16,0-3704_Phy008O3XF_PUCGT_matrix.txt,nmcutqrao,1680704.9631347656
10,0-3978_Phy008O9YG_PUCGT_matrix.txt,nmcutqrao,1226742.3173828125
22,0-4796_Phy008O6HH_PUCGT_matrix.txt,nmcutqrao,2703966.1435546875
13,0-4876_Phy008NZ6D_PUCGT_matrix.txt,nmcutqrao,1411856.2954101562
19,0-4828_Phy008NYXH_PUCGT_matrix.txt,nmcutqrao,1990401.8388671875
11,0-5010_Phy008O4NH_PUCGT_matrix.txt,nmcutqrao,1101153.2731933594
10,0-5719_Phy008O53D_PUCGT_matrix.txt,nmcutqrao,948611.1306152344
10,0-5794_Phy008O3FH_PUCGT_matrix.txt,nmcutqrao,950420.5876464844
13,0-6918_Phy008O2GX_PUCGT_matrix.txt,nmcutqrao,1523040.9260253906
12,0-7111_Phy008O623_PUCGT_matrix.txt,nmcutqrao,926804.4426269531
11,0-7606_Phy008O65F_PUCGT_matrix.txt,nmcutqrao,1111415.16015625
16,0-9241_Phy008O4KC_PUCGT_matrix.txt,nmcutqrao,1966690.8664550781
11,0-7643_Phy008NYUN_PUCGT_matrix.txt,nmcutqrao,954552.4814453125
