size,name,method,time
11,0-1187_Phy008NZS8_PUCGT_matrix.txt,nmcutqrao,2526788.1264648438
19,0-1374_Phy008O5P7_PUCGT_matrix.txt,nmcutqrao,4620670.9892578125
13,0-1408_Phy008O938_PUCGT_matrix.txt,nmcutqrao,2941846.7243652344
18,0-1780_Phy008O9U2_PUCGT_matrix.txt,nmcutqrao,3861780.6467285156
20,0-1976_Phy008O6FV_PUCGT_matrix.txt,nmcutqrao,4374357.062744141
11,0-2071_Phy008O4KN_PUCGT_matrix.txt,nmcutqrao,2286819.307861328
18,0-2334_Phy008O82G_PUCGT_matrix.txt,nmcutqrao,3528669.6430664062
15,0-2336_Phy008O30Z_PUCGT_matrix.txt,nmcutqrao,3385795.1955566406
17,0-2348_Phy008OAD8_PUCGT_matrix.txt,nmcutqrao,3714293.3024902344
10,0-2544_Phy008NZ6B_PUCGT_matrix.txt,nmcutqrao,1844124.0388183594
10,0-2660_Phy008O7K1_PUCGT_matrix.txt,nmcutqrao,2238571.428466797
20,0-2796_Phy008NZ68_PUCGT_matrix.txt,nmcutqrao,4688275.169189453
12,0-3095_Phy008O7MF_PUCGT_matrix.txt,nmcutqrao,2903741.2341308594
12,0-3465_Phy008OAYW_PUCGT_matrix.txt,nmcutqrao,2607148.5708007812
11,0-3292_Phy008O7OF_PUCGT_matrix.txt,nmcutqrao,2210266.8435058594
22,0-3650_Phy008O2C9_PUCGT_matrix.txt,nmcutqrao,5044888.932373047
19,0-3511_Phy008NZVJ_PUCGT_matrix.txt,nmcutqrao,3763228.1264648438
12,0-3834_Phy008O7GI_PUCGT_matrix.txt,nmcutqrao,2269014.607421875
16,0-3704_Phy008O3XF_PUCGT_matrix.txt,nmcutqrao,3222125.3049316406
10,0-3978_Phy008O9YG_PUCGT_matrix.txt,nmcutqrao,2344054.1716308594
22,0-4796_Phy008O6HH_PUCGT_matrix.txt,nmcutqrao,5112026.193115234
13,0-4876_Phy008NZ6D_PUCGT_matrix.txt,nmcutqrao,2607201.8979492188
19,0-4828_Phy008NYXH_PUCGT_matrix.txt,nmcutqrao,4243497.863037109
11,0-5010_Phy008O4NH_PUCGT_matrix.txt,nmcutqrao,1862757.0241699219
10,0-5719_Phy008O53D_PUCGT_matrix.txt,nmcutqrao,1850884.6259765625
10,0-5794_Phy008O3FH_PUCGT_matrix.txt,nmcutqrao,1842547.1960449219
13,0-6918_Phy008O2GX_PUCGT_matrix.txt,nmcutqrao,2960624.785888672
12,0-7111_Phy008O623_PUCGT_matrix.txt,nmcutqrao,2650241.401611328
11,0-7606_Phy008O65F_PUCGT_matrix.txt,nmcutqrao,2699620.727783203
16,0-9241_Phy008O4KC_PUCGT_matrix.txt,nmcutqrao,2997222.7907714844
11,0-7643_Phy008NYUN_PUCGT_matrix.txt,nmcutqrao,2231388.4321289062
