size,name,method,time
16,0-1457_Phy0007YUQ_HUMAN_matrix.txt,NMcutQA,603.4663200000001
34,0-1835_Phy0008G06_HUMAN_matrix.txt,NMcutQA,2703.9819199999993
12,0-2074_Phy0008CR1_HUMAN_matrix.txt,NMcutQA,384.36984
29,0-2125_Phy0007ZV6_HUMAN_matrix.txt,NMcutQA,2588.492960000001
37,0-2140_Phy0007YN0_HUMAN_matrix.txt,NMcutQA,2073.3577599999994
17,0-2250_Phy0007XGT_HUMAN_matrix.txt,NMcutQA,701.6154799999999
40,0-2487_Phy0008FYG_HUMAN_matrix.txt,NMcutQA,2261.0324400000004
17,0-2567_Phy00081A5_HUMAN_matrix.txt,NMcutQA,683.0306400000003
36,0-2615_Phy0008BM0_HUMAN_matrix.txt,NMcutQA,2104.0205600000013
23,0-2801_Phy00086HI_HUMAN_matrix.txt,NMcutQA,1193.9651599999997
17,0-2823_Phy00088LQ_HUMAN_matrix.txt,NMcutQA,720.05272
36,0-2841_Phy000839J_HUMAN_matrix.txt,NMcutQA,2213.344080000001
38,0-3060_Phy0007ZNC_HUMAN_matrix.txt,NMcutQA,2822.5609200000004
33,0-3055_Phy000875B_HUMAN_matrix.txt,NMcutQA,1623.9406000000006
30,0-3195_Phy0007XME_HUMAN_matrix.txt,NMcutQA,1581.7046800000005
34,0-3537_Phy0008HMK_HUMAN_matrix.txt,NMcutQA,1673.34312
26,0-3237_Phy0007XCN_HUMAN_matrix.txt,NMcutQA,1698.4620399999997
24,0-3630_Phy0008IWH_HUMAN_matrix.txt,NMcutQA,994.0048399999998
33,0-3731_Phy0008JIM_HUMAN_matrix.txt,NMcutQA,1964.3740800000003
14,0-5280_Phy00087KY_HUMAN_matrix.txt,NMcutQA,500.68519999999995
