size,name,method,time
16,0-1457_Phy0007YUQ_HUMAN_matrix.txt,NMcutQA,1311.0763199999997
34,0-1835_Phy0008G06_HUMAN_matrix.txt,NMcutQA,3019.5982400000016
12,0-2074_Phy0008CR1_HUMAN_matrix.txt,NMcutQA,731.1980800000001
29,0-2125_Phy0007ZV6_HUMAN_matrix.txt,NMcutQA,2591.0683199999994
37,0-2140_Phy0007YN0_HUMAN_matrix.txt,NMcutQA,4330.68872
17,0-2250_Phy0007XGT_HUMAN_matrix.txt,NMcutQA,1582.9919200000002
40,0-2487_Phy0008FYG_HUMAN_matrix.txt,NMcutQA,4219.57344
17,0-2567_Phy00081A5_HUMAN_matrix.txt,NMcutQA,1738.9561600000004
36,0-2615_Phy0008BM0_HUMAN_matrix.txt,NMcutQA,3443.515280000001
23,0-2801_Phy00086HI_HUMAN_matrix.txt,NMcutQA,1657.84448
17,0-2823_Phy00088LQ_HUMAN_matrix.txt,NMcutQA,1312.9925600000001
36,0-2841_Phy000839J_HUMAN_matrix.txt,NMcutQA,4025.3171999999995
38,0-3060_Phy0007ZNC_HUMAN_matrix.txt,NMcutQA,4491.612959999997
33,0-3055_Phy000875B_HUMAN_matrix.txt,NMcutQA,3326.475999999999
30,0-3195_Phy0007XME_HUMAN_matrix.txt,NMcutQA,2589.8016800000005
34,0-3537_Phy0008HMK_HUMAN_matrix.txt,NMcutQA,3402.8618400000005
26,0-3237_Phy0007XCN_HUMAN_matrix.txt,NMcutQA,2552.751279999999
24,0-3630_Phy0008IWH_HUMAN_matrix.txt,NMcutQA,2047.7086400000003
33,0-3731_Phy0008JIM_HUMAN_matrix.txt,NMcutQA,3558.4060799999997
14,0-5280_Phy00087KY_HUMAN_matrix.txt,NMcutQA,1043.2068800000002
