size,name,method,time
16,0-1457_Phy0007YUQ_HUMAN_matrix.txt,NMcutHy,86746.25999999998
34,0-1835_Phy0008G06_HUMAN_matrix.txt,NMcutHy,251283.01799999995
12,0-2074_Phy0008CR1_HUMAN_matrix.txt,NMcutHy,59845.637
29,0-2125_Phy0007ZV6_HUMAN_matrix.txt,NMcutHy,203382.713
37,0-2140_Phy0007YN0_HUMAN_matrix.txt,NMcutHy,314077.81200000003
17,0-2250_Phy0007XGT_HUMAN_matrix.txt,NMcutHy,98706.38599999998
40,0-2487_Phy0008FYG_HUMAN_matrix.txt,NMcutHy,340899.8119999998
17,0-2567_Phy00081A5_HUMAN_matrix.txt,NMcutHy,104677.80500000001
36,0-2615_Phy0008BM0_HUMAN_matrix.txt,NMcutHy,254275.86000000004
23,0-2801_Phy00086HI_HUMAN_matrix.txt,NMcutHy,143599.31000000003
17,0-2823_Phy00088LQ_HUMAN_matrix.txt,NMcutHy,89711.90499999998
36,0-2841_Phy000839J_HUMAN_matrix.txt,NMcutHy,331963.74600000016
38,0-3060_Phy0007ZNC_HUMAN_matrix.txt,NMcutHy,403822.61800000013
33,0-3055_Phy000875B_HUMAN_matrix.txt,NMcutHy,305053.409
30,0-3195_Phy0007XME_HUMAN_matrix.txt,NMcutHy,263210.73899999994
34,0-3537_Phy0008HMK_HUMAN_matrix.txt,NMcutHy,287015.05500000005
26,0-3237_Phy0007XCN_HUMAN_matrix.txt,NMcutHy,167464.313
24,0-3630_Phy0008IWH_HUMAN_matrix.txt,NMcutHy,161466.16599999997
33,0-3731_Phy0008JIM_HUMAN_matrix.txt,NMcutHy,272083.17300000007
14,0-5280_Phy00087KY_HUMAN_matrix.txt,NMcutHy,71772.51099999997
