size,name,method,time
16,0-1457_Phy0007YUQ_HUMAN_matrix.txt,nmcutpce,17605.265869140625
34,0-1835_Phy0008G06_HUMAN_matrix.txt,nmcutpce,59399.59814453125
12,0-2074_Phy0008CR1_HUMAN_matrix.txt,nmcutpce,8418.094970703125
29,0-2125_Phy0007ZV6_HUMAN_matrix.txt,nmcutpce,37662.680419921875
37,0-2140_Phy0007YN0_HUMAN_matrix.txt,nmcutpce,60657.1044921875
17,0-2250_Phy0007XGT_HUMAN_matrix.txt,nmcutpce,19024.7841796875
40,0-2487_Phy0008FYG_HUMAN_matrix.txt,nmcutpce,66576.48022460938
17,0-2567_Phy00081A5_HUMAN_matrix.txt,nmcutpce,15417.58447265625
36,0-2615_Phy0008BM0_HUMAN_matrix.txt,nmcutpce,55341.76025390625
23,0-2801_Phy00086HI_HUMAN_matrix.txt,nmcutpce,23711.94580078125
17,0-2823_Phy00088LQ_HUMAN_matrix.txt,nmcutpce,15000.380859375
36,0-2841_Phy000839J_HUMAN_matrix.txt,nmcutpce,57903.60888671875
38,0-3060_Phy0007ZNC_HUMAN_matrix.txt,nmcutpce,59681.891357421875
33,0-3055_Phy000875B_HUMAN_matrix.txt,nmcutpce,48146.573974609375
30,0-3195_Phy0007XME_HUMAN_matrix.txt,nmcutpce,39981.08642578125
34,0-3537_Phy0008HMK_HUMAN_matrix.txt,nmcutpce,50813.76953125
26,0-3237_Phy0007XCN_HUMAN_matrix.txt,nmcutpce,30683.28564453125
24,0-3630_Phy0008IWH_HUMAN_matrix.txt,nmcutpce,30586.080078125
33,0-3731_Phy0008JIM_HUMAN_matrix.txt,nmcutpce,48142.558837890625
14,0-5280_Phy00087KY_HUMAN_matrix.txt,nmcutpce,12091.363037109375
