size,name,method,time
16,0-1457_Phy0007YUQ_HUMAN_matrix.txt,SA,383.10810000000004
34,0-1835_Phy0008G06_HUMAN_matrix.txt,SA,4187.954100000001
12,0-2074_Phy0008CR1_HUMAN_matrix.txt,SA,242.44559999999998
29,0-2125_Phy0007ZV6_HUMAN_matrix.txt,SA,2266.2270999999987
37,0-2140_Phy0007YN0_HUMAN_matrix.txt,SA,5028.7819
17,0-2250_Phy0007XGT_HUMAN_matrix.txt,SA,594.886
40,0-2487_Phy0008FYG_HUMAN_matrix.txt,SA,4235.675900000001
17,0-2567_Phy00081A5_HUMAN_matrix.txt,SA,672.5248999999997
36,0-2615_Phy0008BM0_HUMAN_matrix.txt,SA,3393.945900000001
23,0-2801_Phy00086HI_HUMAN_matrix.txt,SA,1263.3819999999996
17,0-2823_Phy00088LQ_HUMAN_matrix.txt,SA,524.5279
36,0-2841_Phy000839J_HUMAN_matrix.txt,SA,3838.8275999999973
33,0-3055_Phy000875B_HUMAN_matrix.txt,SA,2857.535699999999
38,0-3060_Phy0007ZNC_HUMAN_matrix.txt,SA,3919.5517000000027
30,0-3195_Phy0007XME_HUMAN_matrix.txt,SA,2377.210700000001
26,0-3237_Phy0007XCN_HUMAN_matrix.txt,SA,1500.4516000000006
34,0-3537_Phy0008HMK_HUMAN_matrix.txt,SA,3789.4469999999997
24,0-3630_Phy0008IWH_HUMAN_matrix.txt,SA,1447.7031
33,0-3731_Phy0008JIM_HUMAN_matrix.txt,SA,2875.0009000000005
14,0-5280_Phy00087KY_HUMAN_matrix.txt,SA,363.74159999999995
