size,name,method,time
16,0-1457_Phy0007YUQ_HUMAN_matrix.txt,nmcutspce,17516.420166015625
34,0-1835_Phy0008G06_HUMAN_matrix.txt,nmcutspce,50691.08349609375
12,0-2074_Phy0008CR1_HUMAN_matrix.txt,nmcutspce,8562.5361328125
29,0-2125_Phy0007ZV6_HUMAN_matrix.txt,nmcutspce,35844.242431640625
37,0-2140_Phy0007YN0_HUMAN_matrix.txt,nmcutspce,58808.2314453125
17,0-2250_Phy0007XGT_HUMAN_matrix.txt,nmcutspce,14962.811767578125
40,0-2487_Phy0008FYG_HUMAN_matrix.txt,nmcutspce,67513.73168945312
17,0-2567_Phy00081A5_HUMAN_matrix.txt,nmcutspce,15894.36767578125
36,0-2615_Phy0008BM0_HUMAN_matrix.txt,nmcutspce,55712.161865234375
23,0-2801_Phy00086HI_HUMAN_matrix.txt,nmcutspce,25201.6669921875
17,0-2823_Phy00088LQ_HUMAN_matrix.txt,nmcutspce,13660.23388671875
36,0-2841_Phy000839J_HUMAN_matrix.txt,nmcutspce,57302.042724609375
38,0-3060_Phy0007ZNC_HUMAN_matrix.txt,nmcutspce,60244.53564453125
33,0-3055_Phy000875B_HUMAN_matrix.txt,nmcutspce,48918.8037109375
30,0-3195_Phy0007XME_HUMAN_matrix.txt,nmcutspce,40766.508544921875
34,0-3537_Phy0008HMK_HUMAN_matrix.txt,nmcutspce,50033.056884765625
26,0-3237_Phy0007XCN_HUMAN_matrix.txt,nmcutspce,29443.81298828125
24,0-3630_Phy0008IWH_HUMAN_matrix.txt,nmcutspce,29013.8779296875
33,0-3731_Phy0008JIM_HUMAN_matrix.txt,nmcutspce,48790.685302734375
14,0-5280_Phy00087KY_HUMAN_matrix.txt,nmcutspce,13456.361572265625
