size,name,method,time
30,0-2576_Phy0042T98_PENDI_matrix.txt,NMcutQA,2743.912239999999
34,0-2645_Phy003Q8P2_PENDI_matrix.txt,NMcutQA,3751.7070400000007
29,0-2712_Phy003Q6UV_PENDI_matrix.txt,NMcutQA,2591.886640000001
28,0-2859_Phy003QA9A_PENDI_matrix.txt,NMcutQA,2590.1373599999993
32,0-2912_Phy003QBA0_PENDI_matrix.txt,NMcutQA,3212.0224800000005
25,0-3202_Phy003QAL1_PENDI_matrix.txt,NMcutQA,2592.651520000001
29,0-3552_Phy0042SL3_PENDI_matrix.txt,NMcutQA,2667.0866400000004
28,0-3312_Phy003Q83V_PENDI_matrix.txt,NMcutQA,2667.5438400000003
21,0-3611_Phy003QBO6_PENDI_matrix.txt,NMcutQA,1544.38456
14,0-3995_Phy0045P6V_PENDI_matrix.txt,NMcutQA,964.6424000000001
28,0-4062_Phy0042T5Q_PENDI_matrix.txt,NMcutQA,3248.661040000001
15,0-4122_Phy003QCB4_PENDI_matrix.txt,NMcutQA,1042.0992
14,0-4151_Phy003QBS4_PENDI_matrix.txt,NMcutQA,926.7194400000001
23,0-4502_Phy003Q8L5_PENDI_matrix.txt,NMcutQA,2203.6182400000007
29,0-4226_Phy0042T4N_PENDI_matrix.txt,NMcutQA,2708.1947999999984
24,0-4843_Phy0042UCY_PENDI_matrix.txt,NMcutQA,1855.1631200000004
30,0-4642_Phy0048AWY_PENDI_matrix.txt,NMcutQA,3053.263759999999
32,0-5077_Phy0042U2P_PENDI_matrix.txt,NMcutQA,3169.6399199999996
10,0-4916_Phy003QAXZ_PENDI_matrix.txt,NMcutQA,423.06255999999996
30,0-5266_Phy0045PS5_PENDI_matrix.txt,NMcutQA,2781.68968
15,0-5716_Phy003Q70T_PENDI_matrix.txt,NMcutQA,1195.982
34,0-5453_Phy003VNLF_PENDI_matrix.txt,NMcutQA,3870.7415999999994
17,0-5979_Phy003QCG6_PENDI_matrix.txt,NMcutQA,1117.5060800000003
13,0-5765_Phy003VMGE_PENDI_matrix.txt,NMcutQA,769.1448
10,0-6024_Phy003Q9QV_PENDI_matrix.txt,NMcutQA,462.14511999999996
15,0-6047_Phy003QCEL_PENDI_matrix.txt,NMcutQA,1041.38432
11,0-6190_Phy0042S18_PENDI_matrix.txt,NMcutQA,539.26512
16,0-6225_Phy003VMDX_PENDI_matrix.txt,NMcutQA,1079.51536
30,0-6364_Phy0045Q6A_PENDI_matrix.txt,NMcutQA,2395.4799200000007
23,0-6467_Phy0048AN8_PENDI_matrix.txt,NMcutQA,1776.3312800000003
15,0-6648_Phy003Q9Y1_PENDI_matrix.txt,NMcutQA,1156.2418400000001
27,0-6482_Phy0042TO8_PENDI_matrix.txt,NMcutQA,2278.6512000000002
32,0-6693_Phy0042SPT_PENDI_matrix.txt,NMcutQA,3015.346400000001
11,0-6820_Phy003QA8L_PENDI_matrix.txt,NMcutQA,578.3330399999999
34,0-7173_Phy003QAVC_PENDI_matrix.txt,NMcutQA,3366.67288
16,0-6862_Phy0048AW7_PENDI_matrix.txt,NMcutQA,1310.8579200000001
14,0-7240_Phy003Q83Q_PENDI_matrix.txt,NMcutQA,1000.64696
12,0-7519_Phy003Q9MR_PENDI_matrix.txt,NMcutQA,616.0119199999999
13,0-7427_Phy0042UBM_PENDI_matrix.txt,NMcutQA,963.89904
13,0-7599_Phy003VMY1_PENDI_matrix.txt,NMcutQA,810.5869600000002
