size,name,method,time
28,0-2859_Phy003QA9A_PENDI_matrix.txt,NMcutHy,191427.152
30,0-2576_Phy0042T98_PENDI_matrix.txt,NMcutHy,251103.55100000012
34,0-2645_Phy003Q8P2_PENDI_matrix.txt,NMcutHy,257246.12800000003
29,0-2712_Phy003Q6UV_PENDI_matrix.txt,NMcutHy,209388.96200000006
32,0-2912_Phy003QBA0_PENDI_matrix.txt,NMcutHy,236267.65399999998
25,0-3202_Phy003QAL1_PENDI_matrix.txt,NMcutHy,167451.10600000006
29,0-3552_Phy0042SL3_PENDI_matrix.txt,NMcutHy,227236.177
28,0-3312_Phy003Q83V_PENDI_matrix.txt,NMcutHy,188305.613
21,0-3611_Phy003QBO6_PENDI_matrix.txt,NMcutHy,137523.42200000002
14,0-3995_Phy0045P6V_PENDI_matrix.txt,NMcutHy,71822.939
28,0-4062_Phy0042T5Q_PENDI_matrix.txt,NMcutHy,185382.587
15,0-4122_Phy003QCB4_PENDI_matrix.txt,NMcutHy,77752.18999999999
14,0-4151_Phy003QBS4_PENDI_matrix.txt,NMcutHy,65742.92
23,0-4502_Phy003Q8L5_PENDI_matrix.txt,NMcutHy,140592.911
29,0-4226_Phy0042T4N_PENDI_matrix.txt,NMcutHy,236280.46600000001
24,0-4843_Phy0042UCY_PENDI_matrix.txt,NMcutHy,173436.44499999992
30,0-4642_Phy0048AWY_PENDI_matrix.txt,NMcutHy,236187.1070000001
32,0-5077_Phy0042U2P_PENDI_matrix.txt,NMcutHy,233210.936
10,0-4916_Phy003QAXZ_PENDI_matrix.txt,NMcutHy,35885.048
30,0-5266_Phy0045PS5_PENDI_matrix.txt,NMcutHy,221270.7039999999
15,0-5716_Phy003Q70T_PENDI_matrix.txt,NMcutHy,71750.79
34,0-5453_Phy003VNLF_PENDI_matrix.txt,NMcutHy,284071.06999999995
17,0-5979_Phy003QCG6_PENDI_matrix.txt,NMcutHy,92701.19699999999
13,0-5765_Phy003VMGE_PENDI_matrix.txt,NMcutHy,56810.19500000001
10,0-6024_Phy003Q9QV_PENDI_matrix.txt,NMcutHy,35881.422
15,0-6047_Phy003QCEL_PENDI_matrix.txt,NMcutHy,71760.97899999999
11,0-6190_Phy0042S18_PENDI_matrix.txt,NMcutHy,47829.662
16,0-6225_Phy003VMDX_PENDI_matrix.txt,NMcutHy,77773.458
30,0-6364_Phy0045Q6A_PENDI_matrix.txt,NMcutHy,209353.37399999998
23,0-6467_Phy0048AN8_PENDI_matrix.txt,NMcutHy,152501.19199999998
15,0-6648_Phy003Q9Y1_PENDI_matrix.txt,NMcutHy,71763.456
27,0-6482_Phy0042TO8_PENDI_matrix.txt,NMcutHy,191413.57499999995
32,0-6693_Phy0042SPT_PENDI_matrix.txt,NMcutHy,248136.325
11,0-6820_Phy003QA8L_PENDI_matrix.txt,NMcutHy,38895.043999999994
34,0-7173_Phy003QAVC_PENDI_matrix.txt,NMcutHy,281105.611
16,0-6862_Phy0048AW7_PENDI_matrix.txt,NMcutHy,77752.681
14,0-7240_Phy003Q83Q_PENDI_matrix.txt,NMcutHy,62783.83800000002
12,0-7519_Phy003Q9MR_PENDI_matrix.txt,NMcutHy,44876.748999999996
13,0-7427_Phy0042UBM_PENDI_matrix.txt,NMcutHy,65758.02900000001
13,0-7599_Phy003VMY1_PENDI_matrix.txt,NMcutHy,56799.84599999999
