size,name,method,time
30,0-2576_Phy0042T98_PENDI_matrix.txt,NJ,13.4951171875
34,0-2645_Phy003Q8P2_PENDI_matrix.txt,NJ,16.090576171875
29,0-2712_Phy003Q6UV_PENDI_matrix.txt,NJ,12.024658203125
28,0-2859_Phy003QA9A_PENDI_matrix.txt,NJ,11.26708984375
32,0-2912_Phy003QBA0_PENDI_matrix.txt,NJ,16.006103515625
25,0-3202_Phy003QAL1_PENDI_matrix.txt,NJ,8.002685546875
28,0-3312_Phy003Q83V_PENDI_matrix.txt,NJ,9.9189453125
29,0-3552_Phy0042SL3_PENDI_matrix.txt,NJ,13.432373046875
21,0-3611_Phy003QBO6_PENDI_matrix.txt,NJ,0.0
14,0-3995_Phy0045P6V_PENDI_matrix.txt,NJ,0.0
28,0-4062_Phy0042T5Q_PENDI_matrix.txt,NJ,0.0
15,0-4122_Phy003QCB4_PENDI_matrix.txt,NJ,13.33740234375
14,0-4151_Phy003QBS4_PENDI_matrix.txt,NJ,0.0
29,0-4226_Phy0042T4N_PENDI_matrix.txt,NJ,7.78466796875
23,0-4502_Phy003Q8L5_PENDI_matrix.txt,NJ,0.0
30,0-4642_Phy0048AWY_PENDI_matrix.txt,NJ,12.9697265625
24,0-4843_Phy0042UCY_PENDI_matrix.txt,NJ,0.0
10,0-4916_Phy003QAXZ_PENDI_matrix.txt,NJ,0.0
32,0-5077_Phy0042U2P_PENDI_matrix.txt,NJ,28.91259765625
30,0-5266_Phy0045PS5_PENDI_matrix.txt,NJ,15.861083984375
34,0-5453_Phy003VNLF_PENDI_matrix.txt,NJ,19.270751953125
15,0-5716_Phy003Q70T_PENDI_matrix.txt,NJ,0.908935546875
13,0-5765_Phy003VMGE_PENDI_matrix.txt,NJ,0.0
17,0-5979_Phy003QCG6_PENDI_matrix.txt,NJ,7.64208984375
10,0-6024_Phy003Q9QV_PENDI_matrix.txt,NJ,2.94921875
15,0-6047_Phy003QCEL_PENDI_matrix.txt,NJ,2.24658203125
11,0-6190_Phy0042S18_PENDI_matrix.txt,NJ,1.767578125
16,0-6225_Phy003VMDX_PENDI_matrix.txt,NJ,0.0
30,0-6364_Phy0045Q6A_PENDI_matrix.txt,NJ,17.360595703125
23,0-6467_Phy0048AN8_PENDI_matrix.txt,NJ,0.373291015625
27,0-6482_Phy0042TO8_PENDI_matrix.txt,NJ,13.120849609375
15,0-6648_Phy003Q9Y1_PENDI_matrix.txt,NJ,7.375732421875
32,0-6693_Phy0042SPT_PENDI_matrix.txt,NJ,7.919189453125
11,0-6820_Phy003QA8L_PENDI_matrix.txt,NJ,1.633056640625
16,0-6862_Phy0048AW7_PENDI_matrix.txt,NJ,0.5068359375
34,0-7173_Phy003QAVC_PENDI_matrix.txt,NJ,22.89892578125
14,0-7240_Phy003Q83Q_PENDI_matrix.txt,NJ,2.037353515625
13,0-7427_Phy0042UBM_PENDI_matrix.txt,NJ,0.0
12,0-7519_Phy003Q9MR_PENDI_matrix.txt,NJ,0.0
13,0-7599_Phy003VMY1_PENDI_matrix.txt,NJ,0.0
