size,name,method,time
30,0-2576_Phy0042T98_PENDI_matrix.txt,nmcutpce,40566.404296875
34,0-2645_Phy003Q8P2_PENDI_matrix.txt,nmcutpce,54958.931884765625
29,0-2712_Phy003Q6UV_PENDI_matrix.txt,nmcutpce,41065.405029296875
28,0-2859_Phy003QA9A_PENDI_matrix.txt,nmcutpce,34518.994140625
32,0-2912_Phy003QBA0_PENDI_matrix.txt,nmcutpce,43032.239990234375
25,0-3202_Phy003QAL1_PENDI_matrix.txt,nmcutpce,28396.767578125
29,0-3552_Phy0042SL3_PENDI_matrix.txt,nmcutpce,38373.357421875
28,0-3312_Phy003Q83V_PENDI_matrix.txt,nmcutpce,37675.978515625
21,0-3611_Phy003QBO6_PENDI_matrix.txt,nmcutpce,21914.77978515625
14,0-3995_Phy0045P6V_PENDI_matrix.txt,nmcutpce,11072.582763671875
28,0-4062_Phy0042T5Q_PENDI_matrix.txt,nmcutpce,39458.466552734375
15,0-4122_Phy003QCB4_PENDI_matrix.txt,nmcutpce,15061.082763671875
14,0-4151_Phy003QBS4_PENDI_matrix.txt,nmcutpce,11785.778076171875
23,0-4502_Phy003Q8L5_PENDI_matrix.txt,nmcutpce,24882.058349609375
29,0-4226_Phy0042T4N_PENDI_matrix.txt,nmcutpce,35196.127685546875
24,0-4843_Phy0042UCY_PENDI_matrix.txt,nmcutpce,27230.037353515625
30,0-4642_Phy0048AWY_PENDI_matrix.txt,nmcutpce,40214.044921875
32,0-5077_Phy0042U2P_PENDI_matrix.txt,nmcutpce,47805.5400390625
10,0-4916_Phy003QAXZ_PENDI_matrix.txt,nmcutpce,5585.34228515625
30,0-5266_Phy0045PS5_PENDI_matrix.txt,nmcutpce,41827.584716796875
15,0-5716_Phy003Q70T_PENDI_matrix.txt,nmcutpce,12743.81640625
34,0-5453_Phy003VNLF_PENDI_matrix.txt,nmcutpce,52828.921875
17,0-5979_Phy003QCG6_PENDI_matrix.txt,nmcutpce,15683.5478515625
13,0-5765_Phy003VMGE_PENDI_matrix.txt,nmcutpce,8591.266357421875
10,0-6024_Phy003Q9QV_PENDI_matrix.txt,nmcutpce,7048.6513671875
15,0-6047_Phy003QCEL_PENDI_matrix.txt,nmcutpce,12808.593017578125
11,0-6190_Phy0042S18_PENDI_matrix.txt,nmcutpce,7039.07470703125
16,0-6225_Phy003VMDX_PENDI_matrix.txt,nmcutpce,18034.353515625
30,0-6364_Phy0045Q6A_PENDI_matrix.txt,nmcutpce,44982.58349609375
23,0-6467_Phy0048AN8_PENDI_matrix.txt,nmcutpce,24800.62109375
15,0-6648_Phy003Q9Y1_PENDI_matrix.txt,nmcutpce,11418.543701171875
27,0-6482_Phy0042TO8_PENDI_matrix.txt,nmcutpce,31804.7236328125
32,0-6693_Phy0042SPT_PENDI_matrix.txt,nmcutpce,49309.525634765625
11,0-6820_Phy003QA8L_PENDI_matrix.txt,nmcutpce,8552.125244140625
34,0-7173_Phy003QAVC_PENDI_matrix.txt,nmcutpce,52632.463623046875
16,0-6862_Phy0048AW7_PENDI_matrix.txt,nmcutpce,14498.6025390625
14,0-7240_Phy003Q83Q_PENDI_matrix.txt,nmcutpce,10595.28955078125
12,0-7519_Phy003Q9MR_PENDI_matrix.txt,nmcutpce,8484.2197265625
13,0-7427_Phy0042UBM_PENDI_matrix.txt,nmcutpce,8926.64404296875
13,0-7599_Phy003VMY1_PENDI_matrix.txt,nmcutpce,8696.34912109375
