size,name,method,time
25,0-3202_Phy003QAL1_PENDI_matrix.txt,qaoa,2740124.444091797
21,0-3611_Phy003QBO6_PENDI_matrix.txt,qaoa,199248.4052734375
14,0-3995_Phy0045P6V_PENDI_matrix.txt,qaoa,40424.136474609375
15,0-4122_Phy003QCB4_PENDI_matrix.txt,qaoa,36163.1474609375
14,0-4151_Phy003QBS4_PENDI_matrix.txt,qaoa,50826.42333984375
23,0-4502_Phy003Q8L5_PENDI_matrix.txt,qaoa,822160.9318847656
24,0-4843_Phy0042UCY_PENDI_matrix.txt,qaoa,1526677.3408203125
10,0-4916_Phy003QAXZ_PENDI_matrix.txt,qaoa,12544.980224609375
15,0-5716_Phy003Q70T_PENDI_matrix.txt,qaoa,37279.366455078125
17,0-5979_Phy003QCG6_PENDI_matrix.txt,qaoa,70094.228515625
13,0-5765_Phy003VMGE_PENDI_matrix.txt,qaoa,28788.26513671875
10,0-6024_Phy003Q9QV_PENDI_matrix.txt,qaoa,12375.1474609375
15,0-6047_Phy003QCEL_PENDI_matrix.txt,qaoa,36807.122314453125
11,0-6190_Phy0042S18_PENDI_matrix.txt,qaoa,20875.737548828125
16,0-6225_Phy003VMDX_PENDI_matrix.txt,qaoa,40416.3603515625
23,0-6467_Phy0048AN8_PENDI_matrix.txt,qaoa,712938.1069335938
15,0-6648_Phy003Q9Y1_PENDI_matrix.txt,qaoa,33249.122802734375
11,0-6820_Phy003QA8L_PENDI_matrix.txt,qaoa,16552.117919921875
16,0-6862_Phy0048AW7_PENDI_matrix.txt,qaoa,46830.576171875
14,0-7240_Phy003Q83Q_PENDI_matrix.txt,qaoa,47287.83203125
12,0-7519_Phy003Q9MR_PENDI_matrix.txt,qaoa,29587.961181640625
13,0-7427_Phy0042UBM_PENDI_matrix.txt,qaoa,35444.940185546875
13,0-7599_Phy003VMY1_PENDI_matrix.txt,qaoa,27666.376220703125
