size,name,method,time
25,0-3202_Phy003QAL1_PENDI_matrix.txt,nmcutqrao,3200054.9748535156
21,0-3611_Phy003QBO6_PENDI_matrix.txt,nmcutqrao,1152911.8767089844
14,0-3995_Phy0045P6V_PENDI_matrix.txt,nmcutqrao,387263.197265625
15,0-4122_Phy003QCB4_PENDI_matrix.txt,nmcutqrao,322660.5461425781
14,0-4151_Phy003QBS4_PENDI_matrix.txt,nmcutqrao,424291.74267578125
23,0-4502_Phy003Q8L5_PENDI_matrix.txt,nmcutqrao,1624115.9189453125
24,0-4843_Phy0042UCY_PENDI_matrix.txt,nmcutqrao,3236849.1716308594
10,0-4916_Phy003QAXZ_PENDI_matrix.txt,nmcutqrao,116938.21508789062
15,0-5716_Phy003Q70T_PENDI_matrix.txt,nmcutqrao,362917.75048828125
17,0-5979_Phy003QCG6_PENDI_matrix.txt,nmcutqrao,629168.0422363281
13,0-5765_Phy003VMGE_PENDI_matrix.txt,nmcutqrao,290027.21728515625
10,0-6024_Phy003Q9QV_PENDI_matrix.txt,nmcutqrao,170179.4931640625
15,0-6047_Phy003QCEL_PENDI_matrix.txt,nmcutqrao,356035.2746582031
11,0-6190_Phy0042S18_PENDI_matrix.txt,nmcutqrao,139923.67846679688
16,0-6225_Phy003VMDX_PENDI_matrix.txt,nmcutqrao,830855.2138671875
23,0-6467_Phy0048AN8_PENDI_matrix.txt,nmcutqrao,2469686.2829589844
15,0-6648_Phy003Q9Y1_PENDI_matrix.txt,nmcutqrao,442813.0051269531
11,0-6820_Phy003QA8L_PENDI_matrix.txt,nmcutqrao,130088.87939453125
16,0-6862_Phy0048AW7_PENDI_matrix.txt,nmcutqrao,372122.0920410156
14,0-7240_Phy003Q83Q_PENDI_matrix.txt,nmcutqrao,373844.9479980469
12,0-7519_Phy003Q9MR_PENDI_matrix.txt,nmcutqrao,156116.63623046875
13,0-7427_Phy0042UBM_PENDI_matrix.txt,nmcutqrao,190423.94970703125
13,0-7599_Phy003VMY1_PENDI_matrix.txt,nmcutqrao,251089.36474609375
