size,name,method,time
25,0-3202_Phy003QAL1_PENDI_matrix.txt,nmcutqrao_esu2,4507033.013427734
21,0-3611_Phy003QBO6_PENDI_matrix.txt,nmcutqrao_esu2,1357308.2697753906
14,0-3995_Phy0045P6V_PENDI_matrix.txt,nmcutqrao_esu2,406953.4445800781
15,0-4122_Phy003QCB4_PENDI_matrix.txt,nmcutqrao_esu2,245349.79809570312
14,0-4151_Phy003QBS4_PENDI_matrix.txt,nmcutqrao_esu2,410045.31298828125
23,0-4502_Phy003Q8L5_PENDI_matrix.txt,nmcutqrao_esu2,2247631.674560547
24,0-4843_Phy0042UCY_PENDI_matrix.txt,nmcutqrao_esu2,4323385.914550781
10,0-4916_Phy003QAXZ_PENDI_matrix.txt,nmcutqrao_esu2,100167.45556640625
15,0-5716_Phy003Q70T_PENDI_matrix.txt,nmcutqrao_esu2,427594.396484375
17,0-5979_Phy003QCG6_PENDI_matrix.txt,nmcutqrao_esu2,1340646.9731445312
13,0-5765_Phy003VMGE_PENDI_matrix.txt,nmcutqrao_esu2,298920.3820800781
10,0-6024_Phy003Q9QV_PENDI_matrix.txt,nmcutqrao_esu2,165560.001953125
15,0-6047_Phy003QCEL_PENDI_matrix.txt,nmcutqrao_esu2,198784.6171875
11,0-6190_Phy0042S18_PENDI_matrix.txt,nmcutqrao_esu2,115625.98046875
16,0-6225_Phy003VMDX_PENDI_matrix.txt,nmcutqrao_esu2,774646.0808105469
23,0-6467_Phy0048AN8_PENDI_matrix.txt,nmcutqrao_esu2,2548368.3974609375
15,0-6648_Phy003Q9Y1_PENDI_matrix.txt,nmcutqrao_esu2,455559.1328125
11,0-6820_Phy003QA8L_PENDI_matrix.txt,nmcutqrao_esu2,162123.779296875
16,0-6862_Phy0048AW7_PENDI_matrix.txt,nmcutqrao_esu2,686953.8762207031
14,0-7240_Phy003Q83Q_PENDI_matrix.txt,nmcutqrao_esu2,398220.2199707031
12,0-7519_Phy003Q9MR_PENDI_matrix.txt,nmcutqrao_esu2,162953.65478515625
13,0-7427_Phy0042UBM_PENDI_matrix.txt,nmcutqrao_esu2,197644.65991210938
13,0-7599_Phy003VMY1_PENDI_matrix.txt,nmcutqrao_esu2,334390.5537109375
