size,name,method,time
30,0-2576_Phy0042T98_PENDI_matrix.txt,SA,2519.130400000001
34,0-2645_Phy003Q8P2_PENDI_matrix.txt,SA,3998.2015000000006
29,0-2712_Phy003Q6UV_PENDI_matrix.txt,SA,2333.818200000001
28,0-2859_Phy003QA9A_PENDI_matrix.txt,SA,1783.9774999999997
32,0-2912_Phy003QBA0_PENDI_matrix.txt,SA,2110.048200000001
25,0-3202_Phy003QAL1_PENDI_matrix.txt,SA,1083.2527
28,0-3312_Phy003Q83V_PENDI_matrix.txt,SA,1917.1330000000003
29,0-3552_Phy0042SL3_PENDI_matrix.txt,SA,2315.4556000000002
21,0-3611_Phy003QBO6_PENDI_matrix.txt,SA,1089.7209999999998
14,0-3995_Phy0045P6V_PENDI_matrix.txt,SA,401.36159999999995
28,0-4062_Phy0042T5Q_PENDI_matrix.txt,SA,2420.3275000000017
15,0-4122_Phy003QCB4_PENDI_matrix.txt,SA,494.03849999999983
14,0-4151_Phy003QBS4_PENDI_matrix.txt,SA,349.64410000000004
29,0-4226_Phy0042T4N_PENDI_matrix.txt,SA,2773.2902999999983
23,0-4502_Phy003Q8L5_PENDI_matrix.txt,SA,1167.6673999999998
30,0-4642_Phy0048AWY_PENDI_matrix.txt,SA,2167.224100000001
24,0-4843_Phy0042UCY_PENDI_matrix.txt,SA,1387.0160000000003
10,0-4916_Phy003QAXZ_PENDI_matrix.txt,SA,128.2797
32,0-5077_Phy0042U2P_PENDI_matrix.txt,SA,2385.4375999999993
30,0-5266_Phy0045PS5_PENDI_matrix.txt,SA,2903.2920999999997
34,0-5453_Phy003VNLF_PENDI_matrix.txt,SA,2296.672300000001
15,0-5716_Phy003Q70T_PENDI_matrix.txt,SA,578.2025999999998
13,0-5765_Phy003VMGE_PENDI_matrix.txt,SA,245.0583
17,0-5979_Phy003QCG6_PENDI_matrix.txt,SA,456.4731999999999
10,0-6024_Phy003Q9QV_PENDI_matrix.txt,SA,106.4117
15,0-6047_Phy003QCEL_PENDI_matrix.txt,SA,340.33539999999994
11,0-6190_Phy0042S18_PENDI_matrix.txt,SA,157.64559999999997
16,0-6225_Phy003VMDX_PENDI_matrix.txt,SA,414.86760000000015
30,0-6364_Phy0045Q6A_PENDI_matrix.txt,SA,1802.4609
23,0-6467_Phy0048AN8_PENDI_matrix.txt,SA,1200.0424999999996
27,0-6482_Phy0042TO8_PENDI_matrix.txt,SA,1531.1765999999996
15,0-6648_Phy003Q9Y1_PENDI_matrix.txt,SA,359.191
32,0-6693_Phy0042SPT_PENDI_matrix.txt,SA,3628.6864000000005
11,0-6820_Phy003QA8L_PENDI_matrix.txt,SA,204.19719999999998
16,0-6862_Phy0048AW7_PENDI_matrix.txt,SA,379.68519999999995
34,0-7173_Phy003QAVC_PENDI_matrix.txt,SA,2228.9098999999997
14,0-7240_Phy003Q83Q_PENDI_matrix.txt,SA,218.29249999999996
13,0-7427_Phy0042UBM_PENDI_matrix.txt,SA,338.2916000000001
12,0-7519_Phy003Q9MR_PENDI_matrix.txt,SA,160.19850000000002
13,0-7599_Phy003VMY1_PENDI_matrix.txt,SA,255.2385
