size,name,method,time
30,0-2576_Phy0042T98_PENDI_matrix.txt,nmcutspce,41218.48388671875
34,0-2645_Phy003Q8P2_PENDI_matrix.txt,nmcutspce,59639.179931640625
29,0-2712_Phy003Q6UV_PENDI_matrix.txt,nmcutspce,39031.897705078125
28,0-2859_Phy003QA9A_PENDI_matrix.txt,nmcutspce,37525.177490234375
32,0-2912_Phy003QBA0_PENDI_matrix.txt,nmcutspce,46797.133056640625
25,0-3202_Phy003QAL1_PENDI_matrix.txt,nmcutspce,26059.08642578125
29,0-3552_Phy0042SL3_PENDI_matrix.txt,nmcutspce,39514.31298828125
28,0-3312_Phy003Q83V_PENDI_matrix.txt,nmcutspce,37323.84716796875
21,0-3611_Phy003QBO6_PENDI_matrix.txt,nmcutspce,21755.562744140625
14,0-3995_Phy0045P6V_PENDI_matrix.txt,nmcutspce,10513.359619140625
28,0-4062_Phy0042T5Q_PENDI_matrix.txt,nmcutspce,38630.7294921875
15,0-4122_Phy003QCB4_PENDI_matrix.txt,nmcutspce,12238.20458984375
14,0-4151_Phy003QBS4_PENDI_matrix.txt,nmcutspce,9831.43603515625
23,0-4502_Phy003Q8L5_PENDI_matrix.txt,nmcutspce,26459.181884765625
29,0-4226_Phy0042T4N_PENDI_matrix.txt,nmcutspce,35743.631103515625
24,0-4843_Phy0042UCY_PENDI_matrix.txt,nmcutspce,27397.82275390625
30,0-4642_Phy0048AWY_PENDI_matrix.txt,nmcutspce,37812.974853515625
32,0-5077_Phy0042U2P_PENDI_matrix.txt,nmcutspce,47815.578369140625
10,0-4916_Phy003QAXZ_PENDI_matrix.txt,nmcutspce,5575.050048828125
30,0-5266_Phy0045PS5_PENDI_matrix.txt,nmcutspce,42745.684326171875
15,0-5716_Phy003Q70T_PENDI_matrix.txt,nmcutspce,12482.8798828125
34,0-5453_Phy003VNLF_PENDI_matrix.txt,nmcutspce,53007.856201171875
17,0-5979_Phy003QCG6_PENDI_matrix.txt,nmcutspce,17493.700927734375
13,0-5765_Phy003VMGE_PENDI_matrix.txt,nmcutspce,8138.7705078125
10,0-6024_Phy003Q9QV_PENDI_matrix.txt,nmcutspce,6977.216552734375
15,0-6047_Phy003QCEL_PENDI_matrix.txt,nmcutspce,12623.55810546875
11,0-6190_Phy0042S18_PENDI_matrix.txt,nmcutspce,7544.751708984375
16,0-6225_Phy003VMDX_PENDI_matrix.txt,nmcutspce,17845.788330078125
30,0-6364_Phy0045Q6A_PENDI_matrix.txt,nmcutspce,44508.6162109375
23,0-6467_Phy0048AN8_PENDI_matrix.txt,nmcutspce,24786.23681640625
15,0-6648_Phy003Q9Y1_PENDI_matrix.txt,nmcutspce,11120.239990234375
27,0-6482_Phy0042TO8_PENDI_matrix.txt,nmcutspce,31784.75732421875
32,0-6693_Phy0042SPT_PENDI_matrix.txt,nmcutspce,47832.885498046875
11,0-6820_Phy003QA8L_PENDI_matrix.txt,nmcutspce,8542.52294921875
34,0-7173_Phy003QAVC_PENDI_matrix.txt,nmcutspce,53050.855224609375
16,0-6862_Phy0048AW7_PENDI_matrix.txt,nmcutspce,14546.646240234375
14,0-7240_Phy003Q83Q_PENDI_matrix.txt,nmcutspce,10764.875732421875
12,0-7519_Phy003Q9MR_PENDI_matrix.txt,nmcutspce,8419.43408203125
13,0-7427_Phy0042UBM_PENDI_matrix.txt,nmcutspce,9210.20556640625
13,0-7599_Phy003VMY1_PENDI_matrix.txt,nmcutspce,8700.79052734375
