size,branch_length,id,clustering_distance
11,0.1187,0-1187_Phy008NZS8_PUCGT,0.4048551856588495
19,0.1374,0-1374_Phy008O5P7_PUCGT,0.5571573989587736
13,0.1408,0-1408_Phy008O938_PUCGT,1.0
31,0.1652,0-1652_Phy008O3QR_PUCGT,0.8763504712550345
38,0.1767,0-1767_Phy008O30H_PUCGT,0.5647499817814491
18,0.1780,0-1780_Phy008O9U2_PUCGT,0.4505891939812572
29,0.1870,0-1870_Phy008O0TK_PUCGT,0.8061917968249752
20,0.1976,0-1976_Phy008O6FV_PUCGT,0.7669131618543313
11,0.2071,0-2071_Phy008O4KN_PUCGT,0.8873278484462005
18,0.2334,0-2334_Phy008O82G_PUCGT,0.6723347019508097
15,0.2336,0-2336_Phy008O30Z_PUCGT,0.944455196771673
17,0.2348,0-2348_Phy008OAD8_PUCGT,0.7648343363983168
30,0.2422,0-2422_Phy008O85K_PUCGT,0.7582867991129995
10,0.2544,0-2544_Phy008NZ6B_PUCGT,0.5709594743942765
31,0.2621,0-2621_Phy008O7OW_PUCGT,0.7851913276462584
10,0.2660,0-2660_Phy008O7K1_PUCGT,0.6582552949946282
20,0.2796,0-2796_Phy008NZ68_PUCGT,0.783162575676389
12,0.3095,0-3095_Phy008O7MF_PUCGT,0.8159635296677379
11,0.3292,0-3292_Phy008O7OF_PUCGT,0.7964921107022382
12,0.3465,0-3465_Phy008OAYW_PUCGT,0.7593369989000831
19,0.3511,0-3511_Phy008NZVJ_PUCGT,0.8901288952069936
22,0.3650,0-3650_Phy008O2C9_PUCGT,0.8209741140958507
16,0.3704,0-3704_Phy008O3XF_PUCGT,0.6758100611234494
12,0.3834,0-3834_Phy008O7GI_PUCGT,0.7510064404180038
10,0.3978,0-3978_Phy008O9YG_PUCGT,0.5499584310612345
22,0.4796,0-4796_Phy008O6HH_PUCGT,0.7396678432987958
19,0.4828,0-4828_Phy008NYXH_PUCGT,0.7935576720304078
13,0.4876,0-4876_Phy008NZ6D_PUCGT,0.8311703205998372
11,0.5010,0-5010_Phy008O4NH_PUCGT,0.8142408061765976
39,0.5240,0-5240_Phy008O862_PUCGT,0.6667649536991282
26,0.5423,0-5423_Phy008O5XS_PUCGT,0.7263851164028179
28,0.5717,0-5717_Phy008O4V3_PUCGT,0.8304208732726727
10,0.5719,0-5719_Phy008O53D_PUCGT,0.7978416738744109
10,0.5794,0-5794_Phy008O3FH_PUCGT,0.6366256234393812
13,0.6918,0-6918_Phy008O2GX_PUCGT,0.7690273093009368
12,0.7111,0-7111_Phy008O623_PUCGT,0.8185911139603096
36,0.7447,0-7447_Phy008NZJ8_PUCGT,0.8003156765416551
11,0.7606,0-7606_Phy008O65F_PUCGT,0.9003372116625589
11,0.7643,0-7643_Phy008NYUN_PUCGT,0.6498173753383871
16,0.9241,0-9241_Phy008O4KC_PUCGT,0.5997958608885566
