size,name,method,time
11,0-1187_Phy008NZS8_PUCGT_matrix.txt,NMcutQA,577.66368
19,0-1374_Phy008O5P7_PUCGT_matrix.txt,NMcutQA,1271.94936
31,0-1652_Phy008O3QR_PUCGT_matrix.txt,NMcutQA,3171.0438399999994
13,0-1408_Phy008O938_PUCGT_matrix.txt,NMcutQA,846.6884
38,0-1767_Phy008O30H_PUCGT_matrix.txt,NMcutQA,4487.371520000002
29,0-1870_Phy008O0TK_PUCGT_matrix.txt,NMcutQA,2592.0744
18,0-1780_Phy008O9U2_PUCGT_matrix.txt,NMcutQA,1504.44184
20,0-1976_Phy008O6FV_PUCGT_matrix.txt,NMcutQA,1465.7321600000002
11,0-2071_Phy008O4KN_PUCGT_matrix.txt,NMcutQA,500.47360000000003
18,0-2334_Phy008O82G_PUCGT_matrix.txt,NMcutQA,1505.70408
15,0-2336_Phy008O30Z_PUCGT_matrix.txt,NMcutQA,1196.74168
17,0-2348_Phy008OAD8_PUCGT_matrix.txt,NMcutQA,1429.7792
30,0-2422_Phy008O85K_PUCGT_matrix.txt,NMcutQA,2515.5295999999994
10,0-2544_Phy008NZ6B_PUCGT_matrix.txt,NMcutQA,499.94248000000005
31,0-2621_Phy008O7OW_PUCGT_matrix.txt,NMcutQA,2704.2029600000005
10,0-2660_Phy008O7K1_PUCGT_matrix.txt,NMcutQA,577.96736
20,0-2796_Phy008NZ68_PUCGT_matrix.txt,NMcutQA,1543.6184799999999
12,0-3095_Phy008O7MF_PUCGT_matrix.txt,NMcutQA,808.5140799999999
12,0-3465_Phy008OAYW_PUCGT_matrix.txt,NMcutQA,693.0047200000001
11,0-3292_Phy008O7OF_PUCGT_matrix.txt,NMcutQA,576.74456
22,0-3650_Phy008O2C9_PUCGT_matrix.txt,NMcutQA,2396.0085599999993
19,0-3511_Phy008NZVJ_PUCGT_matrix.txt,NMcutQA,1466.2930400000002
12,0-3834_Phy008O7GI_PUCGT_matrix.txt,NMcutQA,654.46736
16,0-3704_Phy008O3XF_PUCGT_matrix.txt,NMcutQA,1118.5440800000001
10,0-3978_Phy008O9YG_PUCGT_matrix.txt,NMcutQA,462.71704
22,0-4796_Phy008O6HH_PUCGT_matrix.txt,NMcutQA,2159.6120800000003
13,0-4876_Phy008NZ6D_PUCGT_matrix.txt,NMcutQA,810.3484799999998
19,0-4828_Phy008NYXH_PUCGT_matrix.txt,NMcutQA,1195.67384
11,0-5010_Phy008O4NH_PUCGT_matrix.txt,NMcutQA,537.97344
39,0-5240_Phy008O862_PUCGT_matrix.txt,NMcutQA,3599.2960799999987
26,0-5423_Phy008O5XS_PUCGT_matrix.txt,NMcutQA,2393.587920000001
10,0-5719_Phy008O53D_PUCGT_matrix.txt,NMcutQA,577.8838399999999
28,0-5717_Phy008O4V3_PUCGT_matrix.txt,NMcutQA,2670.1005600000003
10,0-5794_Phy008O3FH_PUCGT_matrix.txt,NMcutQA,499.37896
13,0-6918_Phy008O2GX_PUCGT_matrix.txt,NMcutQA,846.4196800000001
12,0-7111_Phy008O623_PUCGT_matrix.txt,NMcutQA,653.83528
36,0-7447_Phy008NZJ8_PUCGT_matrix.txt,NMcutQA,3329.3366399999995
11,0-7606_Phy008O65F_PUCGT_matrix.txt,NMcutQA,538.47944
16,0-9241_Phy008O4KC_PUCGT_matrix.txt,NMcutQA,1156.9818399999997
11,0-7643_Phy008NYUN_PUCGT_matrix.txt,NMcutQA,616.19456
