size,name,method,time
11,0-1187_Phy008NZS8_PUCGT_matrix.txt,NMcutHy,44852.16800000001
19,0-1374_Phy008O5P7_PUCGT_matrix.txt,NMcutHy,104678.20900000002
31,0-1652_Phy008O3QR_PUCGT_matrix.txt,NMcutHy,239215.71299999996
13,0-1408_Phy008O938_PUCGT_matrix.txt,NMcutHy,59782.98000000001
38,0-1767_Phy008O30H_PUCGT_matrix.txt,NMcutHy,382890.83999999997
29,0-1870_Phy008O0TK_PUCGT_matrix.txt,NMcutHy,233292.33300000004
18,0-1780_Phy008O9U2_PUCGT_matrix.txt,NMcutHy,98650.89900000003
20,0-1976_Phy008O6FV_PUCGT_matrix.txt,NMcutHy,131566.48899999997
11,0-2071_Phy008O4KN_PUCGT_matrix.txt,NMcutHy,44890.20600000001
18,0-2334_Phy008O82G_PUCGT_matrix.txt,NMcutHy,89725.408
15,0-2336_Phy008O30Z_PUCGT_matrix.txt,NMcutHy,68769.091
17,0-2348_Phy008OAD8_PUCGT_matrix.txt,NMcutHy,83648.77600000001
30,0-2422_Phy008O85K_PUCGT_matrix.txt,NMcutHy,212270.619
10,0-2544_Phy008NZ6B_PUCGT_matrix.txt,NMcutHy,38858.189999999995
31,0-2621_Phy008O7OW_PUCGT_matrix.txt,NMcutHy,245216.364
10,0-2660_Phy008O7K1_PUCGT_matrix.txt,NMcutHy,35906.494000000006
20,0-2796_Phy008NZ68_PUCGT_matrix.txt,NMcutHy,113576.22700000003
12,0-3095_Phy008O7MF_PUCGT_matrix.txt,NMcutHy,53850.631
12,0-3465_Phy008OAYW_PUCGT_matrix.txt,NMcutHy,53823.863
11,0-3292_Phy008O7OF_PUCGT_matrix.txt,NMcutHy,44867.77099999999
22,0-3650_Phy008O2C9_PUCGT_matrix.txt,NMcutHy,143551.78199999998
19,0-3511_Phy008NZVJ_PUCGT_matrix.txt,NMcutHy,92714.114
12,0-3834_Phy008O7GI_PUCGT_matrix.txt,NMcutHy,59773.242999999995
16,0-3704_Phy008O3XF_PUCGT_matrix.txt,NMcutHy,80679.40699999999
10,0-3978_Phy008O9YG_PUCGT_matrix.txt,NMcutHy,35867.379
22,0-4796_Phy008O6HH_PUCGT_matrix.txt,NMcutHy,140521.351
13,0-4876_Phy008NZ6D_PUCGT_matrix.txt,NMcutHy,62829.342
19,0-4828_Phy008NYXH_PUCGT_matrix.txt,NMcutHy,119590.11199999998
11,0-5010_Phy008O4NH_PUCGT_matrix.txt,NMcutHy,41851.41299999999
39,0-5240_Phy008O862_PUCGT_matrix.txt,NMcutHy,394647.37299999996
26,0-5423_Phy008O5XS_PUCGT_matrix.txt,NMcutHy,170431.26599999997
10,0-5719_Phy008O53D_PUCGT_matrix.txt,NMcutHy,38882.872
28,0-5717_Phy008O4V3_PUCGT_matrix.txt,NMcutHy,170353.476
10,0-5794_Phy008O3FH_PUCGT_matrix.txt,NMcutHy,35877.324
13,0-6918_Phy008O2GX_PUCGT_matrix.txt,NMcutHy,65737.95300000001
12,0-7111_Phy008O623_PUCGT_matrix.txt,NMcutHy,50836.24999999999
36,0-7447_Phy008NZJ8_PUCGT_matrix.txt,NMcutHy,293018.96
11,0-7606_Phy008O65F_PUCGT_matrix.txt,NMcutHy,41887.532999999996
16,0-9241_Phy008O4KC_PUCGT_matrix.txt,NMcutHy,77788.976
11,0-7643_Phy008NYUN_PUCGT_matrix.txt,NMcutHy,50848.678
