size,name,method,time
11,0-1187_Phy008NZS8_PUCGT_matrix.txt,NJ,0.875
19,0-1374_Phy008O5P7_PUCGT_matrix.txt,NJ,4.151611328125
13,0-1408_Phy008O938_PUCGT_matrix.txt,NJ,0.0
31,0-1652_Phy008O3QR_PUCGT_matrix.txt,NJ,17.85498046875
38,0-1767_Phy008O30H_PUCGT_matrix.txt,NJ,24.375
18,0-1780_Phy008O9U2_PUCGT_matrix.txt,NJ,0.0
29,0-1870_Phy008O0TK_PUCGT_matrix.txt,NJ,13.343017578125
20,0-1976_Phy008O6FV_PUCGT_matrix.txt,NJ,0.0
11,0-2071_Phy008O4KN_PUCGT_matrix.txt,NJ,2.0888671875
18,0-2334_Phy008O82G_PUCGT_matrix.txt,NJ,0.0
15,0-2336_Phy008O30Z_PUCGT_matrix.txt,NJ,0.0
17,0-2348_Phy008OAD8_PUCGT_matrix.txt,NJ,10.169921875
30,0-2422_Phy008O85K_PUCGT_matrix.txt,NJ,12.773193359375
10,0-2544_Phy008NZ6B_PUCGT_matrix.txt,NJ,1.00634765625
31,0-2621_Phy008O7OW_PUCGT_matrix.txt,NJ,14.9951171875
10,0-2660_Phy008O7K1_PUCGT_matrix.txt,NJ,1.030029296875
20,0-2796_Phy008NZ68_PUCGT_matrix.txt,NJ,5.0537109375
12,0-3095_Phy008O7MF_PUCGT_matrix.txt,NJ,0.9990234375
11,0-3292_Phy008O7OF_PUCGT_matrix.txt,NJ,0.97021484375
12,0-3465_Phy008OAYW_PUCGT_matrix.txt,NJ,1.753173828125
19,0-3511_Phy008NZVJ_PUCGT_matrix.txt,NJ,3.46875
22,0-3650_Phy008O2C9_PUCGT_matrix.txt,NJ,0.0
16,0-3704_Phy008O3XF_PUCGT_matrix.txt,NJ,0.0
12,0-3834_Phy008O7GI_PUCGT_matrix.txt,NJ,13.397216796875
10,0-3978_Phy008O9YG_PUCGT_matrix.txt,NJ,0.0
22,0-4796_Phy008O6HH_PUCGT_matrix.txt,NJ,0.0
19,0-4828_Phy008NYXH_PUCGT_matrix.txt,NJ,13.33154296875
13,0-4876_Phy008NZ6D_PUCGT_matrix.txt,NJ,0.0
11,0-5010_Phy008O4NH_PUCGT_matrix.txt,NJ,0.0
39,0-5240_Phy008O862_PUCGT_matrix.txt,NJ,33.485107421875
26,0-5423_Phy008O5XS_PUCGT_matrix.txt,NJ,6.49267578125
28,0-5717_Phy008O4V3_PUCGT_matrix.txt,NJ,13.336181640625
10,0-5719_Phy008O53D_PUCGT_matrix.txt,NJ,0.0
10,0-5794_Phy008O3FH_PUCGT_matrix.txt,NJ,0.0
13,0-6918_Phy008O2GX_PUCGT_matrix.txt,NJ,0.0
12,0-7111_Phy008O623_PUCGT_matrix.txt,NJ,14.3408203125
36,0-7447_Phy008NZJ8_PUCGT_matrix.txt,NJ,12.452880859375
11,0-7606_Phy008O65F_PUCGT_matrix.txt,NJ,0.9921875
11,0-7643_Phy008NYUN_PUCGT_matrix.txt,NJ,0.0
16,0-9241_Phy008O4KC_PUCGT_matrix.txt,NJ,3.967529296875
