size,name,method,time
11,0-1187_Phy008NZS8_PUCGT_matrix.txt,nmcutpce,6979.374267578125
19,0-1374_Phy008O5P7_PUCGT_matrix.txt,nmcutpce,19379.485595703125
31,0-1652_Phy008O3QR_PUCGT_matrix.txt,nmcutpce,42788.024658203125
13,0-1408_Phy008O938_PUCGT_matrix.txt,nmcutpce,8632.361572265625
38,0-1767_Phy008O30H_PUCGT_matrix.txt,nmcutpce,59516.65869140625
29,0-1870_Phy008O0TK_PUCGT_matrix.txt,nmcutpce,36727.0419921875
18,0-1780_Phy008O9U2_PUCGT_matrix.txt,nmcutpce,16272.811279296875
20,0-1976_Phy008O6FV_PUCGT_matrix.txt,nmcutpce,20304.14208984375
11,0-2071_Phy008O4KN_PUCGT_matrix.txt,nmcutpce,9009.4677734375
18,0-2334_Phy008O82G_PUCGT_matrix.txt,nmcutpce,14935.906005859375
15,0-2336_Phy008O30Z_PUCGT_matrix.txt,nmcutpce,10883.8779296875
17,0-2348_Phy008OAD8_PUCGT_matrix.txt,nmcutpce,14161.5263671875
30,0-2422_Phy008O85K_PUCGT_matrix.txt,nmcutpce,39400.34228515625
10,0-2544_Phy008NZ6B_PUCGT_matrix.txt,nmcutpce,5623.869140625
31,0-2621_Phy008O7OW_PUCGT_matrix.txt,nmcutpce,44463.609130859375
10,0-2660_Phy008O7K1_PUCGT_matrix.txt,nmcutpce,6725.182861328125
20,0-2796_Phy008NZ68_PUCGT_matrix.txt,nmcutpce,20716.7998046875
12,0-3095_Phy008O7MF_PUCGT_matrix.txt,nmcutpce,10433.638671875
12,0-3465_Phy008OAYW_PUCGT_matrix.txt,nmcutpce,10531.492919921875
11,0-3292_Phy008O7OF_PUCGT_matrix.txt,nmcutpce,7217.59423828125
22,0-3650_Phy008O2C9_PUCGT_matrix.txt,nmcutpce,22739.169677734375
19,0-3511_Phy008NZVJ_PUCGT_matrix.txt,nmcutpce,17285.041015625
12,0-3834_Phy008O7GI_PUCGT_matrix.txt,nmcutpce,9868.485107421875
16,0-3704_Phy008O3XF_PUCGT_matrix.txt,nmcutpce,13955.530517578125
10,0-3978_Phy008O9YG_PUCGT_matrix.txt,nmcutpce,5107.2255859375
22,0-4796_Phy008O6HH_PUCGT_matrix.txt,nmcutpce,25419.1328125
13,0-4876_Phy008NZ6D_PUCGT_matrix.txt,nmcutpce,9066.432373046875
19,0-4828_Phy008NYXH_PUCGT_matrix.txt,nmcutpce,17982.781005859375
11,0-5010_Phy008O4NH_PUCGT_matrix.txt,nmcutpce,5936.923828125
39,0-5240_Phy008O862_PUCGT_matrix.txt,nmcutpce,61821.718994140625
26,0-5423_Phy008O5XS_PUCGT_matrix.txt,nmcutpce,32609.5859375
10,0-5719_Phy008O53D_PUCGT_matrix.txt,nmcutpce,5769.09716796875
28,0-5717_Phy008O4V3_PUCGT_matrix.txt,nmcutpce,42640.63232421875
10,0-5794_Phy008O3FH_PUCGT_matrix.txt,nmcutpce,5292.639404296875
13,0-6918_Phy008O2GX_PUCGT_matrix.txt,nmcutpce,8604.507080078125
12,0-7111_Phy008O623_PUCGT_matrix.txt,nmcutpce,7845.380859375
36,0-7447_Phy008NZJ8_PUCGT_matrix.txt,nmcutpce,63888.77783203125
11,0-7606_Phy008O65F_PUCGT_matrix.txt,nmcutpce,5918.350830078125
16,0-9241_Phy008O4KC_PUCGT_matrix.txt,nmcutpce,17975.491943359375
11,0-7643_Phy008NYUN_PUCGT_matrix.txt,nmcutpce,6800.51708984375
