size,name,method,time
11,0-1187_Phy008NZS8_PUCGT_matrix.txt,qaoa,21243.8515625
19,0-1374_Phy008O5P7_PUCGT_matrix.txt,qaoa,95454.55297851562
13,0-1408_Phy008O938_PUCGT_matrix.txt,qaoa,31202.105712890625
18,0-1780_Phy008O9U2_PUCGT_matrix.txt,qaoa,57213.466796875
20,0-1976_Phy008O6FV_PUCGT_matrix.txt,qaoa,126790.07739257812
11,0-2071_Phy008O4KN_PUCGT_matrix.txt,qaoa,16652.24462890625
18,0-2334_Phy008O82G_PUCGT_matrix.txt,qaoa,57082.874755859375
15,0-2336_Phy008O30Z_PUCGT_matrix.txt,qaoa,35807.128173828125
17,0-2348_Phy008OAD8_PUCGT_matrix.txt,qaoa,48489.421142578125
10,0-2544_Phy008NZ6B_PUCGT_matrix.txt,qaoa,16196.585205078125
10,0-2660_Phy008O7K1_PUCGT_matrix.txt,qaoa,22408.8515625
20,0-2796_Phy008NZ68_PUCGT_matrix.txt,qaoa,116537.93798828125
12,0-3095_Phy008O7MF_PUCGT_matrix.txt,qaoa,22494.103271484375
12,0-3465_Phy008OAYW_PUCGT_matrix.txt,qaoa,21667.130859375
11,0-3292_Phy008O7OF_PUCGT_matrix.txt,qaoa,18580.346923828125
22,0-3650_Phy008O2C9_PUCGT_matrix.txt,qaoa,415544.9091796875
19,0-3511_Phy008NZVJ_PUCGT_matrix.txt,qaoa,78530.04956054688
12,0-3834_Phy008O7GI_PUCGT_matrix.txt,qaoa,24840.021728515625
16,0-3704_Phy008O3XF_PUCGT_matrix.txt,qaoa,43109.74853515625
10,0-3978_Phy008O9YG_PUCGT_matrix.txt,qaoa,17670.69140625
22,0-4796_Phy008O6HH_PUCGT_matrix.txt,qaoa,360963.5888671875
13,0-4876_Phy008NZ6D_PUCGT_matrix.txt,qaoa,29080.28857421875
19,0-4828_Phy008NYXH_PUCGT_matrix.txt,qaoa,74782.7578125
11,0-5010_Phy008O4NH_PUCGT_matrix.txt,qaoa,18082.894287109375
10,0-5719_Phy008O53D_PUCGT_matrix.txt,qaoa,15260.069580078125
10,0-5794_Phy008O3FH_PUCGT_matrix.txt,qaoa,14305.82275390625
13,0-6918_Phy008O2GX_PUCGT_matrix.txt,qaoa,32663.53564453125
12,0-7111_Phy008O623_PUCGT_matrix.txt,qaoa,22375.487060546875
11,0-7606_Phy008O65F_PUCGT_matrix.txt,qaoa,20487.332763671875
16,0-9241_Phy008O4KC_PUCGT_matrix.txt,qaoa,46190.56982421875
11,0-7643_Phy008NYUN_PUCGT_matrix.txt,qaoa,16726.27685546875
