size,name,method,time
11,0-1187_Phy008NZS8_PUCGT_matrix.txt,nmcutqrao,141024.2861328125
19,0-1374_Phy008O5P7_PUCGT_matrix.txt,nmcutqrao,1424399.3686523438
13,0-1408_Phy008O938_PUCGT_matrix.txt,nmcutqrao,168803.9873046875
18,0-1780_Phy008O9U2_PUCGT_matrix.txt,nmcutqrao,589523.1154785156
20,0-1976_Phy008O6FV_PUCGT_matrix.txt,nmcutqrao,1142579.7209472656
11,0-2071_Phy008O4KN_PUCGT_matrix.txt,nmcutqrao,151020.75439453125
18,0-2334_Phy008O82G_PUCGT_matrix.txt,nmcutqrao,470998.35498046875
15,0-2336_Phy008O30Z_PUCGT_matrix.txt,nmcutqrao,247801.6904296875
17,0-2348_Phy008OAD8_PUCGT_matrix.txt,nmcutqrao,620983.2854003906
10,0-2544_Phy008NZ6B_PUCGT_matrix.txt,nmcutqrao,92308.08129882812
10,0-2660_Phy008O7K1_PUCGT_matrix.txt,nmcutqrao,89305.36328125
20,0-2796_Phy008NZ68_PUCGT_matrix.txt,nmcutqrao,782033.8161621094
12,0-3095_Phy008O7MF_PUCGT_matrix.txt,nmcutqrao,293488.55224609375
12,0-3465_Phy008OAYW_PUCGT_matrix.txt,nmcutqrao,264956.4089355469
11,0-3292_Phy008O7OF_PUCGT_matrix.txt,nmcutqrao,128965.4052734375
22,0-3650_Phy008O2C9_PUCGT_matrix.txt,nmcutqrao,1020773.6550292969
19,0-3511_Phy008NZVJ_PUCGT_matrix.txt,nmcutqrao,1019283.0764160156
12,0-3834_Phy008O7GI_PUCGT_matrix.txt,nmcutqrao,312301.42529296875
16,0-3704_Phy008O3XF_PUCGT_matrix.txt,nmcutqrao,430422.27197265625
10,0-3978_Phy008O9YG_PUCGT_matrix.txt,nmcutqrao,146558.84448242188
22,0-4796_Phy008O6HH_PUCGT_matrix.txt,nmcutqrao,1955678.060546875
13,0-4876_Phy008NZ6D_PUCGT_matrix.txt,nmcutqrao,184966.9619140625
19,0-4828_Phy008NYXH_PUCGT_matrix.txt,nmcutqrao,773285.326171875
11,0-5010_Phy008O4NH_PUCGT_matrix.txt,nmcutqrao,179524.83251953125
10,0-5719_Phy008O53D_PUCGT_matrix.txt,nmcutqrao,112174.69995117188
10,0-5794_Phy008O3FH_PUCGT_matrix.txt,nmcutqrao,88593.8310546875
13,0-6918_Phy008O2GX_PUCGT_matrix.txt,nmcutqrao,229921.11083984375
12,0-7111_Phy008O623_PUCGT_matrix.txt,nmcutqrao,140093.20825195312
11,0-7606_Phy008O65F_PUCGT_matrix.txt,nmcutqrao,177456.03149414062
16,0-9241_Phy008O4KC_PUCGT_matrix.txt,nmcutqrao,444831.26708984375
11,0-7643_Phy008NYUN_PUCGT_matrix.txt,nmcutqrao,139114.3125
