size,name,method,time
11,0-1187_Phy008NZS8_PUCGT_matrix.txt,SA,180.4669
19,0-1374_Phy008O5P7_PUCGT_matrix.txt,SA,530.9526999999998
13,0-1408_Phy008O938_PUCGT_matrix.txt,SA,268.8709
31,0-1652_Phy008O3QR_PUCGT_matrix.txt,SA,2714.6836000000003
38,0-1767_Phy008O30H_PUCGT_matrix.txt,SA,5005.887200000002
18,0-1780_Phy008O9U2_PUCGT_matrix.txt,SA,760.9078
29,0-1870_Phy008O0TK_PUCGT_matrix.txt,SA,2297.390999999999
20,0-1976_Phy008O6FV_PUCGT_matrix.txt,SA,818.0921
11,0-2071_Phy008O4KN_PUCGT_matrix.txt,SA,130.6371
18,0-2334_Phy008O82G_PUCGT_matrix.txt,SA,451.81280000000004
15,0-2336_Phy008O30Z_PUCGT_matrix.txt,SA,287.3126000000001
17,0-2348_Phy008OAD8_PUCGT_matrix.txt,SA,547.6596000000002
30,0-2422_Phy008O85K_PUCGT_matrix.txt,SA,2469.6504999999997
10,0-2544_Phy008NZ6B_PUCGT_matrix.txt,SA,122.12880000000001
31,0-2621_Phy008O7OW_PUCGT_matrix.txt,SA,1887.6816999999999
10,0-2660_Phy008O7K1_PUCGT_matrix.txt,SA,113.6985
20,0-2796_Phy008NZ68_PUCGT_matrix.txt,SA,583.9953000000002
12,0-3095_Phy008O7MF_PUCGT_matrix.txt,SA,158.8209
11,0-3292_Phy008O7OF_PUCGT_matrix.txt,SA,138.7583
12,0-3465_Phy008OAYW_PUCGT_matrix.txt,SA,167.97759999999997
19,0-3511_Phy008NZVJ_PUCGT_matrix.txt,SA,627.0361
22,0-3650_Phy008O2C9_PUCGT_matrix.txt,SA,1017.7303999999999
16,0-3704_Phy008O3XF_PUCGT_matrix.txt,SA,335.1549
12,0-3834_Phy008O7GI_PUCGT_matrix.txt,SA,196.4087
10,0-3978_Phy008O9YG_PUCGT_matrix.txt,SA,105.24589999999999
22,0-4796_Phy008O6HH_PUCGT_matrix.txt,SA,866.2537
19,0-4828_Phy008NYXH_PUCGT_matrix.txt,SA,826.9210999999999
13,0-4876_Phy008NZ6D_PUCGT_matrix.txt,SA,214.7107
11,0-5010_Phy008O4NH_PUCGT_matrix.txt,SA,143.11950000000002
39,0-5240_Phy008O862_PUCGT_matrix.txt,SA,3400.9359000000018
26,0-5423_Phy008O5XS_PUCGT_matrix.txt,SA,1231.8477999999998
28,0-5717_Phy008O4V3_PUCGT_matrix.txt,SA,1300.0677999999996
10,0-5719_Phy008O53D_PUCGT_matrix.txt,SA,104.0656
10,0-5794_Phy008O3FH_PUCGT_matrix.txt,SA,104.45640000000003
13,0-6918_Phy008O2GX_PUCGT_matrix.txt,SA,214.7902
12,0-7111_Phy008O623_PUCGT_matrix.txt,SA,161.69789999999998
36,0-7447_Phy008NZJ8_PUCGT_matrix.txt,SA,2562.4449000000022
11,0-7606_Phy008O65F_PUCGT_matrix.txt,SA,140.9733
11,0-7643_Phy008NYUN_PUCGT_matrix.txt,SA,181.5358
16,0-9241_Phy008O4KC_PUCGT_matrix.txt,SA,382.6548
