size,name,method,time
11,0-1187_Phy008NZS8_PUCGT_matrix.txt,nmcutspce,7275.512451171875
19,0-1374_Phy008O5P7_PUCGT_matrix.txt,nmcutspce,21239.138671875
31,0-1652_Phy008O3QR_PUCGT_matrix.txt,nmcutspce,42560.3310546875
13,0-1408_Phy008O938_PUCGT_matrix.txt,nmcutspce,8291.9130859375
38,0-1767_Phy008O30H_PUCGT_matrix.txt,nmcutspce,62989.455322265625
29,0-1870_Phy008O0TK_PUCGT_matrix.txt,nmcutspce,38484.1943359375
18,0-1780_Phy008O9U2_PUCGT_matrix.txt,nmcutspce,15855.5537109375
20,0-1976_Phy008O6FV_PUCGT_matrix.txt,nmcutspce,19456.886962890625
11,0-2071_Phy008O4KN_PUCGT_matrix.txt,nmcutspce,7029.160888671875
18,0-2334_Phy008O82G_PUCGT_matrix.txt,nmcutspce,14967.625732421875
15,0-2336_Phy008O30Z_PUCGT_matrix.txt,nmcutspce,11028.3232421875
17,0-2348_Phy008OAD8_PUCGT_matrix.txt,nmcutspce,14362.236083984375
30,0-2422_Phy008O85K_PUCGT_matrix.txt,nmcutspce,39899.330078125
10,0-2544_Phy008NZ6B_PUCGT_matrix.txt,nmcutspce,5989.2802734375
31,0-2621_Phy008O7OW_PUCGT_matrix.txt,nmcutspce,44703.666259765625
10,0-2660_Phy008O7K1_PUCGT_matrix.txt,nmcutspce,5691.2236328125
20,0-2796_Phy008NZ68_PUCGT_matrix.txt,nmcutspce,20161.3603515625
12,0-3095_Phy008O7MF_PUCGT_matrix.txt,nmcutspce,9130.9208984375
12,0-3465_Phy008OAYW_PUCGT_matrix.txt,nmcutspce,10218.180419921875
11,0-3292_Phy008O7OF_PUCGT_matrix.txt,nmcutspce,7261.32470703125
22,0-3650_Phy008O2C9_PUCGT_matrix.txt,nmcutspce,22939.42236328125
19,0-3511_Phy008NZVJ_PUCGT_matrix.txt,nmcutspce,17429.12158203125
12,0-3834_Phy008O7GI_PUCGT_matrix.txt,nmcutspce,8711.919921875
16,0-3704_Phy008O3XF_PUCGT_matrix.txt,nmcutspce,13968.71533203125
10,0-3978_Phy008O9YG_PUCGT_matrix.txt,nmcutspce,5552.969482421875
22,0-4796_Phy008O6HH_PUCGT_matrix.txt,nmcutspce,25192.324951171875
13,0-4876_Phy008NZ6D_PUCGT_matrix.txt,nmcutspce,9106.63818359375
19,0-4828_Phy008NYXH_PUCGT_matrix.txt,nmcutspce,18026.08056640625
11,0-5010_Phy008O4NH_PUCGT_matrix.txt,nmcutspce,7503.646484375
39,0-5240_Phy008O862_PUCGT_matrix.txt,nmcutspce,62471.765380859375
26,0-5423_Phy008O5XS_PUCGT_matrix.txt,nmcutspce,33338.744140625
10,0-5719_Phy008O53D_PUCGT_matrix.txt,nmcutspce,6072.186767578125
28,0-5717_Phy008O4V3_PUCGT_matrix.txt,nmcutspce,40407.653076171875
10,0-5794_Phy008O3FH_PUCGT_matrix.txt,nmcutspce,5599.740966796875
13,0-6918_Phy008O2GX_PUCGT_matrix.txt,nmcutspce,8553.037353515625
12,0-7111_Phy008O623_PUCGT_matrix.txt,nmcutspce,7874.767822265625
36,0-7447_Phy008NZJ8_PUCGT_matrix.txt,nmcutspce,64181.697021484375
11,0-7606_Phy008O65F_PUCGT_matrix.txt,nmcutspce,6028.181396484375
16,0-9241_Phy008O4KC_PUCGT_matrix.txt,nmcutspce,14185.49853515625
11,0-7643_Phy008NYUN_PUCGT_matrix.txt,nmcutspce,6889.419189453125
