size,name,method,time
14,0-2641_Phy000D1A6_SCHPO_matrix.txt,NMcutQA,395.45612
34,0-2722_Phy000D0UI_SCHPO_matrix.txt,NMcutQA,1803.8728799999997
31,0-2805_Phy000D0YZ_SCHPO_matrix.txt,NMcutQA,1416.5910800000006
35,0-2993_Phy000D1TD_SCHPO_matrix.txt,NMcutQA,2108.96372
33,0-3028_Phy000D0XD_SCHPO_matrix.txt,NMcutQA,2058.7301599999996
22,0-3205_Phy000D0PQ_SCHPO_matrix.txt,NMcutQA,971.4139600000003
16,0-3329_Phy000D0PY_SCHPO_matrix.txt,NMcutQA,533.3309599999999
12,0-3437_Phy000D0PP_SCHPO_matrix.txt,NMcutQA,345.97823999999997
11,0-3607_Phy000D0Q0_SCHPO_matrix.txt,NMcutQA,307.82831999999996
27,0-3779_Phy000D0OG_SCHPO_matrix.txt,NMcutQA,1523.3571599999998
28,0-3906_Phy000D0SK_SCHPO_matrix.txt,NMcutQA,1489.2150400000003
27,0-3891_Phy000D0SX_SCHPO_matrix.txt,NMcutQA,1391.8104400000002
36,0-4318_Phy000D0M2_SCHPO_matrix.txt,NMcutQA,2235.597
30,0-4394_Phy000D0SL_SCHPO_matrix.txt,NMcutQA,2130.4679600000004
35,0-4331_Phy000D0N4_SCHPO_matrix.txt,NMcutQA,2218.3936799999983
34,0-4494_Phy000D0QL_SCHPO_matrix.txt,NMcutQA,1582.0981999999997
25,0-4533_Phy000D0UP_SCHPO_matrix.txt,NMcutQA,1432.9551599999998
37,0-4593_Phy000D17Y_SCHPO_matrix.txt,NMcutQA,1888.3170400000001
14,0-4681_Phy000D0SO_SCHPO_matrix.txt,NMcutQA,465.4949599999999
39,0-4978_Phy000D0YK_SCHPO_matrix.txt,NMcutQA,1896.8327599999996
33,0-4987_Phy000D115_SCHPO_matrix.txt,NMcutQA,2363.077320000001
32,0-5258_Phy000D0MM_SCHPO_matrix.txt,NMcutQA,1814.7496
15,0-5324_Phy000D0N3_SCHPO_matrix.txt,NMcutQA,521.33588
12,0-5002_Phy000D14B_SCHPO_matrix.txt,NMcutQA,380.7712799999999
25,0-5470_Phy000D0NG_SCHPO_matrix.txt,NMcutQA,1187.4711200000004
15,0-5565_Phy000D0N5_SCHPO_matrix.txt,NMcutQA,434.3042
11,0-5699_Phy000D0W7_SCHPO_matrix.txt,NMcutQA,244.84243999999998
12,0-5997_Phy000D0NJ_SCHPO_matrix.txt,NMcutQA,319.74420000000003
15,0-6213_Phy000D0P9_SCHPO_matrix.txt,NMcutQA,434.63772
29,0-6040_Phy000D0LN_SCHPO_matrix.txt,NMcutQA,1272.1903599999998
17,0-6429_Phy000D0YO_SCHPO_matrix.txt,NMcutQA,528.54104
13,0-6283_Phy000D0SM_SCHPO_matrix.txt,NMcutQA,379.54479999999995
40,0-6571_Phy000D0VJ_SCHPO_matrix.txt,NMcutQA,2116.9619999999995
24,0-6654_Phy000D0NR_SCHPO_matrix.txt,NMcutQA,1064.78496
11,0-7003_Phy000D0V4_SCHPO_matrix.txt,NMcutQA,282.0706
38,0-7080_Phy000D0VB_SCHPO_matrix.txt,NMcutQA,1714.99048
11,0-7371_Phy000D0RN_SCHPO_matrix.txt,NMcutQA,414.8551999999999
17,0-7392_Phy000D0LZ_SCHPO_matrix.txt,NMcutQA,717.2567200000001
11,0-7576_Phy000D0YA_SCHPO_matrix.txt,NMcutQA,301.67656000000005
20,0-7486_Phy000D13P_SCHPO_matrix.txt,NMcutQA,1021.9199199999998
