size,name,method,time
14,0-2641_Phy000D1A6_SCHPO_matrix.txt,NMcutQA,809.17344
34,0-2722_Phy000D0UI_SCHPO_matrix.txt,NMcutQA,3133.449919999999
31,0-2805_Phy000D0YZ_SCHPO_matrix.txt,NMcutQA,2862.3082400000003
35,0-2993_Phy000D1TD_SCHPO_matrix.txt,NMcutQA,3400.9079200000015
33,0-3028_Phy000D0XD_SCHPO_matrix.txt,NMcutQA,3053.8632800000005
22,0-3205_Phy000D0PQ_SCHPO_matrix.txt,NMcutQA,1584.2519199999997
16,0-3329_Phy000D0PY_SCHPO_matrix.txt,NMcutQA,1234.6048800000003
12,0-3437_Phy000D0PP_SCHPO_matrix.txt,NMcutQA,692.3371200000001
11,0-3607_Phy000D0Q0_SCHPO_matrix.txt,NMcutQA,538.8025600000001
27,0-3779_Phy000D0OG_SCHPO_matrix.txt,NMcutQA,2047.7817600000003
28,0-3906_Phy000D0SK_SCHPO_matrix.txt,NMcutQA,2665.8713599999996
27,0-3891_Phy000D0SX_SCHPO_matrix.txt,NMcutQA,2472.8268800000005
36,0-4318_Phy000D0M2_SCHPO_matrix.txt,NMcutQA,3985.598
30,0-4394_Phy000D0SL_SCHPO_matrix.txt,NMcutQA,2589.2307200000005
35,0-4331_Phy000D0N4_SCHPO_matrix.txt,NMcutQA,4608.92432
34,0-4494_Phy000D0QL_SCHPO_matrix.txt,NMcutQA,3403.6951199999994
25,0-4533_Phy000D0UP_SCHPO_matrix.txt,NMcutQA,2045.9149599999996
37,0-4593_Phy000D17Y_SCHPO_matrix.txt,NMcutQA,3441.7304000000013
14,0-4681_Phy000D0SO_SCHPO_matrix.txt,NMcutQA,847.3112000000001
33,0-4987_Phy000D115_SCHPO_matrix.txt,NMcutQA,3483.592000000002
39,0-4978_Phy000D0YK_SCHPO_matrix.txt,NMcutQA,3599.2560000000008
32,0-5258_Phy000D0MM_SCHPO_matrix.txt,NMcutQA,3752.3284
15,0-5324_Phy000D0N3_SCHPO_matrix.txt,NMcutQA,1117.06688
12,0-5002_Phy000D14B_SCHPO_matrix.txt,NMcutQA,616.1781599999999
25,0-5470_Phy000D0NG_SCHPO_matrix.txt,NMcutQA,2083.36464
15,0-5565_Phy000D0N5_SCHPO_matrix.txt,NMcutQA,1001.94744
11,0-5699_Phy000D0W7_SCHPO_matrix.txt,NMcutQA,499.85024000000004
12,0-5997_Phy000D0NJ_SCHPO_matrix.txt,NMcutQA,577.00536
15,0-6213_Phy000D0P9_SCHPO_matrix.txt,NMcutQA,1155.76064
29,0-6040_Phy000D0LN_SCHPO_matrix.txt,NMcutQA,2625.25144
17,0-6429_Phy000D0YO_SCHPO_matrix.txt,NMcutQA,1040.8868000000002
13,0-6283_Phy000D0SM_SCHPO_matrix.txt,NMcutQA,732.9916000000001
40,0-6571_Phy000D0VJ_SCHPO_matrix.txt,NMcutQA,3868.5431999999996
24,0-6654_Phy000D0NR_SCHPO_matrix.txt,NMcutQA,1775.93728
11,0-7003_Phy000D0V4_SCHPO_matrix.txt,NMcutQA,771.2969599999999
38,0-7080_Phy000D0VB_SCHPO_matrix.txt,NMcutQA,3717.864719999999
11,0-7371_Phy000D0RN_SCHPO_matrix.txt,NMcutQA,575.38616
17,0-7392_Phy000D0LZ_SCHPO_matrix.txt,NMcutQA,1583.1772
11,0-7576_Phy000D0YA_SCHPO_matrix.txt,NMcutQA,538.6262399999999
20,0-7486_Phy000D13P_SCHPO_matrix.txt,NMcutQA,1931.5146399999999
