size,name,method,time
14,0-2641_Phy000D1A6_SCHPO_matrix.txt,NMcutHy,59827.916999999994
12,0-3437_Phy000D0PP_SCHPO_matrix.txt,NMcutHy,50839.185
34,0-2722_Phy000D0UI_SCHPO_matrix.txt,NMcutHy,302041.749
31,0-2805_Phy000D0YZ_SCHPO_matrix.txt,NMcutHy,260204.2010000001
35,0-2993_Phy000D1TD_SCHPO_matrix.txt,NMcutHy,272130.23500000004
33,0-3028_Phy000D0XD_SCHPO_matrix.txt,NMcutHy,257148.592
22,0-3205_Phy000D0PQ_SCHPO_matrix.txt,NMcutHy,125578.416
16,0-3329_Phy000D0PY_SCHPO_matrix.txt,NMcutHy,83710.622
11,0-3607_Phy000D0Q0_SCHPO_matrix.txt,NMcutHy,41888.04499999999
27,0-3779_Phy000D0OG_SCHPO_matrix.txt,NMcutHy,176438.28600000008
28,0-3906_Phy000D0SK_SCHPO_matrix.txt,NMcutHy,182439.78399999999
27,0-3891_Phy000D0SX_SCHPO_matrix.txt,NMcutHy,206335.888
36,0-4318_Phy000D0M2_SCHPO_matrix.txt,NMcutHy,293125.86799999996
30,0-4394_Phy000D0SL_SCHPO_matrix.txt,NMcutHy,248148.4949999999
35,0-4331_Phy000D0N4_SCHPO_matrix.txt,NMcutHy,311102.483
34,0-4494_Phy000D0QL_SCHPO_matrix.txt,NMcutHy,295981.9839999999
25,0-4533_Phy000D0UP_SCHPO_matrix.txt,NMcutHy,164452.47899999993
37,0-4593_Phy000D17Y_SCHPO_matrix.txt,NMcutHy,340914.10599999997
14,0-4681_Phy000D0SO_SCHPO_matrix.txt,NMcutHy,68790.889
33,0-4987_Phy000D115_SCHPO_matrix.txt,NMcutHy,278165.0010000001
39,0-4978_Phy000D0YK_SCHPO_matrix.txt,NMcutHy,320001.928
32,0-5258_Phy000D0MM_SCHPO_matrix.txt,NMcutHy,254137.90000000002
15,0-5324_Phy000D0N3_SCHPO_matrix.txt,NMcutHy,77742.24399999999
12,0-5002_Phy000D14B_SCHPO_matrix.txt,NMcutHy,50854.22799999999
25,0-5470_Phy000D0NG_SCHPO_matrix.txt,NMcutHy,140581.254
15,0-5565_Phy000D0N5_SCHPO_matrix.txt,NMcutHy,77725.45199999999
11,0-5699_Phy000D0W7_SCHPO_matrix.txt,NMcutHy,38884.47
12,0-5997_Phy000D0NJ_SCHPO_matrix.txt,NMcutHy,50841.077000000005
15,0-6213_Phy000D0P9_SCHPO_matrix.txt,NMcutHy,77677.773
29,0-6040_Phy000D0LN_SCHPO_matrix.txt,NMcutHy,245203.797
17,0-6429_Phy000D0YO_SCHPO_matrix.txt,NMcutHy,74802.78000000001
13,0-6283_Phy000D0SM_SCHPO_matrix.txt,NMcutHy,53773.803
40,0-6571_Phy000D0VJ_SCHPO_matrix.txt,NMcutHy,370790.3140000002
24,0-6654_Phy000D0NR_SCHPO_matrix.txt,NMcutHy,158528.90899999999
11,0-7003_Phy000D0V4_SCHPO_matrix.txt,NMcutHy,41869.45
38,0-7080_Phy000D0VB_SCHPO_matrix.txt,NMcutHy,325963.8239999999
11,0-7371_Phy000D0RN_SCHPO_matrix.txt,NMcutHy,47859.840000000004
17,0-7392_Phy000D0LZ_SCHPO_matrix.txt,NMcutHy,92728.897
11,0-7576_Phy000D0YA_SCHPO_matrix.txt,NMcutHy,41852.06999999999
20,0-7486_Phy000D13P_SCHPO_matrix.txt,NMcutHy,119544.09000000001
