size,name,method,time
14,0-2641_Phy000D1A6_SCHPO_matrix.txt,NJ,0.0
34,0-2722_Phy000D0UI_SCHPO_matrix.txt,NJ,16.326904296875
31,0-2805_Phy000D0YZ_SCHPO_matrix.txt,NJ,14.137939453125
35,0-2993_Phy000D1TD_SCHPO_matrix.txt,NJ,27.9814453125
33,0-3028_Phy000D0XD_SCHPO_matrix.txt,NJ,6.546875
22,0-3205_Phy000D0PQ_SCHPO_matrix.txt,NJ,16.164306640625
16,0-3329_Phy000D0PY_SCHPO_matrix.txt,NJ,0.0
12,0-3437_Phy000D0PP_SCHPO_matrix.txt,NJ,0.0
11,0-3607_Phy000D0Q0_SCHPO_matrix.txt,NJ,10.231689453125
27,0-3779_Phy000D0OG_SCHPO_matrix.txt,NJ,0.0
27,0-3891_Phy000D0SX_SCHPO_matrix.txt,NJ,9.235107421875
28,0-3906_Phy000D0SK_SCHPO_matrix.txt,NJ,8.676025390625
36,0-4318_Phy000D0M2_SCHPO_matrix.txt,NJ,21.73681640625
35,0-4331_Phy000D0N4_SCHPO_matrix.txt,NJ,27.10400390625
30,0-4394_Phy000D0SL_SCHPO_matrix.txt,NJ,13.025634765625
34,0-4494_Phy000D0QL_SCHPO_matrix.txt,NJ,21.979248046875
25,0-4533_Phy000D0UP_SCHPO_matrix.txt,NJ,3.45263671875
37,0-4593_Phy000D17Y_SCHPO_matrix.txt,NJ,23.18359375
14,0-4681_Phy000D0SO_SCHPO_matrix.txt,NJ,0.0
39,0-4978_Phy000D0YK_SCHPO_matrix.txt,NJ,40.294189453125
33,0-4987_Phy000D115_SCHPO_matrix.txt,NJ,13.068603515625
12,0-5002_Phy000D14B_SCHPO_matrix.txt,NJ,0.0
32,0-5258_Phy000D0MM_SCHPO_matrix.txt,NJ,26.6708984375
15,0-5324_Phy000D0N3_SCHPO_matrix.txt,NJ,2.534912109375
25,0-5470_Phy000D0NG_SCHPO_matrix.txt,NJ,9.86767578125
15,0-5565_Phy000D0N5_SCHPO_matrix.txt,NJ,2.02783203125
11,0-5699_Phy000D0W7_SCHPO_matrix.txt,NJ,1.031494140625
12,0-5997_Phy000D0NJ_SCHPO_matrix.txt,NJ,1.028076171875
29,0-6040_Phy000D0LN_SCHPO_matrix.txt,NJ,13.031982421875
15,0-6213_Phy000D0P9_SCHPO_matrix.txt,NJ,2.295166015625
13,0-6283_Phy000D0SM_SCHPO_matrix.txt,NJ,1.50927734375
17,0-6429_Phy000D0YO_SCHPO_matrix.txt,NJ,0.0
40,0-6571_Phy000D0VJ_SCHPO_matrix.txt,NJ,37.264404296875
24,0-6654_Phy000D0NR_SCHPO_matrix.txt,NJ,0.0
11,0-7003_Phy000D0V4_SCHPO_matrix.txt,NJ,0.0
38,0-7080_Phy000D0VB_SCHPO_matrix.txt,NJ,29.285888671875
11,0-7371_Phy000D0RN_SCHPO_matrix.txt,NJ,0.0
17,0-7392_Phy000D0LZ_SCHPO_matrix.txt,NJ,0.0
20,0-7486_Phy000D13P_SCHPO_matrix.txt,NJ,9.935546875
11,0-7576_Phy000D0YA_SCHPO_matrix.txt,NJ,0.0
