size,name,method,time
14,0-2641_Phy000D1A6_SCHPO_matrix.txt,nmcutpce,11359.843994140625
34,0-2722_Phy000D0UI_SCHPO_matrix.txt,nmcutpce,54111.58935546875
31,0-2805_Phy000D0YZ_SCHPO_matrix.txt,nmcutpce,42858.306396484375
35,0-2993_Phy000D1TD_SCHPO_matrix.txt,nmcutpce,51684.44287109375
33,0-3028_Phy000D0XD_SCHPO_matrix.txt,nmcutpce,51192.64404296875
22,0-3205_Phy000D0PQ_SCHPO_matrix.txt,nmcutpce,26388.909423828125
16,0-3329_Phy000D0PY_SCHPO_matrix.txt,nmcutpce,12969.73681640625
12,0-3437_Phy000D0PP_SCHPO_matrix.txt,nmcutpce,9956.798828125
11,0-3607_Phy000D0Q0_SCHPO_matrix.txt,nmcutpce,7556.2724609375
27,0-3779_Phy000D0OG_SCHPO_matrix.txt,nmcutpce,31959.43408203125
28,0-3906_Phy000D0SK_SCHPO_matrix.txt,nmcutpce,31574.229736328125
27,0-3891_Phy000D0SX_SCHPO_matrix.txt,nmcutpce,29193.220703125
36,0-4318_Phy000D0M2_SCHPO_matrix.txt,nmcutpce,56768.275390625
30,0-4394_Phy000D0SL_SCHPO_matrix.txt,nmcutpce,39859.777099609375
35,0-4331_Phy000D0N4_SCHPO_matrix.txt,nmcutpce,54667.220947265625
34,0-4494_Phy000D0QL_SCHPO_matrix.txt,nmcutpce,51530.734130859375
25,0-4533_Phy000D0UP_SCHPO_matrix.txt,nmcutpce,29675.13623046875
37,0-4593_Phy000D17Y_SCHPO_matrix.txt,nmcutpce,53947.490966796875
14,0-4681_Phy000D0SO_SCHPO_matrix.txt,nmcutpce,11863.96923828125
33,0-4987_Phy000D115_SCHPO_matrix.txt,nmcutpce,49628.1396484375
39,0-4978_Phy000D0YK_SCHPO_matrix.txt,nmcutpce,59594.46435546875
32,0-5258_Phy000D0MM_SCHPO_matrix.txt,nmcutpce,47252.81201171875
15,0-5324_Phy000D0N3_SCHPO_matrix.txt,nmcutpce,11673.037109375
12,0-5002_Phy000D14B_SCHPO_matrix.txt,nmcutpce,9458.43798828125
25,0-5470_Phy000D0NG_SCHPO_matrix.txt,nmcutpce,27807.551025390625
15,0-5565_Phy000D0N5_SCHPO_matrix.txt,nmcutpce,12885.759033203125
11,0-5699_Phy000D0W7_SCHPO_matrix.txt,nmcutpce,7643.60595703125
12,0-5997_Phy000D0NJ_SCHPO_matrix.txt,nmcutpce,8784.62548828125
15,0-6213_Phy000D0P9_SCHPO_matrix.txt,nmcutpce,13886.929931640625
29,0-6040_Phy000D0LN_SCHPO_matrix.txt,nmcutpce,38927.67138671875
17,0-6429_Phy000D0YO_SCHPO_matrix.txt,nmcutpce,13276.3798828125
13,0-6283_Phy000D0SM_SCHPO_matrix.txt,nmcutpce,9009.575439453125
40,0-6571_Phy000D0VJ_SCHPO_matrix.txt,nmcutpce,64034.94580078125
24,0-6654_Phy000D0NR_SCHPO_matrix.txt,nmcutpce,28184.810546875
11,0-7003_Phy000D0V4_SCHPO_matrix.txt,nmcutpce,7553.626708984375
38,0-7080_Phy000D0VB_SCHPO_matrix.txt,nmcutpce,57632.4228515625
11,0-7371_Phy000D0RN_SCHPO_matrix.txt,nmcutpce,6943.02197265625
17,0-7392_Phy000D0LZ_SCHPO_matrix.txt,nmcutpce,17847.912353515625
11,0-7576_Phy000D0YA_SCHPO_matrix.txt,nmcutpce,6418.7607421875
20,0-7486_Phy000D13P_SCHPO_matrix.txt,nmcutpce,20495.92138671875
