size,name,method,time
14,0-2641_Phy000D1A6_SCHPO_matrix.txt,qaoa,45090.6875
22,0-3205_Phy000D0PQ_SCHPO_matrix.txt,qaoa,538806.8149414062
16,0-3329_Phy000D0PY_SCHPO_matrix.txt,qaoa,56446.3349609375
12,0-3437_Phy000D0PP_SCHPO_matrix.txt,qaoa,24927.258056640625
11,0-3607_Phy000D0Q0_SCHPO_matrix.txt,qaoa,23232.12744140625
25,0-4533_Phy000D0UP_SCHPO_matrix.txt,qaoa,2731112.3315429688
14,0-4681_Phy000D0SO_SCHPO_matrix.txt,qaoa,41427.394287109375
15,0-5324_Phy000D0N3_SCHPO_matrix.txt,qaoa,39860.798095703125
12,0-5002_Phy000D14B_SCHPO_matrix.txt,qaoa,24108.34130859375
25,0-5470_Phy000D0NG_SCHPO_matrix.txt,qaoa,3041849.045654297
15,0-5565_Phy000D0N5_SCHPO_matrix.txt,qaoa,47960.09375
11,0-5699_Phy000D0W7_SCHPO_matrix.txt,qaoa,18278.8330078125
12,0-5997_Phy000D0NJ_SCHPO_matrix.txt,qaoa,22618.985595703125
15,0-6213_Phy000D0P9_SCHPO_matrix.txt,qaoa,36928.193603515625
17,0-6429_Phy000D0YO_SCHPO_matrix.txt,qaoa,53355.3076171875
13,0-6283_Phy000D0SM_SCHPO_matrix.txt,qaoa,34004.246826171875
24,0-6654_Phy000D0NR_SCHPO_matrix.txt,qaoa,1387460.6032714844
11,0-7003_Phy000D0V4_SCHPO_matrix.txt,qaoa,18305.34423828125
11,0-7371_Phy000D0RN_SCHPO_matrix.txt,qaoa,17963.24951171875
17,0-7392_Phy000D0LZ_SCHPO_matrix.txt,qaoa,51628.0146484375
11,0-7576_Phy000D0YA_SCHPO_matrix.txt,qaoa,17822.284423828125
20,0-7486_Phy000D13P_SCHPO_matrix.txt,qaoa,110875.36962890625
