size,name,method,time
14,0-2641_Phy000D1A6_SCHPO_matrix.txt,nmcutqrao,442241.8957519531
22,0-3205_Phy000D0PQ_SCHPO_matrix.txt,nmcutqrao,1791807.912109375
16,0-3329_Phy000D0PY_SCHPO_matrix.txt,nmcutqrao,384556.3654785156
12,0-3437_Phy000D0PP_SCHPO_matrix.txt,nmcutqrao,284889.2404785156
11,0-3607_Phy000D0Q0_SCHPO_matrix.txt,nmcutqrao,204476.61694335938
25,0-4533_Phy000D0UP_SCHPO_matrix.txt,nmcutqrao,2043727.3376464844
14,0-4681_Phy000D0SO_SCHPO_matrix.txt,nmcutqrao,263439.9230957031
15,0-5324_Phy000D0N3_SCHPO_matrix.txt,nmcutqrao,478445.9074707031
12,0-5002_Phy000D14B_SCHPO_matrix.txt,nmcutqrao,208179.16040039062
25,0-5470_Phy000D0NG_SCHPO_matrix.txt,nmcutqrao,3330368.1872558594
15,0-5565_Phy000D0N5_SCHPO_matrix.txt,nmcutqrao,344018.9650878906
11,0-5699_Phy000D0W7_SCHPO_matrix.txt,nmcutqrao,222476.12939453125
12,0-5997_Phy000D0NJ_SCHPO_matrix.txt,nmcutqrao,141597.15966796875
15,0-6213_Phy000D0P9_SCHPO_matrix.txt,nmcutqrao,542678.7980957031
17,0-6429_Phy000D0YO_SCHPO_matrix.txt,nmcutqrao,435347.24853515625
13,0-6283_Phy000D0SM_SCHPO_matrix.txt,nmcutqrao,226847.18090820312
24,0-6654_Phy000D0NR_SCHPO_matrix.txt,nmcutqrao,2336151.6813964844
11,0-7003_Phy000D0V4_SCHPO_matrix.txt,nmcutqrao,114151.98193359375
11,0-7371_Phy000D0RN_SCHPO_matrix.txt,nmcutqrao,132432.60229492188
17,0-7392_Phy000D0LZ_SCHPO_matrix.txt,nmcutqrao,452531.3134765625
11,0-7576_Phy000D0YA_SCHPO_matrix.txt,nmcutqrao,173190.81884765625
20,0-7486_Phy000D13P_SCHPO_matrix.txt,nmcutqrao,1206818.3190917969
