size,name,method,time
14,0-2641_Phy000D1A6_SCHPO_matrix.txt,nmcutqrao_esu2,349858.3779296875
22,0-3205_Phy000D0PQ_SCHPO_matrix.txt,nmcutqrao_esu2,2621102.2768554688
16,0-3329_Phy000D0PY_SCHPO_matrix.txt,nmcutqrao_esu2,339357.86328125
12,0-3437_Phy000D0PP_SCHPO_matrix.txt,nmcutqrao_esu2,333074.7990722656
11,0-3607_Phy000D0Q0_SCHPO_matrix.txt,nmcutqrao_esu2,210764.30834960938
25,0-4533_Phy000D0UP_SCHPO_matrix.txt,nmcutqrao_esu2,2723017.6708984375
14,0-4681_Phy000D0SO_SCHPO_matrix.txt,nmcutqrao_esu2,331153.8654785156
15,0-5324_Phy000D0N3_SCHPO_matrix.txt,nmcutqrao_esu2,370595.2834472656
12,0-5002_Phy000D14B_SCHPO_matrix.txt,nmcutqrao_esu2,193828.29321289062
25,0-5470_Phy000D0NG_SCHPO_matrix.txt,nmcutqrao_esu2,4930139.890625
15,0-5565_Phy000D0N5_SCHPO_matrix.txt,nmcutqrao_esu2,598321.4892578125
11,0-5699_Phy000D0W7_SCHPO_matrix.txt,nmcutqrao_esu2,164658.548828125
12,0-5997_Phy000D0NJ_SCHPO_matrix.txt,nmcutqrao_esu2,175708.57641601562
15,0-6213_Phy000D0P9_SCHPO_matrix.txt,nmcutqrao_esu2,467911.0849609375
17,0-6429_Phy000D0YO_SCHPO_matrix.txt,nmcutqrao_esu2,683873.5354003906
13,0-6283_Phy000D0SM_SCHPO_matrix.txt,nmcutqrao_esu2,217707.85205078125
24,0-6654_Phy000D0NR_SCHPO_matrix.txt,nmcutqrao_esu2,3263982.407470703
11,0-7003_Phy000D0V4_SCHPO_matrix.txt,nmcutqrao_esu2,120611.93237304688
11,0-7371_Phy000D0RN_SCHPO_matrix.txt,nmcutqrao_esu2,117833.73559570312
17,0-7392_Phy000D0LZ_SCHPO_matrix.txt,nmcutqrao_esu2,768966.4270019531
11,0-7576_Phy000D0YA_SCHPO_matrix.txt,nmcutqrao_esu2,175490.24560546875
20,0-7486_Phy000D13P_SCHPO_matrix.txt,nmcutqrao_esu2,1932330.1840820312
