size,name,method,time
14,0-2641_Phy000D1A6_SCHPO_matrix.txt,SA,282.7785
34,0-2722_Phy000D0UI_SCHPO_matrix.txt,SA,3342.580300000002
31,0-2805_Phy000D0YZ_SCHPO_matrix.txt,SA,2800.4345000000003
35,0-2993_Phy000D1TD_SCHPO_matrix.txt,SA,3588.872699999999
33,0-3028_Phy000D0XD_SCHPO_matrix.txt,SA,3268.8716999999983
22,0-3205_Phy000D0PQ_SCHPO_matrix.txt,SA,884.4619000000002
16,0-3329_Phy000D0PY_SCHPO_matrix.txt,SA,438.8046
12,0-3437_Phy000D0PP_SCHPO_matrix.txt,SA,196.44980000000004
11,0-3607_Phy000D0Q0_SCHPO_matrix.txt,SA,149.05380000000002
27,0-3779_Phy000D0OG_SCHPO_matrix.txt,SA,2055.030800000001
27,0-3891_Phy000D0SX_SCHPO_matrix.txt,SA,2404.6336000000006
28,0-3906_Phy000D0SK_SCHPO_matrix.txt,SA,1518.6915
36,0-4318_Phy000D0M2_SCHPO_matrix.txt,SA,4669.696600000003
35,0-4331_Phy000D0N4_SCHPO_matrix.txt,SA,3386.330000000001
30,0-4394_Phy000D0SL_SCHPO_matrix.txt,SA,2384.4274999999984
34,0-4494_Phy000D0QL_SCHPO_matrix.txt,SA,5279.326800000002
25,0-4533_Phy000D0UP_SCHPO_matrix.txt,SA,1439.4914000000006
37,0-4593_Phy000D17Y_SCHPO_matrix.txt,SA,5469.564700000001
14,0-4681_Phy000D0SO_SCHPO_matrix.txt,SA,333.6535999999999
39,0-4978_Phy000D0YK_SCHPO_matrix.txt,SA,3819.9849999999997
33,0-4987_Phy000D115_SCHPO_matrix.txt,SA,2587.6684999999998
12,0-5002_Phy000D14B_SCHPO_matrix.txt,SA,158.55549999999997
32,0-5258_Phy000D0MM_SCHPO_matrix.txt,SA,2320.7118
15,0-5324_Phy000D0N3_SCHPO_matrix.txt,SA,475.5775000000002
25,0-5470_Phy000D0NG_SCHPO_matrix.txt,SA,1094.2984
15,0-5565_Phy000D0N5_SCHPO_matrix.txt,SA,347.4682000000001
11,0-5699_Phy000D0W7_SCHPO_matrix.txt,SA,146.6821
12,0-5997_Phy000D0NJ_SCHPO_matrix.txt,SA,183.9996
29,0-6040_Phy000D0LN_SCHPO_matrix.txt,SA,2636.2476000000006
15,0-6213_Phy000D0P9_SCHPO_matrix.txt,SA,331.8606999999999
13,0-6283_Phy000D0SM_SCHPO_matrix.txt,SA,313.4544000000001
17,0-6429_Phy000D0YO_SCHPO_matrix.txt,SA,495.0507000000001
40,0-6571_Phy000D0VJ_SCHPO_matrix.txt,SA,3784.5663
24,0-6654_Phy000D0NR_SCHPO_matrix.txt,SA,1729.2873000000002
11,0-7003_Phy000D0V4_SCHPO_matrix.txt,SA,156.50910000000002
38,0-7080_Phy000D0VB_SCHPO_matrix.txt,SA,4481.6639
11,0-7371_Phy000D0RN_SCHPO_matrix.txt,SA,178.27730000000005
17,0-7392_Phy000D0LZ_SCHPO_matrix.txt,SA,606.2519000000001
20,0-7486_Phy000D13P_SCHPO_matrix.txt,SA,843.4525999999998
11,0-7576_Phy000D0YA_SCHPO_matrix.txt,SA,154.45109999999997
