size,name,method,time
14,0-2641_Phy000D1A6_SCHPO_matrix.txt,nmcutspce,11633.97607421875
34,0-2722_Phy000D0UI_SCHPO_matrix.txt,nmcutspce,57517.587646484375
31,0-2805_Phy000D0YZ_SCHPO_matrix.txt,nmcutspce,43016.5048828125
35,0-2993_Phy000D1TD_SCHPO_matrix.txt,nmcutspce,52543.165283203125
33,0-3028_Phy000D0XD_SCHPO_matrix.txt,nmcutspce,51050.086669921875
22,0-3205_Phy000D0PQ_SCHPO_matrix.txt,nmcutspce,26152.034423828125
16,0-3329_Phy000D0PY_SCHPO_matrix.txt,nmcutspce,13104.546875
12,0-3437_Phy000D0PP_SCHPO_matrix.txt,nmcutspce,8607.9990234375
11,0-3607_Phy000D0Q0_SCHPO_matrix.txt,nmcutspce,5942.216552734375
27,0-3779_Phy000D0OG_SCHPO_matrix.txt,nmcutspce,31637.57470703125
28,0-3906_Phy000D0SK_SCHPO_matrix.txt,nmcutspce,33359.95703125
27,0-3891_Phy000D0SX_SCHPO_matrix.txt,nmcutspce,29605.750244140625
36,0-4318_Phy000D0M2_SCHPO_matrix.txt,nmcutspce,59613.129638671875
30,0-4394_Phy000D0SL_SCHPO_matrix.txt,nmcutspce,41541.150390625
35,0-4331_Phy000D0N4_SCHPO_matrix.txt,nmcutspce,53885.99609375
34,0-4494_Phy000D0QL_SCHPO_matrix.txt,nmcutspce,50695.965087890625
25,0-4533_Phy000D0UP_SCHPO_matrix.txt,nmcutspce,29688.785400390625
37,0-4593_Phy000D17Y_SCHPO_matrix.txt,nmcutspce,54310.359130859375
14,0-4681_Phy000D0SO_SCHPO_matrix.txt,nmcutspce,11954.727783203125
33,0-4987_Phy000D115_SCHPO_matrix.txt,nmcutspce,49438.845947265625
39,0-4978_Phy000D0YK_SCHPO_matrix.txt,nmcutspce,66652.85766601562
32,0-5258_Phy000D0MM_SCHPO_matrix.txt,nmcutspce,46877.91455078125
15,0-5324_Phy000D0N3_SCHPO_matrix.txt,nmcutspce,13446.1123046875
12,0-5002_Phy000D14B_SCHPO_matrix.txt,nmcutspce,8343.13037109375
25,0-5470_Phy000D0NG_SCHPO_matrix.txt,nmcutspce,30819.080810546875
15,0-5565_Phy000D0N5_SCHPO_matrix.txt,nmcutspce,12578.794189453125
11,0-5699_Phy000D0W7_SCHPO_matrix.txt,nmcutspce,8778.041259765625
12,0-5997_Phy000D0NJ_SCHPO_matrix.txt,nmcutspce,8808.427490234375
15,0-6213_Phy000D0P9_SCHPO_matrix.txt,nmcutspce,12142.52490234375
29,0-6040_Phy000D0LN_SCHPO_matrix.txt,nmcutspce,40075.85888671875
17,0-6429_Phy000D0YO_SCHPO_matrix.txt,nmcutspce,13390.9443359375
13,0-6283_Phy000D0SM_SCHPO_matrix.txt,nmcutspce,9016.690673828125
40,0-6571_Phy000D0VJ_SCHPO_matrix.txt,nmcutspce,67988.73999023438
24,0-6654_Phy000D0NR_SCHPO_matrix.txt,nmcutspce,28720.2392578125
11,0-7003_Phy000D0V4_SCHPO_matrix.txt,nmcutspce,7709.936767578125
38,0-7080_Phy000D0VB_SCHPO_matrix.txt,nmcutspce,58153.604248046875
11,0-7371_Phy000D0RN_SCHPO_matrix.txt,nmcutspce,6903.18994140625
17,0-7392_Phy000D0LZ_SCHPO_matrix.txt,nmcutspce,17876.1396484375
11,0-7576_Phy000D0YA_SCHPO_matrix.txt,nmcutspce,8577.728759765625
20,0-7486_Phy000D13P_SCHPO_matrix.txt,nmcutspce,20044.061279296875
