size,id,RF
20,10618,29.41
20,41388,17.65
21,45255,38.89
21,48947,5.56
22,1,21.05
22,10240,21.05
23,29684,35.0
23,48363,10.0
24,11027,19.05
24,11191,28.57
25,18286,27.27
25,40617,22.73
26,1,21.74
26,57060,43.48
27,12314,37.5
27,15842,25.0
28,45644,20.0
28,58351,0.0
29,9086,30.77
30,12375,14.81
30,59413,11.11
31,28589,10.71
31,28601,17.86
32,13828,6.9
32,40648,24.14
33,13007,26.67
33,24444,26.67
34,28634,6.45
34,57672,12.9
35,46161,15.62
36,12763,18.18
36,59105,15.15
37,19394,11.76
37,41415,11.76
38,9666,5.71
39,11594,13.89
39,27001,8.33
