size,id,RF
20,10618,41.18
20,41388,41.18
21,45255,44.44
21,48947,27.78
22,10240,26.32
22,10240_1,26.32
23,29684,45.0
23,48363,10.0
24,11027,14.29
24,11191,38.1
25,18286,36.36
25,40617,31.82
26,57060,47.83
26,57060_1,26.09
27,12314,41.67
27,15842,29.17
28,45644,24.0
28,58351,36.0
29,9086,38.46
30,12375,29.63
30,59413,18.52
31,28589,25.0
31,28601,21.43
32,13828,37.93
32,40648,17.24
33,13007,20.0
33,24444,23.33
34,28634,32.26
34,57672,3.23
35,46161,25.0
36,12763,9.09
36,59105,21.21
37,19394,11.76
37,41415,11.76
38,9666,2.86
39,11594,19.44
43,49038,25.0
43,32668,27.5
