size,name,time
20,assembled_sequences_10618.fasta,1504.4754399999997
20,assembled_sequences_41388.fasta,1696.9655199999993
21,assembled_sequences_45255.fasta,2280.2427199999997
21,assembled_sequences_48947.fasta,1816.2297599999993
22,assembled_sequences_10240.fasta,1817.3192800000002
22,assembled_sequences_10240_1.fasta,2239.83536
23,assembled_sequences_29684.fasta,2126.60472
23,assembled_sequences_48363.fasta,1968.9901600000003
24,assembled_sequences_11027.fasta,2827.0499199999995
24,assembled_sequences_11191.fasta,2397.725920000001
25,assembled_sequences_18286.fasta,1931.8045600000003
25,assembled_sequences_40617.fasta,2237.3176
26,assembled_sequences_57060.fasta,2433.9381599999992
26,assembled_sequences_57060_1.fasta,2861.6294399999997
27,assembled_sequences_12314.fasta,2862.8661599999996
27,assembled_sequences_15842.fasta,2547.0991999999997
28,assembled_sequences_45644.fasta,2511.3755999999985
28,assembled_sequences_58351.fasta,2666.9279999999994
29,assembled_sequences_9086.fasta,2977.143280000002
30,assembled_sequences_12375.fasta,2865.18472
30,assembled_sequences_59413.fasta,2630.5530400000002
31,assembled_sequences_28589.fasta,2666.7621599999998
31,assembled_sequences_28601.fasta,3014.7748
32,assembled_sequences_13828.fasta,2897.5733600000003
32,assembled_sequences_40648.fasta,2783.63264
33,assembled_sequences_13007.fasta,3248.88144
33,assembled_sequences_24444.fasta,3401.871600000001
34,assembled_sequences_28634.fasta,3442.98592
34,assembled_sequences_57672.fasta,3987.0310399999985
35,assembled_sequences_46161.fasta,3291.2850399999998
36,assembled_sequences_12763.fasta,4065.0242399999997
36,assembled_sequences_59105.fasta,4450.435839999998
37,assembled_sequences_19394.fasta,4025.22552
37,assembled_sequences_41415.fasta,3717.06232
38,assembled_sequences_9666.fasta,4957.728079999999
39,assembled_sequences_11594.fasta,4411.609919999999
39,assembled_sequences_27001.fasta,3561.701679999999
100,assembled_sequences_53321.fasta,16036.545119999995
102,assembled_sequences_30931.fasta,14457.382240000004
104,assembled_sequences_9796.fasta,14780.090880000007
106,assembled_sequences_45124.fasta,15438.827839999993
108,assembled_sequences_41833.fasta,15503.600719999993
110,assembled_sequences_44315.fasta,16519.82335999999
112,assembled_sequences_47704.fasta,14781.890399999995
