size,name,time
8,matrix_1822.npy,1867.22314453125
9,matrix_32709.npy,3135.470947265625
10,matrix_28864.npy,4566.642333984375
11,matrix_11523.npy,5367.90087890625
12,matrix_7791.npy,8472.245361328125
13,matrix_13951.npy,8513.26171875
14,matrix_10953.npy,16177.04541015625
15,matrix_11018.npy,11438.87890625
20,matrix_10618.npy,47589.086181640625
20,matrix_41388.npy,61731.76513671875
21,matrix_45255.npy,96571.59619140625
21,matrix_48947.npy,81720.86865234375
22,matrix_1.npy,140522.10009765625
22,matrix_10240.npy,163991.86376953125
23,matrix_29684.npy,399825.6418457031
23,matrix_48363.npy,361591.59912109375
24,matrix_11027.npy,747491.4150390625
24,matrix_11191.npy,790550.3012695312
25,matrix_18286.npy,1499459.5634765625
25,matrix_40617.npy,1420276.572265625
26,matrix_1.npy,3145578.4274902344
26,matrix_57060.npy,2861097.880859375
27,matrix_12314.npy,6242071.0927734375
27,matrix_15842.npy,6231108.016357422
28,matrix_45644.npy,12775268.10913086
28,matrix_58351.npy,12921136.602294922
29,matrix_9086.npy,26516286.424072266
