Method,Layers,Energy,Solution,Parameters
CG,1,-955.080078125,01101,"[-1.34271726e-05,,7.71332619e-05]"
BFGS,1,-1414.0859375,00100,"[0.,0.]"
Nelder-Mead,1,-2088.8642578125,00111,"[0.00037499,0.]"
L-BFGS-B,1,-1167.73828125,00110,"[0.,0.]"
Powell,1,-7812.775390625,01010,"[5.00419397,0.74697277]"
TNC,1,-1182.30859375,00010,"[0.,0.]"
COBYLA,1,-2961.767578125,00011,"[3.29233503,0.95631731]"
COBYQA,1,-12970.0224609375,00010,"[0.64268692,0.56536135]"
SLSQP,1,-1371.62109375,01001,"[0.,0.]"
trust-constr,1,-1842.615234375,01110,"[0.16056754,0.27897976]"
CG,2,-2078.798828125,01111,"[0.37942158,0.97049144,0.15845433,0.10783492]"
BFGS,2,-768.33203125,00011,"[0.94083799,0.66705114,0.36196849,0.79718398]"
Nelder-Mead,2,-10401.69140625,00011,"[0.10431732,0.65793659,0.25781435,0.87742503]"
L-BFGS-B,2,-2831.2421875,01100,"[0.50380415,0.60028333,0.8946824,,0.85510791]"
Powell,2,-13256.7275390625,00000,"[3.8831487,,2.41208364,0.0313441,,0.99310587]"
TNC,2,-1469.095703125,00000,"[0.63735642,0.93227575,0.80297447,0.92301104]"
COBYLA,2,-8517.5908203125,00100,"[1.56829152,0.38087392,0.32930314,0.53567326]"
COBYQA,2,-10271.755859375,01011,"[2.98149663,1.13623327,0.08941213,0.8365566]"
SLSQP,2,-950.5244140625,01110,"[0.9161098,,0.12271135,0.39975,,,,0.99252536]"
trust-constr,2,-9156.990234375,00000,"[1.31285588,0.46991667,0.64297771,1.18508166]"
CG,3,-1636.484375,00011,"[0.55836291,0.6001063,,0.95567267,0.81519168,0.0980551,,0.12977011]"
BFGS,3,-4487.62890625,01101,"[0.16889527,0.16249327,0.86624309,0.40850509,0.07810949,0.93191884]"
Nelder-Mead,3,-11130.083984375,01111,"[0.32054606,0.5402154,,0.91866572,0.29014248,0.92820728,0.74206968]"
L-BFGS-B,3,-391.9375,01010,"[0.93568643,0.02994798,0.16312795,0.25529894,0.60711747,0.1959968]"
Powell,3,-8663.478515625,01011,"[2.38045004,1.20161777,3.87291534,1.40571332,0.74162942,2.96109615]"
TNC,3,-336.796875,01110,"[0.25898378,0.91469578,0.04281124,0.7835154,,0.17776552,0.65640171]"
COBYLA,3,-7426.626953125,01000,"[1.37601668e+00,1.23870667e+00,1.66382489e+00,3.50335599e-05,3.29517378e-01,5.48529341e-01]"
COBYQA,3,-10422.3388671875,00010,"[1.07994240e+00,0.00000000e+00,9.43850004e-01,1.01073396e+00,7.43111134e-04,1.01806021e+00]"
SLSQP,3,67.4609375,00101,"[0.14083323,0.93998084,0.01646552,0.46372744,0.41077046,0.82830995]"
trust-constr,3,-10297.4423828125,01011,"[2.38684664e+00,1.42043466e+00,1.05069024e+00,4.01084441e-06,2.32184349e+00,8.86702682e-03]"
