Method,Layers,Energy,Solution,Parameters
CG,1,-913.0673828125,01101,"[-5.67608944e-08,-1.87501927e-07]"
BFGS,1,-1083.6220703125,01101,"[-1.31246802e-04,,1.36199706e-05]"
Nelder-Mead,1,-1972.060546875,01011,"[0.00012498,0.]"
L-BFGS-B,1,-579.640625,00110,"[0.,0.]"
Powell,1,-7910.9013671875,01111,"[5.01633101,0.85399552]"
TNC,1,-1125.7353515625,01101,"[0.,0.]"
COBYLA,1,-2761.640625,01100,"[0.17276616,0.279086]"
COBYQA,1,-10760.2275390625,00010,"[0.6445614,,2.63881387]"
SLSQP,1,-536.365234375,00001,"[0.,0.]"
trust-constr,1,-6817.2734375,00010,"[0.00829563,0.09942421]"
CG,2,-4411.0068359375,01110,"[0.85479572,0.17768047,0.88584605,0.60478863]"
BFGS,2,-5357.794921875,01010,"[0.3869544,,0.98846016,0.17931677,0.8353443,]"
Nelder-Mead,2,-9880.142578125,00010,"[1.02457249,0.14760155,0.99323849,0.97964014]"
L-BFGS-B,2,-4935.37890625,01001,"[0.75162882,0.58410089,0.29999099,0.65270398]"
Powell,2,-9109.4794921875,00011,"[5.0042106,,2.40004068,1.05633272,0.28327723]"
TNC,2,2900.4892578125,00000,"[0.02817699,0.98455765,0.88807285,0.88426521]"
COBYLA,2,-5881.7705078125,01011,"[1.53425477,1.15154727,0.00608289,1.07976774]"
COBYQA,2,-9541.154296875,01111,"[0.82386257,1.04669614,1.16018138,1.06207619]"
SLSQP,2,-647.259765625,00011,"[0.76830357,0.62062625,0.07060978,0.01714896]"
trust-constr,2,-9620.60546875,01000,"[0.91559966,0.50915251,0.74706991,0.96178866]"
CG,3,-3188.6044921875,01011,"[0.33755848,0.97450471,0.11240676,0.06182021,0.66028039,0.97002263]"
BFGS,3,-7734.7548828125,00001,"[1.97982602e-01,5.15056898e-01,8.22062593e-01,9.38306530e-01,3.94399621e-04,1.11196958e-01]"
Nelder-Mead,3,-9292.93359375,00010,"[0.48767209,0.17008667,0.49719574,0.49150986,0.25832797,0.19099642]"
L-BFGS-B,3,-1541.4658203125,01100,"[0.67939918,0.44319149,0.371714,,,0.16750698,0.48714978,0.98299792]"
Powell,3,-8765.306640625,00010,"[1.51887084,3.81367667,3.84918329,1.95502255,1.25444253,0.78529406]"
TNC,3,-2980.73828125,00100,"[0.90347955,0.8540942,,0.55308037,0.73757908,0.85636091,0.87696285]"
COBYLA,3,-6746.4482421875,00010,"[0.81574305,0.42704331,0.71391046,1.57073879,0.14560475,0.61521443]"
COBYQA,3,-14371.4208984375,00010,"[0.43964948,0.21452707,0.29935472,0.00381375,2.1923166,,0.34377705]"
SLSQP,3,-733.25390625,00010,"[0.87601441,0.91695289,0.74689825,0.74709856,0.16002964,0.9408132]"
trust-constr,3,-8850.9580078125,00110,"[0.38887505,0.72612814,0.16199708,0.25417525,0.12681692,0.60135376]"
