Method,Layers,Energy,Solution,Parameters
CG,1,-11322.938183513848,11110,"[-1.36135813e-03,-1.67316048e-12]"
BFGS,1,-11322.93782052782,11110,"[-1.36136045e-03,-1.67316332e-12]"
Nelder-Mead,1,-12173.671058854365,11111,"[0.00010472,0.]"
L-BFGS-B,1,-3.979039320256561e-13,00000,"[0.,0.]"
Powell,1,-5893.459288380259,11011,"[1.93759447,1.19001475]"
TNC,1,-3.979039320256561e-13,00000,"[0.,0.]"
COBYLA,1,3489.1024331952253,00101,"[0.4991308,0.0044354]"
COBYQA,1,-8129.366793373134,01111,"[0.08862226,0.25011348]"
SLSQP,1,-3.979039320256561e-13,00000,"[0.,0.]"
trust-constr,1,-10669.442216866002,11111,"[3.80278610e-05,1.81208955e+00]"
CG,2,-9642.9656542705,10010,"[0.73274356,0.66874485,0.11596839,0.22578953]"
BFGS,2,-9722.707417272306,10101,"[0.98037293,0.2540151,,0.07418333,1.04842494]"
Nelder-Mead,2,-13822.936395509896,11101,"[0.65780322,0.47460423,0.88540476,0.89882325]"
L-BFGS-B,2,-5092.272311625017,11110,"[0.42178199,0.88581729,0.06622491,0.11647486]"
Powell,2,-8242.99751022768,10111,"[2.54423293,0.92876419,2.78030575,2.43856274]"
TNC,2,-11146.700771346406,11110,"[0.02595808,0.16152519,0.99623364,0.07950484]"
COBYLA,2,666.9223172975493,10001,"[,7.02541423e-01,,1.31376064e+00,,2.99864624e-01,-6.77626358e-21]"
COBYQA,2,-18328.457995529563,11111,"[1.54458700e-04,1.07597395e+00,5.05523435e-01,1.76846165e-05]"
SLSQP,2,-2169.2203803017205,11110,"[0.35320728,0.91715286,0.22416982,0.30210383]"
trust-constr,2,-13664.362059898433,11101,"[0.67417053,0.01245361,1.08533015,0.06566621]"
CG,3,-5904.015251848503,10111,"[0.67447232,0.19526993,0.17211835,0.94864228,0.51121917,0.84910921]"
BFGS,3,-14675.406264375888,10100,"[0.45736027,0.42697359,0.06314554,0.22140928,0.61646441,0.62476741]"
Nelder-Mead,3,-16016.575772756527,00101,"[0.64524086,0.94785684,0.40322646,0.63910914,0.60497964,1.07549591]"
L-BFGS-B,3,-8431.18385682733,11011,"[0.60196147,0.5860728,,0.95087628,0.20368817,0.80218688,0.3754701]"
Powell,3,-4502.160141962517,11000,"[2.39996323,4.81618704,4.23337199,0.48272651,0.67892071,0.81362107]"
TNC,3,-15581.664645660274,00111,"[0.49970062,0.08843198,0.85016988,0.2474651,,0.7149315,,0.41342822]"
COBYLA,3,10698.78401057169,11000,"[1.07757578,0.00301652,1.86298893,1.71560101,1.11113049,1.50190658]"
COBYQA,3,-15067.984564888906,11010,"[8.89083860e-01,8.74223131e-01,5.69229562e-04,1.99602307e+00,9.45633437e-01,2.47396891e-02]"
SLSQP,3,-367.83169694800745,10010,"[0.33694286,0.66248418,0.11860391,0.63360364,0.2516116,,0.57896514]"
trust-constr,3,-15406.563416329216,00110,"[0.92383861,0.58549026,0.14196859,0.42327313,0.78639264,0.0024969]"
