Method,Layers,Energy,Solution,Parameters
CG,1,-1207.1591796875,00100,
BFGS,1,-1326.544921875,00111,
Nelder-Mead,1,-3994.58203125,01000,
L-BFGS-B,1,-596.09765625,00001,
Powell,1,-7828.65625,01011,
TNC,1,-1538.677734375,00111,
COBYLA,1,-5281.55859375,01001,
COBYQA,1,-11521.99609375,01001,
SLSQP,1,-738.08203125,01011,
trust-constr,1,-8562.9541015625,01001,
CG,2,-1010.87109375,01000,
BFGS,2,-1335.2001953125,01101,
Nelder-Mead,2,-6221.912109375,00000,
L-BFGS-B,2,-561.9580078125,01101,
Powell,2,-8229.3173828125,01010,
TNC,2,-892.4345703125,00001,
COBYLA,2,-6623.884765625,00000,
COBYQA,2,-10897.3564453125,01001,
SLSQP,2,-1598.2158203125,00110,
trust-constr,2,-8932.0234375,01011,
CG,3,-836.548828125,01100,
BFGS,3,-1067.896484375,01010,
Nelder-Mead,3,-3569.310546875,01000,
L-BFGS-B,3,-73.9443359375,01111,
Powell,3,-10004.49609375,01010,
TNC,3,-870.33984375,00101,
COBYLA,3,-6096.2607421875,01011,
COBYQA,3,-14291.8125,00000,
SLSQP,3,-982.1455078125,01000,
trust-constr,3,-11573.525390625,00000,
