Method,Layers,Energy,Solution,Parameters
CG,1,-3.979039320256561e-13,11111,"[0.0, 0.0]"
BFGS,1,-3.979039320256561e-13,11111,"[0.0, 0.0]"
Nelder-Mead,1,-7.389644451905042e-13,00000,"[0.0, 0.00025]"
L-BFGS-B,1,-3.979039320256561e-13,00000,"[0.0, 0.0]"
Powell,1,-2502.319978765614,11101,"[3.91851276520124, 0.43091447334581673]"
TNC,1,-3.979039320256561e-13,00000,"[0.0, 0.0]"
COBYLA,1,-1097.791980372635,10111,"[0.7096162021030054, 0.7995821444984039]"
COBYQA,1,-1603.2655088021365,11100,"[0.5000109852999962, 0.49996038092910416]"
SLSQP,1,-3.979039320256561e-13,00000,"[0.0, 0.0]"
trust-constr,1,-6169.76864470349,11111,"[0.19340598652737817, 0.6836937556941343]"
CG,2,-5633.175872935664,01101,"[0.5662200688001124, 0.8780629645727068, 0.3949972123669657, 0.26695344295195833]"
BFGS,2,-9066.01371189332,11101,"[0.6774418043178119, 0.2287268080629841, 1.087319038681715, 0.6936516390996864]"
Nelder-Mead,2,-9057.687185160572,01011,"[0.35577308903435945, 0.8196904676384833, 0.7984210647171942, 0.5637507712476525]"
L-BFGS-B,2,-4108.338132999698,01001,"[0.6033217160351533, 0.575742022917279, 0.515703623302083, 0.6205951841716798]"
Powell,2,-11238.13859031345,11111,"[1.8810451074393013, 1.4807681523223892, 3.1323360157304814, 0.7878588141479622]"
TNC,2,-4287.854846748332,10101,"[0.7435127026242019, 0.5050381697804922, 0.2926455491748656, 0.36500461210889434]"
COBYLA,2,-4812.056746341404,11001,"[0.7412874044423071, 0.23706988702719223, 0.6697556168921118, 0.14439003210973816]"
COBYQA,2,-7058.311251988854,01111,"[0.995731356284872, 1.0047173192471275, 2.0073510066399884, 0.9980090777780766]"
SLSQP,2,189.50807473370207,10010,"[0.5249189417630034, 0.6759615144646929, 0.10119273759788916, 0.9101903568093889]"
trust-constr,2,-8159.053478828874,01111,"[1.790330849800921, 0.6101082320508909, 0.6824481064214859, 0.3795610748070152]"
CG,3,-6904.7382320472625,11101,"[0.9500935117797218, 0.29384445314985586, 0.9248542390578343, 0.5898633961186519, 0.9102191856410436, 0.6371338582444058]"
BFGS,3,-8949.87619468416,11101,"[0.6649209007436155, 0.15823958675925193, 0.7801985320124326, 0.9838901874203378, 0.1297990750884215, 0.24616324725711144]"
Nelder-Mead,3,-9108.597168139468,11110,"[0.011969145699756597, 0.8846296978501087, 0.29149279017486573, 0.26388459475417647, 0.23649122579780685, 0.850348812436814]"
L-BFGS-B,3,-10892.498870584632,01110,"[0.22179749174622534, 0.19144617495380978, 0.8558490913207081, 0.17363935469023223, 0.1644373293449721, 0.7790526749859228]"
Powell,3,-5799.828001299588,11111,"[2.75011314601912, 2.3905587353934976, 3.6632398482739092, 0.4677697855406898, 2.035439003193816, 1.0410035368001642]"
TNC,3,-3056.267919314416,10010,"[0.7533491234701573, 0.8686160622290342, 0.10208101781601764, 0.7808471926265039, 0.1996182099269308, 0.7486000225714851]"
COBYLA,3,-3451.8664475843516,11111,"[1.5927704845128423, 1.0552527474989053, 1.0268161122856354, 0.03546948510687908, 0.6560570853745142, 0.7117991651230599]"
COBYQA,3,-8536.424384059188,11011,"[0.9292421155855674, 5.817745990803314e-06, 1.0039579364748912, 0.9626200724788394, 0.9767916225927221, 0.9447989626677692]"
SLSQP,3,-441.59682840594735,00100,"[0.46504689489224915, 0.4132940839735635, 0.2529121176498301, 0.7211252733047473, 0.5632582427780759, 0.7806989901406166]"
trust-constr,3,-13562.55135846171,11101,"[0.6693700477497712, 0.07379848485364446, 0.00028948562160408675, 0.6279898042904515, 0.6390004019934706, 0.6122046937473309]"
