size,name,time
20,matrix_10618.npy,18858334.99267578
20,matrix_41388.npy,18718885.481933594
21,matrix_45255.npy,22406935.728271484
21,matrix_48947.npy,20130792.18383789
10,matrix_28864.npy,91103.91870117188
10,matrix_28864.npy,121380.31201171875
11,matrix_11523.npy,148643.60375976562
12,matrix_7791.npy,190704.73852539062
13,matrix_13951.npy,206215.228515625
14,matrix_10953.npy,267680.8623046875
15,matrix_11018.npy,2102288.8571777344
8,matrix_1822.npy,92435.26782226562
9,matrix_32709.npy,78997.96313476562
