size,branch_length,id,clustering_distance
23,0.6467,0-6467_Phy0048AN8_PENDI,0.32440094372323514
30,0.2576,0-2576_Phy0042T98_PENDI,0.3744188391413439
17,0.5979,0-5979_Phy003QCG6_PENDI,0.6067347932871907
34,0.5453,0-5453_Phy003VNLF_PENDI,0.4072951500441129
21,0.3611,0-3611_Phy003QBO6_PENDI,0.4108175014735519
30,0.6364,0-6364_Phy0045Q6A_PENDI,0.32264458559025155
10,0.6024,0-6024_Phy003Q9QV_PENDI,0.7294526292071273
24,0.4843,0-4843_Phy0042UCY_PENDI,0.47720357489927345
23,0.4502,0-4502_Phy003Q8L5_PENDI,0.45977101817451826
15,0.6047,0-6047_Phy003QCEL_PENDI,0.6932602703134909
34,0.2645,0-2645_Phy003Q8P2_PENDI,0.3485722290077776
16,0.6862,0-6862_Phy0048AW7_PENDI,0.5658419548451742
28,0.3312,0-3312_Phy003Q83V_PENDI,0.36288658435770893
29,0.2712,0-2712_Phy003Q6UV_PENDI,0.38202348469552283
29,0.3552,0-3552_Phy0042SL3_PENDI,0.35653866572113135
13,0.7599,0-7599_Phy003VMY1_PENDI,0.8198892402109025
32,0.2912,0-2912_Phy003QBA0_PENDI,0.3806674517701423
34,0.7173,0-7173_Phy003QAVC_PENDI,0.3553177086010124
13,0.7427,0-7427_Phy0042UBM_PENDI,0.6994387326604581
15,0.5716,0-5716_Phy003Q70T_PENDI,0.9228465786063851
32,0.6693,0-6693_Phy0042SPT_PENDI,0.4034293301179286
27,0.6482,0-6482_Phy0042TO8_PENDI,0.4239419649714615
14,0.3995,0-3995_Phy0045P6V_PENDI,0.7306554711896189
15,0.6648,0-6648_Phy003Q9Y1_PENDI,0.7290252612286152
13,0.5765,0-5765_Phy003VMGE_PENDI,0.45410248378887175
14,0.4151,0-4151_Phy003QBS4_PENDI,0.8299977449123713
28,0.2859,0-2859_Phy003QA9A_PENDI,0.3116193140605209
16,0.6225,0-6225_Phy003VMDX_PENDI,0.7053491480876882
25,0.3202,0-3202_Phy003QAL1_PENDI,0.4705869607468999
10,0.4916,0-4916_Phy003QAXZ_PENDI,0.743265802281051
11,0.6190,0-6190_Phy0042S18_PENDI,0.9067665593110338
14,0.7240,0-7240_Phy003Q83Q_PENDI,0.4998496872706085
15,0.4122,0-4122_Phy003QCB4_PENDI,0.558521786986231
29,0.4226,0-4226_Phy0042T4N_PENDI,0.33783909977622595
30,0.4642,0-4642_Phy0048AWY_PENDI,0.49450487949967525
12,0.7519,0-7519_Phy003Q9MR_PENDI,0.5774195245966831
32,0.5077,0-5077_Phy0042U2P_PENDI,0.3934223475074874
11,0.6820,0-6820_Phy003QA8L_PENDI,0.6533218572839941
28,0.4062,0-4062_Phy0042T5Q_PENDI,0.46183777874431187
30,0.5266,0-5266_Phy0045PS5_PENDI,0.3970788622919583
