size,branch_length,id,clustering_distance
13,0.6283,0-6283_Phy000D0SM_SCHPO,0.4200957473356478
12,0.5002,0-5002_Phy000D14B_SCHPO,0.23829507737824784
25,0.4533,0-4533_Phy000D0UP_SCHPO,0.21160977171575113
28,0.3906,0-3906_Phy000D0SK_SCHPO,0.2093617386706742
30,0.4394,0-4394_Phy000D0SL_SCHPO,0.23814650112905444
33,0.3028,0-3028_Phy000D0XD_SCHPO,0.1587922853262106
39,0.4978,0-4978_Phy000D0YK_SCHPO,0.17844396885805425
15,0.6213,0-6213_Phy000D0P9_SCHPO,0.2071241202552535
27,0.3891,0-3891_Phy000D0SX_SCHPO,0.1967087731977143
22,0.3205,0-3205_Phy000D0PQ_SCHPO,0.3138592951512488
35,0.2993,0-2993_Phy000D1TD_SCHPO,0.18974072394408847
36,0.4318,0-4318_Phy000D0M2_SCHPO,0.19802064696446864
12,0.5997,0-5997_Phy000D0NJ_SCHPO,0.2180942817686332
34,0.2722,0-2722_Phy000D0UI_SCHPO,0.1646117442806153
11,0.5699,0-5699_Phy000D0W7_SCHPO,0.34942128387524096
17,0.6429,0-6429_Phy000D0YO_SCHPO,0.392094533992689
14,0.4681,0-4681_Phy000D0SO_SCHPO,0.381309985096169
29,0.6040,0-6040_Phy000D0LN_SCHPO,0.3237310579469519
38,0.7080,0-7080_Phy000D0VB_SCHPO,0.22661775040693044
34,0.4494,0-4494_Phy000D0QL_SCHPO,0.23986369660173446
11,0.3607,0-3607_Phy000D0Q0_SCHPO,0.3823287643037778
40,0.6571,0-6571_Phy000D0VJ_SCHPO,0.21485957425640478
33,0.4987,0-4987_Phy000D115_SCHPO,0.19695215561263246
11,0.7003,0-7003_Phy000D0V4_SCHPO,0.23992367535466008
27,0.3779,0-3779_Phy000D0OG_SCHPO,0.2068541966795927
17,0.7392,0-7392_Phy000D0LZ_SCHPO,0.18855283056915018
25,0.5470,0-5470_Phy000D0NG_SCHPO,0.2753182397355761
24,0.6654,0-6654_Phy000D0NR_SCHPO,0.26465157958745933
35,0.4331,0-4331_Phy000D0N4_SCHPO,0.24171793763628968
11,0.7371,0-7371_Phy000D0RN_SCHPO,0.6015887651351743
16,0.3329,0-3329_Phy000D0PY_SCHPO,0.3255715770822776
20,0.7486,0-7486_Phy000D13P_SCHPO,0.25686596602515854
32,0.5258,0-5258_Phy000D0MM_SCHPO,0.2001530615710525
31,0.2805,0-2805_Phy000D0YZ_SCHPO,0.19094133300340743
12,0.3437,0-3437_Phy000D0PP_SCHPO,0.3634254997186561
37,0.4593,0-4593_Phy000D17Y_SCHPO,0.2433561750643911
15,0.5565,0-5565_Phy000D0N5_SCHPO,0.47527410774438483
14,0.2641,0-2641_Phy000D1A6_SCHPO,0.3195856342156004
11,0.7576,0-7576_Phy000D0YA_SCHPO,0.2608083373982244
15,0.5324,0-5324_Phy000D0N3_SCHPO,0.2616723863165008
