size,branch_length,id,clustering_distance
23,0.6467,0-6467_Phy0048AN8_PENDI,0.23604575132232286
30,0.2576,0-2576_Phy0042T98_PENDI,0.24833140372819873
17,0.5979,0-5979_Phy003QCG6_PENDI,0.2796535663628138
34,0.5453,0-5453_Phy003VNLF_PENDI,0.30979894136567754
21,0.3611,0-3611_Phy003QBO6_PENDI,0.2282092443685051
30,0.6364,0-6364_Phy0045Q6A_PENDI,0.27899442591992274
10,0.6024,0-6024_Phy003Q9QV_PENDI,0.4274660660669638
24,0.4843,0-4843_Phy0042UCY_PENDI,0.30245186786519673
23,0.4502,0-4502_Phy003Q8L5_PENDI,0.3470521878424533
15,0.6047,0-6047_Phy003QCEL_PENDI,0.37797690507233805
34,0.2645,0-2645_Phy003Q8P2_PENDI,0.168183742704494
16,0.6862,0-6862_Phy0048AW7_PENDI,0.2573187924982273
28,0.3312,0-3312_Phy003Q83V_PENDI,0.2508100641699932
29,0.2712,0-2712_Phy003Q6UV_PENDI,0.16541625295355966
29,0.3552,0-3552_Phy0042SL3_PENDI,0.2736517507957147
13,0.7599,0-7599_Phy003VMY1_PENDI,0.3041050314328112
32,0.2912,0-2912_Phy003QBA0_PENDI,0.23920427131211486
34,0.7173,0-7173_Phy003QAVC_PENDI,0.1798356166772428
13,0.7427,0-7427_Phy0042UBM_PENDI,0.2704406389916414
15,0.5716,0-5716_Phy003Q70T_PENDI,0.40344038067854593
32,0.6693,0-6693_Phy0042SPT_PENDI,0.19204031064354754
27,0.6482,0-6482_Phy0042TO8_PENDI,0.25790795223093355
14,0.3995,0-3995_Phy0045P6V_PENDI,0.3521052202694266
15,0.6648,0-6648_Phy003Q9Y1_PENDI,0.3123554944883832
13,0.5765,0-5765_Phy003VMGE_PENDI,0.18542417819551282
14,0.4151,0-4151_Phy003QBS4_PENDI,0.363890733577943
28,0.2859,0-2859_Phy003QA9A_PENDI,0.17688173004472862
16,0.6225,0-6225_Phy003VMDX_PENDI,0.29203902691824135
25,0.3202,0-3202_Phy003QAL1_PENDI,0.25495003869656896
10,0.4916,0-4916_Phy003QAXZ_PENDI,0.45199813025387114
11,0.6190,0-6190_Phy0042S18_PENDI,0.20130636184889206
14,0.7240,0-7240_Phy003Q83Q_PENDI,0.32587018110011445
15,0.4122,0-4122_Phy003QCB4_PENDI,0.1884052411010817
29,0.4226,0-4226_Phy0042T4N_PENDI,0.23004857809044277
30,0.4642,0-4642_Phy0048AWY_PENDI,0.22520366853003537
12,0.7519,0-7519_Phy003Q9MR_PENDI,0.4512549314675437
32,0.5077,0-5077_Phy0042U2P_PENDI,0.3041512228252359
11,0.6820,0-6820_Phy003QA8L_PENDI,0.49632569627050005
28,0.4062,0-4062_Phy0042T5Q_PENDI,0.36359493160121537
30,0.5266,0-5266_Phy0045PS5_PENDI,0.14876637466684084
