size,branch_length,id,clustering_distance
23,0.6467,0-6467_Phy0048AN8_PENDI,0.4881440624781451
30,0.2576,0-2576_Phy0042T98_PENDI,0.8015973465013475
17,0.5979,0-5979_Phy003QCG6_PENDI,0.8693816654993739
34,0.5453,0-5453_Phy003VNLF_PENDI,0.6108212670618438
21,0.3611,0-3611_Phy003QBO6_PENDI,0.722319641068498
30,0.6364,0-6364_Phy0045Q6A_PENDI,0.6785208842902721
10,0.6024,0-6024_Phy003Q9QV_PENDI,0.7294526292071273
24,0.4843,0-4843_Phy0042UCY_PENDI,0.620791440117435
23,0.4502,0-4502_Phy003Q8L5_PENDI,0.7647865504849433
15,0.6047,0-6047_Phy003QCEL_PENDI,0.9169407352632852
34,0.2645,0-2645_Phy003Q8P2_PENDI,0.7714983940821982
16,0.6862,0-6862_Phy0048AW7_PENDI,0.7214346984622566
28,0.3312,0-3312_Phy003Q83V_PENDI,0.7299560581333013
29,0.2712,0-2712_Phy003Q6UV_PENDI,0.5487021552142604
29,0.3552,0-3552_Phy0042SL3_PENDI,0.7578368192685391
13,0.7599,0-7599_Phy003VMY1_PENDI,0.7333940207732444
32,0.2912,0-2912_Phy003QBA0_PENDI,0.7280224415029213
34,0.7173,0-7173_Phy003QAVC_PENDI,0.768604245894226
13,0.7427,0-7427_Phy0042UBM_PENDI,0.6203198552051188
15,0.5716,0-5716_Phy003Q70T_PENDI,0.8472811337634838
32,0.6693,0-6693_Phy0042SPT_PENDI,0.6475269460216634
27,0.6482,0-6482_Phy0042TO8_PENDI,0.7951391867424252
14,0.3995,0-3995_Phy0045P6V_PENDI,0.8479722596328407
15,0.6648,0-6648_Phy003Q9Y1_PENDI,1.0
13,0.5765,0-5765_Phy003VMGE_PENDI,0.44575941852898326
14,0.4151,0-4151_Phy003QBS4_PENDI,0.8299977449123713
28,0.2859,0-2859_Phy003QA9A_PENDI,0.6556643551755776
16,0.6225,0-6225_Phy003VMDX_PENDI,0.793768969353218
25,0.3202,0-3202_Phy003QAL1_PENDI,0.8229054788434398
10,0.4916,0-4916_Phy003QAXZ_PENDI,1.0
11,0.6190,0-6190_Phy0042S18_PENDI,0.8293177492885184
14,0.7240,0-7240_Phy003Q83Q_PENDI,0.6141775401614664
15,0.4122,0-4122_Phy003QCB4_PENDI,0.6933742123854689
29,0.4226,0-4226_Phy0042T4N_PENDI,0.6748273486948406
30,0.4642,0-4642_Phy0048AWY_PENDI,0.7243187836658425
12,0.7519,0-7519_Phy003Q9MR_PENDI,0.39764362513167806
32,0.5077,0-5077_Phy0042U2P_PENDI,0.6602514946635356
11,0.6820,0-6820_Phy003QA8L_PENDI,0.7592226512147107
28,0.4062,0-4062_Phy0042T5Q_PENDI,0.787983211772412
30,0.5266,0-5266_Phy0045PS5_PENDI,0.681617634696009
