size,branch_length,id,clustering_distance
14,0.2641,0-2641_Phy000D1A6_SCHPO,0.7320066175387145
34,0.2722,0-2722_Phy000D0UI_SCHPO,0.6989864044769727
31,0.2805,0-2805_Phy000D0YZ_SCHPO,0.7404846527919268
35,0.2993,0-2993_Phy000D1TD_SCHPO,0.7248303287932641
33,0.3028,0-3028_Phy000D0XD_SCHPO,0.713435053570087
22,0.3205,0-3205_Phy000D0PQ_SCHPO,0.7248526924786549
16,0.3329,0-3329_Phy000D0PY_SCHPO,0.7477603570069851
12,0.3437,0-3437_Phy000D0PP_SCHPO,0.6850625566874586
11,0.3607,0-3607_Phy000D0Q0_SCHPO,0.5099889096172332
27,0.3779,0-3779_Phy000D0OG_SCHPO,0.704432146923176
27,0.3891,0-3891_Phy000D0SX_SCHPO,0.7539714970546474
28,0.3906,0-3906_Phy000D0SK_SCHPO,0.8480196586943981
36,0.4318,0-4318_Phy000D0M2_SCHPO,0.634146844647193
35,0.4331,0-4331_Phy000D0N4_SCHPO,0.8383464020888654
30,0.4394,0-4394_Phy000D0SL_SCHPO,0.7805433920690854
34,0.4494,0-4494_Phy000D0QL_SCHPO,0.7256982170800834
25,0.4533,0-4533_Phy000D0UP_SCHPO,0.7482316990392078
37,0.4593,0-4593_Phy000D17Y_SCHPO,0.8404169781677984
14,0.4681,0-4681_Phy000D0SO_SCHPO,0.9015902591702133
39,0.4978,0-4978_Phy000D0YK_SCHPO,0.8946056786572719
33,0.4987,0-4987_Phy000D115_SCHPO,0.8261546429176438
12,0.5002,0-5002_Phy000D14B_SCHPO,0.5725277296396858
32,0.5258,0-5258_Phy000D0MM_SCHPO,0.7215387469946244
15,0.5324,0-5324_Phy000D0N3_SCHPO,0.5637705416343124
25,0.5470,0-5470_Phy000D0NG_SCHPO,0.6206594582796363
15,0.5565,0-5565_Phy000D0N5_SCHPO,0.8757863545780811
11,0.5699,0-5699_Phy000D0W7_SCHPO,0.6445074363514659
12,0.5997,0-5997_Phy000D0NJ_SCHPO,0.7108616363278902
29,0.6040,0-6040_Phy000D0LN_SCHPO,0.8299183806526973
15,0.6213,0-6213_Phy000D0P9_SCHPO,0.7043523583789106
13,0.6283,0-6283_Phy000D0SM_SCHPO,0.7221624151279047
17,0.6429,0-6429_Phy000D0YO_SCHPO,0.8568960734436755
40,0.6571,0-6571_Phy000D0VJ_SCHPO,0.7951088813350787
24,0.6654,0-6654_Phy000D0NR_SCHPO,0.5927504022573995
11,0.7003,0-7003_Phy000D0V4_SCHPO,0.7925626167437019
38,0.7080,0-7080_Phy000D0VB_SCHPO,0.8430410018958865
11,0.7371,0-7371_Phy000D0RN_SCHPO,0.7045017607068611
17,0.7392,0-7392_Phy000D0LZ_SCHPO,0.4725367535840381
20,0.7486,0-7486_Phy000D13P_SCHPO,0.8292452302136172
11,0.7576,0-7576_Phy000D0YA_SCHPO,0.8476253965513896
